"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,6300,63.8888888888889,40.25,"Jose Berrios","MIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,7.66666666666667,0,0,0,2,1,2
2,2,8900,41.2921348314607,36.75,"Danny Duffy","KC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,7,0,0,0,3,2,0
3,1,3600,88.8888888888889,32,"Javier Baez","CHC",NA,"2B/SS",7,2,1,5,0,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,3600,86.1111111111111,31,"Jarrod Dyson","SEA",NA,"OF",8,3,1,1,2,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,3500,82.8571428571428,29,"Tim Anderson","CHW",NA,"SS",7,2,1,1,1,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3,6500,44.2307692307692,28.75,"Martin Perez","TEX",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,7,0,0,2,5,0,0
7,4,4500,57.7777777777778,26,"J.D. Martinez","ARI",NA,"OF",3,2,1,3,0,1,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,5,2300,108.695652173913,25,"Darrell Ceciliani","TOR",NA,"OF",4,2,1,3,0,2,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,4,11300,21.1946902654867,23.95,"Marcus Stroman","TOR",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5.66666666666667,0,0,0,7,1,0
10,5,7200,33.1944444444444,23.9,"Sonny Gray","OAK",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,0,0,3,4,2,0
11,6,3100,74.1935483870968,23,"Adam Frazier","PIT",NA,"OF",1,2,0,4,0,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,7,3100,74.1935483870968,23,"Ryan Rua","TEX",NA,"1B/OF",6,1,1,3,0,2,1,0,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,8,4900,46.9387755102041,23,"Nolan Arenado","COL",NA,"3B",3,2,1,1,0,6,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,9,4800,45.8333333333333,22,"Jean Segura","SEA",NA,"SS",1,1,1,3,0,3,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,10,4100,53.6585365853659,22,"Kendrys Morales","TOR",NA,"1B",3,2,0,2,0,5,3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,11,3800,57.8947368421053,22,"Yasiel Puig","LAD",NA,"OF",8,2,1,2,0,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,12,2800,71.4285714285714,20,"Eric Sogard","MIL",NA,"2B/SS",1,0,0,3,0,4,3,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,6,6200,31.6935483870968,19.65,"Tyler Glasnow","PIT",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,0,0,2,3,3,0
19,13,3900,48.7179487179487,19,"Adam Jones","BAL",NA,"OF",3,2,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,14,3600,52.7777777777778,19,"Trevor Plouffe","TB",NA,"3B",7,2,0,1,0,4,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,15,3900,48.7179487179487,19,"Justin Bour","MIA",NA,"1B",5,1,1,1,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,16,4000,47.5,19,"Khris Davis","OAK",NA,"OF",4,1,1,1,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,17,4000,47.5,19,"Todd Frazier","NYY",NA,"3B",6,1,1,1,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,18,3600,52.7777777777778,19,"Jed Lowrie","OAK",NA,"2B",3,1,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,19,3600,52.7777777777778,19,"Seth Smith","BAL",NA,"OF",1,1,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,7,6200,29.2741935483871,18.15,"Chad Green","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,3,0,0,0,1,0,0
27,20,3700,48.6486486486486,18,"Victor Martinez","DET",NA,"1B",4,1,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,21,3700,48.6486486486486,18,"Mike Moustakas","KC",NA,"3B",2,1,1,3,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,22,4600,39.1304347826087,18,"Chris Davis","BAL",NA,"1B",4,1,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,23,5300,33.9622641509434,18,"Kris Bryant","CHC",NA,"3B",2,2,1,1,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,24,3300,54.5454545454545,18,"Josh Bell","PIT",NA,"1B",4,1,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,25,2800,64.2857142857143,18,"John Jaso","PIT",NA,"1B/OF",5,1,1,2,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,8,11300,15.3097345132743,17.3,"Jon Lester","CHC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,0,0,3,6,1,0
34,26,3400,50,17,"Chase Utley","LAD",NA,"1B/2B",1,1,0,2,1,2,2,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,27,4700,36.1702127659574,17,"Daniel Murphy","WAS",NA,"2B",5,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,9,5900,28.3050847457627,16.7,"Jordan Zimmermann","DET",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,0,0,4,7,1,0
37,28,4000,40,16,"Maikel Franco","PHI",NA,"3B",7,1,1,2,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,29,4000,40,16,"Christian Yelich","MIA",NA,"OF",2,1,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,30,3200,50,16,"Matt Davidson","CHW",NA,"1B/3B",8,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,31,3600,44.4444444444444,16,"Mitch Moreland","BOS",NA,"1B",5,1,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,32,3800,42.1052631578947,16,"Tommy Joseph","PHI",NA,"1B",4,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,33,2200,72.7272727272727,16,"Chad Pinder","OAK",NA,"2B/SS",8,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,34,4200,38.0952380952381,16,"Nomar Mazara","TEX",NA,"OF",3,1,0,2,0,4,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,10,5000,31.3,15.65,"German Marquez","COL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,0,0,1,4,2,0
45,11,7700,19.8701298701299,15.3,"Zach Davies","MIL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,0,0,2,5,2,0
46,35,4300,34.8837209302326,15,"Keon Broxton","MIL",NA,"OF",7,2,0,0,1,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,36,3500,42.8571428571429,15,"Robbie Grossman","MIN",NA,"OF",2,1,0,1,1,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
