"Paul Goldschmidt_ARI","Bryce Harper_WAS","Trea Turner_WAS","Jake Lamb_ARI","Daniel Murphy_WAS","David Peralta_ARI","Ryan Zimmerman_WAS","Anthony Rizzo_CHC","Dexter Fowler_STL","AJ Pollock_ARI","Kris Bryant_CHC","Chris Owings_ARI","Jedd Gyorko_STL","Paul DeJong_STL","Tommy Pham_STL","Anthony Rendon_WAS","Randal Grichuk_STL","Brandon Drury_ARI","Yasmany Tomas_ARI","Ben Zobrist_CHC","Ian Happ_CHC","Matt Carpenter_STL","Stephen Piscotty_STL","Michael Taylor_WAS","Adam Eaton_WAS","Brian Goodwin_WAS","Javier Baez_CHC","Addison Russell_CHC","Nick Ahmed_ARI","Willson Contreras_CHC","Yadier Molina_STL","Chris Iannetta_ARI","Daniel Descalso_ARI","Adam Lind_WAS","Gregor Blanco_ARI","Kyle Schwarber_CHC","Jeremy Hazelbaker_ARI","Jayson Werth_WAS","Chad Huffman_STL","Jose Martinez_STL","Chris Herrmann_ARI","Rey Fuentes_ARI","Kolten Wong_STL","Jack Reinheimer_ARI","Socrates Brito_ARI","Dawel Lugo_ARI","Domingo Leyba_ARI","Aledmys Diaz_STL","Ryan Raburn_WAS","Jason Heyward_CHC","Harrison Bader_STL","Matt Wieters_WAS","Jeimer Candelario_CHC","Mark Zagunis_CHC","Miguel Montero_CHC","Stephen Drew_WAS","Jon Jay_CHC","Albert Almora_CHC","Magneuris Sierra_STL","Tommy La Stella_CHC","Carson Kelly_STL","Eric Fryer_STL","Christian Walker_ARI","Greg Garcia_STL","Chris Heisey_WAS","Wilmer Difo_WAS","Jeff Mathis_ARI","Pedro Severino_WAS","Luke Voit_STL","Rafael Bautista_WAS","Jose Lobaton_WAS","Eloy Jimenez_CHC"
72,0,0,67,0,53,0,0,0,31,0,61,0,0,0,0,0,59,39,0,0,0,0,0,0,0,0,0,36,0,0,24,32,0,24,0,6,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
0,63,51,0,57,0,52,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,44,18,16,0,0,0,0,0,0,0,14,0,0,0,36,0,0,0,0,0,0,0,0,0,0,6,0,0,47,0,0,0,8,0,0,0,0,0,0,0,0,4,16,0,0,0,0,16,0
0,51,58,0,52,0,50,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,47,10,19,0,0,0,0,0,0,0,13,0,0,0,34,0,0,0,0,0,0,0,0,0,0,6,0,0,41,0,0,0,5,0,0,0,0,0,0,0,0,4,8,0,0,0,0,17,0
67,0,0,70,0,55,0,0,0,29,0,58,0,0,0,0,0,56,36,0,0,0,0,0,0,0,0,0,34,0,0,23,29,0,23,0,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
0,57,52,0,63,0,54,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,45,18,17,0,0,0,0,0,0,0,14,0,0,0,39,0,0,0,0,0,0,0,0,0,0,5,0,0,45,0,0,0,7,0,0,0,0,0,0,0,0,6,11,0,0,0,0,18,0
53,0,0,55,0,56,0,0,0,23,0,44,0,0,0,0,0,46,27,0,0,0,0,0,0,0,0,0,19,0,0,18,27,0,19,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
0,52,50,0,54,0,58,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,44,15,15,0,0,0,0,0,0,0,6,0,0,0,37,0,0,0,0,0,0,0,0,0,0,4,0,0,44,0,0,0,5,0,0,0,0,0,0,0,0,4,12,0,0,0,0,14,0
0,0,0,0,0,0,0,70,0,0,65,0,0,0,0,0,0,0,0,43,32,0,0,0,0,0,51,54,0,48,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,5,2,23,0,26,32,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,58,0,0,0,46,17,28,0,32,0,0,0,0,52,42,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,15,0,0,31,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,16,0,0,0,0,0,0,0,0
31,0,0,29,0,23,0,0,0,32,0,30,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,13,0,0,11,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
