"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"DST","Bills  (0000000)","Bills ",0,3800,"Jax@Buf 00:00PM ET","Buf","Bills","","Jax",10.24,9.8
"DST","Broncos  (0000000)","Broncos ",0,3700,"KC@Den 00:00PM ET","Den","Broncos","","KC",7.56,7.4
"DST","Giants  (0000000)","Giants ",0,3600,"NYG@Cle 00:00PM ET","NYG","Giants","","Cle",10.75,9.3
"DST","Seahawks  (0000000)","Seahawks ",0,3500,"Sea@TB 00:00PM ET","Sea","Seahawks","","TB",10.18,8.2
"DST","Vikings  (0000000)","Vikings ",0,3400,"Min@Det 00:00PM ET","Min","Vikings","","Det",8.75,9
"DST","Patriots  (0000000)","Patriots ",0,3400,"NE@NYJ 00:00PM ET","NE","Patriots","","NYJ",9.66,10.4
"DST","Dolphins  (0000000)","Dolphins ",0,3300,"SF@Mia 00:00PM ET","Mia","Dolphins","","SF",7.26,9.4
"DST","Chiefs  (0000000)","Chiefs ",0,3200,"KC@Den 00:00PM ET","KC","Chiefs","","Den",7.12,8.6
"DST","Ravens  (0000000)","Ravens ",0,3100,"Cin@Bal 00:00PM ET","Bal","Ravens","","Cin",7.26,8.6
"DST","Raiders  (0000000)","Raiders ",0,3000,"Car@Oak 00:00PM ET","Oak","Raiders","","Car",5.62,7.5
"DST","Eagles  (0000000)","Eagles ",0,3000,"GB@Phi 00:00PM ET","Phi","Eagles","","GB",7.76,8.8
"DST","Lions  (0000000)","Lions ",0,3000,"Min@Det 00:00PM ET","Det","Lions","","Min",7.92,6.1
"DST","Cowboys  (0000000)","Cowboys ",0,2900,"Was@Dal 00:00PM ET","Dal","Cowboys","","Was",7.83,8
"DST","Falcons  (0000000)","Falcons ",0,2900,"Ari@Atl 00:00PM ET","Atl","Falcons","","Ari",6.12,8.4
"DST","Titans  (0000000)","Titans ",0,2800,"Ten@Chi 00:00PM ET","Ten","Titans","","Chi",10.06,7.2
"DST","Bengals  (0000000)","Bengals ",0,2800,"Cin@Bal 00:00PM ET","Cin","Bengals","","Bal",7.38,7.2
"DST","Steelers  (0000000)","Steelers ",0,2800,"Pit@Ind 00:00PM ET","Pit","Steelers","","Ind",9.33,7.8
"DST","Saints  (0000000)","Saints ",0,2800,"LA@NO 00:00PM ET","NO","Saints","","LA",6.4,10.4
"DST","Packers  (0000000)","Packers ",0,2800,"GB@Phi 00:00PM ET","GB","Packers","","Phi",7.6,5.6
"DST","Bears  (0000000)","Bears ",0,2700,"Ten@Chi 00:00PM ET","Chi","Bears","","Ten",5.39,5.2
"DST","Chargers  (0000000)","Chargers ",0,2700,"SD@Hou 00:00PM ET","SD","Chargers","","Hou",6.74,8
"DST","Cardinals  (0000000)","Cardinals ",0,2700,"Ari@Atl 00:00PM ET","Ari","Cardinals","","Atl",7.06,7.6
"DST","Panthers  (0000000)","Panthers ",0,2600,"Car@Oak 00:00PM ET","Car","Panthers","","Oak",7,6
"DST","Texans  (0000000)","Texans ",0,2600,"SD@Hou 00:00PM ET","Hou","Texans","","SD",8.4,6.1
"DST","Jets  (0000000)","Jets ",0,2500,"NE@NYJ 00:00PM ET","NYJ","Jets","","NE",4.46,6.6
"DST","Redskins  (0000000)","Redskins ",0,2500,"Was@Dal 00:00PM ET","Was","Redskins","","Dal",5.66,5
"DST","49ers  (0000000)","49ers ",0,2400,"SF@Mia 00:00PM ET","SF","49ers","","Mia",5.28,5
"DST","Rams  (0000000)","Rams ",0,2400,"LA@NO 00:00PM ET","LA","Rams","","NO",4.32,7.6
"DST","Jaguars  (0000000)","Jaguars ",0,2400,"Jax@Buf 00:00PM ET","Jax","Jaguars","","Buf",4.96,5.5
"DST","Colts  (0000000)","Colts ",0,2400,"Pit@Ind 00:00PM ET","Ind","Colts","","Pit",5.08,5
"DST","Buccaneers  (0000000)","Buccaneers ",0,2300,"Sea@TB 00:00PM ET","TB","Buccaneers","","Sea",4.54,6.4
"DST","Browns  (0000000)","Browns ",0,2200,"NYG@Cle 00:00PM ET","Cle","Browns","","NYG",4.5,4.8
