"Place_lo","Place_hi","Payout"
"1","1","3000"
"2","2","2000"
"3","3","1000"
"4","4","700"
"5","5","500"
"6","6","400"
"7","8","300"
"9","10","200"
"11","15","100"
"16","25","70"
"26","35","60"
"36","45","50"
"46","70","40"
"71","120","30"
"121","200","25"
"201","300","20"
"301","500","15"
"501","850","12"
"851","1450","9"
