"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg"
"WR","Antonio Brown (7545535)","Antonio Brown",7545535,9800,"NYJ@Pit 01:00PM ET","Pit","Antonio","Brown","NYJ",26.78,24.3,24.17,24.3,1,0.319444444444444,23.0294488556561
"WR","Julio Jones (7545548)","Julio Jones",7545548,9600,"Atl@Den 04:05PM ET","Atl","Julio","Jones","Den",18.49,23.9,18.17,23.9,1,0.251798561151079,20.8058155059905
"WR","A.J. Green (7545557)","A.J. Green",7545557,8900,"Cin@Dal 04:25PM ET","Cin","A.J.","Green","Dal",21,20.5,21.89,20.5,1,0.304054054054054,19.0539751020442
"WR","Odell Beckham Jr. (7545594)","Odell Beckham",7545594,8500,"NYG@GB 08:30PM ET","NYG","Odell","Beckham","GB",19.41,18.8,18.74,18.8,1,0.265822784810127,17.50948309426
"WR","Jordy Nelson (7545588)","Jordy Nelson",7545588,7900,"NYG@GB 08:30PM ET","GB","Jordy","Nelson","NYG",21.92,19,19.28,19,1,0.271844660194175,18.2370766047691
"WR","Alshon Jeffery (7545488)","Alshon Jeffery",7545488,7800,"Chi@Ind 01:00PM ET","Chi","Alshon","Jeffery","Ind",15.1,16.4,16.07,16.4,2,0.183098591549296,14.8436819902896
"WR","DeAndre Hopkins (7545523)","DeAndre Hopkins",7545523,7700,"Hou@Min 01:00PM ET","Hou","DeAndre","Hopkins","Min",14.91,18.2,15.75,18.2,2,0.21830985915493,16.0387491608374
"WR","Dez Bryant (7545556)","Dez Bryant",7545556,7700,"Cin@Dal 04:25PM ET","Dal","Dez","Bryant","Cin",0,0,0,0,3,0.176470588235294,0
"QB","Aaron Rodgers (7545358)","Aaron Rodgers",7545358,7700,"NYG@GB 08:30PM ET","GB","Aaron","Rodgers","NYG",22.81,23.8,20.74,23.8,0,0,21.7521374914729
"WR","Marvin Jones Jr. (7545478)","Marvin Jones",7545478,7600,"Phi@Det 01:00PM ET","Det","Marvin","Jones","Phi",18.59,17.8,15.47,17.8,1,0.25,16.6280523720007
"QB","Tom Brady (7545300)","Tom Brady",7545300,7500,"NE@Cle 01:00PM ET","NE","Tom","Brady","Cle",21.63,24.2,23.22,24.2,0,0,21.7503314734652
"RB","Le'Veon Bell (7545420)","Le'Veon Bell",7545420,7500,"NYJ@Pit 01:00PM ET","Pit","Le'Veon","Bell","NYJ",21.79,21.2,20.11,21.2,6,0.0416666666666667,19.7217363651144
"WR","T.Y. Hilton (7545487)","T.Y. Hilton",7545487,7400,"Chi@Ind 01:00PM ET","Ind","T.Y.","Hilton","Chi",20.46,19.3,17.67,19.3,1,0.274853801169591,18.1005977368375
"QB","Andrew Luck (7545313)","Andrew Luck",7545313,7300,"Chi@Ind 01:00PM ET","Ind","Andrew","Luck","Chi",21.08,23.1,19.51,23.1,0,0,20.8634772837763
"RB","DeMarco Murray (7545391)","DeMarco Murray",7545391,7200,"Ten@Mia 01:00PM ET","Ten","DeMarco","Murray","Mia",19.9,20,16.86,20,3,0.142857142857143,18.4511105156036
"QB","Ben Roethlisberger (7545330)","Ben Roethlisberger",7545330,7200,"NYJ@Pit 01:00PM ET","Pit","Ben","Roethlisberger","NYJ",20.22,21.1,20.3,21.1,0,0,19.2839149635222
