"Place_lo","Place_hi","Payout"
"1","1","30000"
"2","2","20000"
"3","3","10000"
"4","4","7000"
"5","6","5000"
"7","8","3000"
"9","13","2500"
"14","25","2000"
"26","48","1500"
"49","94","1000"
