"Jake Lamb_ARI","Paul Goldschmidt_ARI","Travis Shaw_MIL","Josh Donaldson_TOR","Eric Thames_MIL","Nelson Cruz_SEA","Justin Smoak_TOR","Domingo Santana_MIL","Joey Votto_CIN","Cody Bellinger_LAD","Ryan Braun_MIL","Chris Owings_ARI","Zack Cozart_CIN","Chris Taylor_LAD","David Peralta_ARI","AJ Pollock_ARI","Robinson Cano_SEA","Danny Valencia_SEA","Adam Duvall_CIN","Jean Segura_SEA","Hernan Perez_MIL","Jonathan Villar_MIL","Eugenio Suarez_CIN","Corey Seager_LAD","Yasmany Tomas_ARI","Scott Schebler_CIN","Eric Sogard_MIL","Jesus Aguilar_MIL","Nick Ahmed_ARI","Scooter Gennett_CIN","Mike Zunino_SEA","Kevin Pillar_TOR","Joc Pederson_LAD","Yasiel Puig_LAD","Russell Martin_TOR","Kyle Seager_SEA","Gregor Blanco_ARI","Brandon Drury_ARI","Justin Turner_LAD","Taylor Motter_SEA","Devon Travis_TOR","Chris Iannetta_ARI","Yasmani Grandal_LAD","Billy Hamilton_CIN","Jose Peraza_CIN","Jose Bautista_TOR","Jarrod Dyson_SEA","Mitch Haniger_SEA","Daniel Descalso_ARI","Nick Franklin_MIL","Jeremy Hazelbaker_ARI","Franklin Gutierrez_LAD","Steve Pearce_TOR","Keon Broxton_MIL","Rey Fuentes_ARI","Phillip Ervin_CIN","Troy Tulowitzki_TOR","Ben Gamel_SEA","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Socrates Brito_ARI","Adrian Gonzalez_LAD","Chase Utley_LAD","Trayce Thompson_LAD","Austin Barnes_LAD","Leonys Martin_SEA","Chris Herrmann_ARI","Jett Bandy_MIL","Andrew Toles_LAD","Kendrys Morales_TOR","Ezequiel Carrera_TOR","Logan Forsythe_LAD","Kike Hernandez_LAD","Arismendy Alcantara_CIN","Rob Segedin_LAD","Dalton Pompey_TOR","Rowdy Tellez_TOR","Orlando Arcia_MIL","Andre Ethier_LAD","Ryan Goins_TOR","Brett Phillips_MIL","Scott Van Slyke_LAD","Jesse Winker_CIN","Jarrod Saltalamacchia_TOR","Guillermo Heredia_SEA","Carlos Ruiz_SEA","Shawn O'Malley_SEA","Darrell Ceciliani_TOR","DJ Peterson_SEA","Anthony Alford_TOR","Boog Powell_SEA","Lewis Brinson_MIL","Devin Mesoraco_CIN","Nick Senzel_CIN","Tuffy Gosewisch_SEA","Chris Coghlan_TOR","Dwight Smith_TOR","Kyle Lewis_SEA","Ryan Cordell_MIL","Corey Ray_MIL","Tucker Barnhart_CIN","Patrick Kivlehan_CIN","Tyler Smith_SEA","Richard Urena_TOR","Jeff Mathis_ARI","Michael Reed_MIL","Mike Freeman_LAD","Willie Calhoun_LAD","Alex Verdugo_LAD","Luke Maile_TOR","Daniel Vogelbach_SEA","Harold Ramirez_TOR","Christian Walker_ARI","Domingo Leyba_ARI","Jacob Nottingham_MIL","Brett Eibner_LAD","Dawel Lugo_ARI","Darwin Barney_TOR","Mike Ohlman_TOR","Jack Reinheimer_ARI","Stuart Turner_CIN"
56,54,0,0,0,0,0,0,0,0,0,47,0,0,43,29,0,0,0,0,0,0,0,0,36,0,0,0,27,0,0,0,0,0,0,0,14,44,0,0,0,17,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,58,0,0,0,0,0,0,0,0,0,50,0,0,42,31,0,0,0,0,0,0,0,0,39,0,0,0,29,0,0,0,0,0,0,0,14,46,0,0,0,18,0,0,0,0,0,0,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,48,0,40,0,0,37,0,0,24,0,0,0,0,0,0,0,0,0,30,42,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,38,0,0,0,0,22,5,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,20,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,14,0,0,0,0,0,14,0,0,0,0,20,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0
0,0,40,0,48,0,0,37,0,0,25,0,0,0,0,0,0,0,0,0,31,42,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,37,0,0,0,0,22,5,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,43,44,0,36,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,49,0,0,0,37,0,0,0,0,0,0,46,20,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,17,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,28,0,0,0,0,0,38,0,0,0,0,49,0,0,0,0,0,0,18,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29,0,0,0,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,24,2,0,0
0,0,37,0,37,0,0,47,0,0,22,0,0,0,0,0,0,0,0,0,31,42,0,0,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,39,0,0,0,0,22,2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,57,0,0,0,50,0,0,0,0,0,52,0,0,0,52,0,0,51,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,52,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,38,0,0,0,30,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,12,31,0,0,0,0,19,0,0,0,30,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23,27,0,9,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
