"Bryce Harper_WAS","Daniel Murphy_WAS","Nolan Arenado_COL","Trea Turner_WAS","Charlie Blackmon_COL","Adam Eaton_WAS","Trevor Story_COL","Brian Dozier_MIN","Carlos Gonzalez_COL","Anthony Rendon_WAS","Jayson Werth_WAS","Ian Desmond_COL","Ryan Zimmerman_WAS","David Dahl_COL","DJ LeMahieu_COL","Michael Taylor_WAS","Rougned Odor_TEX","Miguel Sano_MIN","Todd Frazier_CWS","Shin-Soo Choo_TEX","Mark Reynolds_COL","Adrian Beltre_TEX","Jose Abreu_CWS","Max Kepler_MIN","Matt Wieters_WAS","Adam Lind_WAS","Jonathan Lucroy_TEX","Joe Mauer_MIN","Mike Napoli_TEX","Carlos Gomez_TEX","Kennys Vargas_MIN","Robbie Grossman_MIN","Gerardo Parra_COL","Melky Cabrera_CWS","Elvis Andrus_TEX","Nomar Mazara_TEX","Lorenzo Cain_KC","Joey Gallo_TEX","Eddie Rosario_MIN","Byron Buxton_MIN","Stephen Drew_WAS","Eric Hosmer_KC","Jorge Polanco_MIN","Delino DeShields_TEX","Jose Lobaton_WAS","Stephen Cardullo_COL","Raimel Tapia_COL","Tim Anderson_CWS","Dustin Garneau_COL","Tom Murphy_COL","Wilmer Difo_WAS","Alex Gordon_KC","Brandon Moss_KC","Tyler Saladino_CWS","Jorge Soler_KC","Jurickson Profar_TEX","Chris Heisey_WAS","Whit Merrifield_KC","Avisail Garcia_CWS","Peter O'Brien_KC","Danny Santana_MIN","Salvador Perez_KC","Cheslor Cuthbert_KC","Alcides Escobar_KC","Robinson Chirinos_TEX","Jason Castro_MIN","Pat Valaika_COL","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Brett Nicholas_TEX","Tony Wolters_COL","Matt Davidson_CWS","Charlie Tilson_CWS","Chris Gimenez_MIN","Ryan Rua_TEX","Eduardo Escobar_MIN","Cristhian Adames_COL","Ryan O'Hearn_KC","Hanser Alberto_TEX","Alexi Amarista_COL","Leury Garcia_CWS","Jacob May_CWS","Terrance Gore_KC","Ehire Adrianza_MIN","Cody Asche_CWS","Christian Colon_KC","Grant Green_WAS","Geovany Soto_CWS","Omar Narvaez_CWS","Willy Garcia_CWS","Jorge Bonifacio_KC","Yolmer Sanchez_CWS","Raul Mondesi_KC","Drew Robinson_TEX","Kevan Smith_CWS","Drew Butera_KC","Zack Collins_CWS"
15,14,0,5,0,14,0,0,0,13,11,0,12,0,0,3,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0,5,0,13,0,0,0,12,11,0,11,0,0,2,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17,0,17,0,16,0,16,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,5,0,5,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17,0,17,0,16,0,16,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,13,0,5,0,14,0,0,0,12,11,0,11,0,0,2,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,0,16,0,16,0,15,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,11,0,0,0,11,0,0,0,0,0,0,13,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,0,16,0,15,0,16,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12,0,4,0,12,0,0,0,13,9,0,10,0,0,3,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
