"Place_lo","Place_hi","Payout"
"1","1","10000"
"2","2","4000"
"3","3","2000"
"4","4","1000"
"5","5","600"
"6","6","400"
"7","8","300"
"9","10","200"
"11","15","150"
"16","25","100"
"26","35","70"
"36","50","50"
"51","75","40"
"76","125","30"
"126","205","25"
"206","355","20"
"356","755","15"
"756","1655","12"
"1656","3155","9"
