"Date","PnL"
2017-04-16,-4340
2017-04-17,-3670
2017-04-18,-1510
2017-04-19,-2845
2017-04-21,-2830
2017-04-22,-5080
2017-04-24,-3500
2017-04-25,-3960
2017-04-26,55080
2017-04-28,-3720
2017-04-30,-5475
2017-05-01,-3310
2017-05-02,-3680
2017-05-03,-3770
2017-05-04,13275
2017-05-05,3665
2017-05-06,-4670
2017-05-07,970
2017-05-08,-1014
2017-05-09,-1300
2017-05-12,-5090
2017-05-17,-5245
2017-05-21,-3850
2017-05-23,-517
2017-05-24,-4070
