"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Name.Clean","FreqInd"
"WR","Alshon Jeffery (7770088)","Alshon Jeffery",7770088,6900,"Chi@NYG 01:00PM ET","Chi","Alshon","Jeffery","NYG",0,0,1,0.227692307692308,"Alshon Jeffery",1
"RB","Jay Ajayi (7769982)","Jay Ajayi",7769982,6800,"Mia@LA 04:05PM ET","Mia","Jay","Ajayi","LA",17.72,15.6,5,0.060377358490566,"Jay Ajayi",1
"QB","Marcus Mariota (7769870)","Marcus Mariota",7769870,6700,"Ten@Ind 01:00PM ET","Ten","Marcus","Mariota","Ind",19.69,18.9,0,0,"Marcus Mariota",0
"WR","Davante Adams (7770147)","Davante Adams",7770147,6700,"GB@Was 08:30PM ET","GB","Davante","Adams","Was",15.69,10.3,2,0.204663212435233,"Davante Adams",1
"QB","Matthew Stafford (7769864)","Matthew Stafford",7769864,6600,"Jax@Det 01:00PM ET","Det","Matthew","Stafford","Jax",19.42,18.1,0,0,"Matthew Stafford",0
"WR","Jarvis Landry (7770110)","Jarvis Landry",7770110,6600,"Mia@LA 04:05PM ET","Mia","Jarvis","Landry","LA",16.65,14.9,1,0.29811320754717,"Jarvis Landry",1
"RB","LeGarrette Blount (7769990)","LeGarrette Blount",7769990,6400,"NE@SF 04:25PM ET","NE","LeGarrette","Blount","SF",16.24,15.4,8,0.0197368421052632,"LeGarrette Blount",1
"QB","Eli Manning (7769884)","Eli Manning",7769884,6300,"Chi@NYG 01:00PM ET","NYG","Eli","Manning","Chi",18.63,17.7,0,0,"Eli Manning",0
"WR","Julian Edelman (7770120)","Julian Edelman",7770120,6300,"NE@SF 04:25PM ET","NE","Julian","Edelman","SF",15.07,19.1,1,0.25,"Julian Edelman",0
"WR","Donte Moncrief (7770057)","Donte Moncrief",7770057,6100,"Ten@Ind 01:00PM ET","Ind","Donte","Moncrief","Ten",13.94,15.2,7,0.0694444444444444,"Donte Moncrief",1
"QB","Russell Wilson (7769904)","Russell Wilson",7769904,6100,"Phi@Sea 04:25PM ET","Sea","Russell","Wilson","Phi",19.27,18.6,14,0.0032258064516129,"Russell Wilson",0
"QB","Dak Prescott (7769861)","Dak Prescott",7769861,6000,"Bal@Dal 01:00PM ET","Dal","Dak","Prescott","Bal",18.05,15.7,0,0,"Dak Prescott",0
"WR","Steve Smith Sr. (7770026)","Steve Smith",7770026,6000,"Bal@Dal 01:00PM ET","Bal","Steve","Smith","Dal",13.55,13.8,3,0.147368421052632,"Steve Smith",0
"RB","Spencer Ware (7769960)","Spencer Ware",7769960,6000,"TB@KC 01:00PM ET","KC","Spencer","Ware","TB",16.05,18.5,6,0.0792682926829268,"Spencer Ware",1
"RB","DeAngelo Williams (7769912)","DeAngelo Williams",7769912,5900,"Pit@Cle 01:00PM ET","Pit","DeAngelo","Williams","Cle",0,0,6,0.0616621983914209,"DeAngelo Williams",0
"QB","Jameis Winston (7769882)","Jameis Winston",7769882,5900,"TB@KC 01:00PM ET","TB","Jameis","Winston","KC",17.58,17.1,0,0,"Jameis Winston",0
"WR","Randall Cobb (7770141)","Randall Cobb",7770141,5900,"GB@Was 08:30PM ET","GB","Randall","Cobb","Was",14.01,13.4,3,0.178756476683938,"Randall Cobb",1
"TE","Jordan Reed (7770239)","Jordan Reed",7770239,5900,"GB@Was 08:30PM ET","Was","Jordan","Reed","GB",18.5,14.7,2,0.175342465753425,"Jordan Reed",1
"RB","Jordan Howard (7769971)","Jordan Howard",7769971,5800,"Chi@NYG 01:00PM ET","Chi","Jordan","Howard","NYG",13.96,11.8,6,0.08,"Jordan Howard",1
"QB","Kirk Cousins (7769909)","Kirk Cousins",7769909,5800,"GB@Was 08:30PM ET","Was","Kirk","Cousins","GB",18.36,20.1,0,0,"Kirk Cousins",0
"TE","Delanie Walker (7770173)","Delanie Walker",7770173,5700,"Ten@Ind 01:00PM ET","Ten","Delanie","Walker","Ind",14.74,12.3,2,0.194528875379939,"Delanie Walker",1
"QB","Andy Dalton (7769871)","Andy Dalton",7769871,5700,"Buf@Cin 01:00PM ET","Cin","Andy","Dalton","Buf",18.9,18.4,0,0,"Andy Dalton",0
"WR","Doug Baldwin (7770129)","Doug Baldwin",7770129,5700,"Phi@Sea 04:25PM ET","Sea","Doug","Baldwin","Phi",16.25,13.6,1,0.232258064516129,"Doug Baldwin",1
"WR","Terrelle Pryor Sr. (7770017)","Terrelle Pryor",7770017,5600,"Pit@Cle 01:00PM ET","Cle","Terrelle","Pryor","Pit",14.75,16.2,1,0.257703081232493,"Terrelle Pryor",1
"QB","Tyrod Taylor (7769872)","Tyrod Taylor",7769872,5600,"Buf@Cin 01:00PM ET","Buf","Tyrod","Taylor","Cin",18.07,17.5,0,0,"Tyrod Taylor",0
"WR","Jeremy Maclin (7770072)","Jeremy Maclin",7770072,5600,"TB@KC 01:00PM ET","KC","Jeremy","Maclin","TB",0,0,2,0.170731707317073,"Jeremy Maclin",0
"QB","Carson Palmer (7769889)","Carson Palmer",7769889,5600,"Ari@Min 01:00PM ET","Ari","Carson","Palmer","Min",17.07,15.8,0,0,"Carson Palmer",0
"TE","Jimmy Graham (7770230)","Jimmy Graham",7770230,5600,"Phi@Sea 04:25PM ET","Sea","Jimmy","Graham","Phi",13.41,11.8,2,0.193548387096774,"Jimmy Graham",1
"QB","Joe Flacco (7769857)","Joe Flacco",7769857,5500,"Bal@Dal 01:00PM ET","Bal","Joe","Flacco","Dal",16.59,15.7,0,0,"Joe Flacco",0
"QB","Tony Romo (7769858)","Tony Romo",7769858,5500,"Bal@Dal 01:00PM ET","Dal","Tony","Romo","Bal",0,0,0,0,"Tony Romo",0
"WR","Mike Wallace (7770028)","Mike Wallace",7770028,5500,"Bal@Dal 01:00PM ET","Bal","Mike","Wallace","Dal",13.5,10.7,1,0.197368421052632,"Mike Wallace",1
"QB","Blake Bortles (7769865)","Blake Bortles",7769865,5400,"Jax@Det 01:00PM ET","Jax","Blake","Bortles","Det",19.28,18.1,0,0,"Blake Bortles",0
"TE","Tyler Eifert (7770183)","Tyler Eifert",7770183,5400,"Buf@Cin 01:00PM ET","Cin","Tyler","Eifert","Buf",15.17,11.1,6,0.0501672240802676,"Tyler Eifert",1
"RB","Doug Martin (7769955)","Doug Martin",7769955,5400,"TB@KC 01:00PM ET","TB","Doug","Martin","KC",12.83,13.2,9,0.0198300283286119,"Doug Martin",0
"WR","Jordan Matthews (7770131)","Jordan Matthews",7770131,5400,"Phi@Sea 04:25PM ET","Phi","Jordan","Matthews","Sea",13.21,16.3,1,0.253289473684211,"Jordan Matthews",0
"WR","Jamison Crowder (7770145)","Jamison Crowder",7770145,5400,"GB@Was 08:30PM ET","Was","Jamison","Crowder","GB",13.09,12.9,3,0.16986301369863,"Jamison Crowder",1
"WR","Cole Beasley (7770033)","Cole Beasley",7770033,5300,"Bal@Dal 01:00PM ET","Dal","Cole","Beasley","Bal",11.56,9.4,1,0.224913494809689,"Cole Beasley",1
"WR","Golden Tate (7770041)","Golden Tate",7770041,5300,"Jax@Det 01:00PM ET","Det","Golden","Tate","Jax",14.58,16.7,1,0.237951807228916,"Golden Tate",0
"RB","Derrick Henry (7769946)","Derrick Henry",7769946,5300,"Ten@Ind 01:00PM ET","Ten","Derrick","Henry","Ind",5.22,7.9,8,0.033434650455927,"Derrick Henry",0
"QB","Alex Smith (7769877)","Alex Smith",7769877,5300,"TB@KC 01:00PM ET","KC","Alex","Smith","TB",15.57,17.9,15,0.00304878048780488,"Alex Smith",0
"RB","Jacquizz Rodgers (7769957)","Jacquizz Rodgers",7769957,5200,"TB@KC 01:00PM ET","TB","Jacquizz","Rodgers","KC",0,0,8,0.0368271954674221,"Jacquizz Rodgers",0
"QB","Jay Cutler (7769883)","Jay Cutler",7769883,5200,"Chi@NYG 01:00PM ET","Chi","Jay","Cutler","NYG",15.27,16.3,0,0,"Jay Cutler",0
"WR","Kenny Britt (7770106)","Kenny Britt",7770106,5200,"Mia@LA 04:05PM ET","LA","Kenny","Britt","Mia",13.4,10.4,2,0.21656050955414,"Kenny Britt",1
"QB","Colin Kaepernick (7769899)","Colin Kaepernick",7769899,5200,"NE@SF 04:25PM ET","SF","Colin","Kaepernick","NE",18.35,16.9,0,0,"Colin Kaepernick",0
