"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"WR","Antonio Brown (7572050)","Antonio Brown",7572050,10000,"Pit@Mia 01:00PM ET","Pit","Antonio","Brown","Mia",24.54,23.6
"WR","Julio Jones (7572084)","Julio Jones",7572084,8900,"Atl@Sea 04:25PM ET","Atl","Julio","Jones","Sea",18.09,21.2
"WR","Odell Beckham Jr. (7572011)","Odell Beckham Jr.",7572011,8800,"Bal@NYG 01:00PM ET","NYG","Odell","Beckham","Bal",19.14,17.4
"WR","A.J. Green (7572063)","A.J. Green",7572063,8600,"Cin@NE 01:00PM ET","Cin","A.J.","Green","NE",19.24,23.3
"QB","Cam Newton (7571815)","Cam Newton",7571815,8100,"Car@NO 01:00PM ET","Car","Cam","Newton","NO",27.67,27.4
"WR","Kelvin Benjamin (7572022)","Kelvin Benjamin",7572022,8100,"Car@NO 01:00PM ET","Car","Kelvin","Benjamin","NO",20,16.1
"WR","Jordy Nelson (7572092)","Jordy Nelson",7572092,8000,"Dal@GB 04:25PM ET","GB","Jordy","Nelson","Dal",18.9,18
"QB","Drew Brees (7571811)","Drew Brees",7571811,7900,"Car@NO 01:00PM ET","NO","Drew","Brees","Car",27.41,22.9
"RB","Le'Veon Bell (7571921)","Le'Veon Bell",7571921,7900,"Pit@Mia 01:00PM ET","Pit","Le'Veon","Bell","Mia",23.58,29.7
"WR","Allen Robinson (7572037)","Allen Robinson",7572037,7800,"Jax@Chi 01:00PM ET","Jax","Allen","Robinson","Chi",19.94,17
"RB","DeMarco Murray (7571874)","DeMarco Murray",7571874,7700,"Cle@Ten 01:00PM ET","Ten","DeMarco","Murray","Cle",21.4,21.5
"QB","Tom Brady (7571833)","Tom Brady",7571833,7700,"Cin@NE 01:00PM ET","NE","Tom","Brady","Cin",25.09,22.2
"WR","T.Y. Hilton (7572104)","T.Y. Hilton",7572104,7700,"Ind@Hou 08:30PM ET","Ind","T.Y.","Hilton","Hou",20.88,15.4
