"Jake Lamb_ARI","Paul Goldschmidt_ARI","JD Martinez_DET","Jose Altuve_HOU","AJ Pollock_ARI","Jose Abreu_CWS","Carlos Correa_HOU","David Peralta_ARI","Avisail Garcia_CWS","Chris Owings_ARI","Miguel Cabrera_DET","Tim Anderson_CWS","George Springer_HOU","Yasmany Tomas_ARI","Todd Frazier_CWS","Ian Kinsler_DET","Melky Cabrera_CWS","Matt Davidson_CWS","Yoan Moncada_CWS","Brandon Drury_ARI","Justin Upton_DET","Marwin Gonzalez_HOU","Alex Bregman_HOU","Carlos Beltran_HOU","Josh Reddick_HOU","Evan Gattis_HOU","Chris Herrmann_ARI","Rey Fuentes_ARI","Victor Martinez_DET","Brian McCann_HOU","Nicholas Castellanos_DET","Jeremy Hazelbaker_ARI","Nick Ahmed_ARI","Alex Avila_DET","Leury Garcia_CWS","Tyler Saladino_CWS","Yolmer Sanchez_CWS","Charlie Tilson_CWS","Gregor Blanco_ARI","Socrates Brito_ARI","Norichika Aoki_HOU","Tyler Collins_DET","Derek Fisher_HOU","Yuli Gurriel_HOU","Jacob May_CWS","Andrew Romine_DET","Jake Marisnick_HOU","Chris Iannetta_ARI","James McCann_DET","Cody Asche_CWS","Willy Garcia_CWS","JaCoby Jones_DET","Geovany Soto_CWS","Daniel Descalso_ARI","Omar Narvaez_CWS","Dixon Machado_DET","John Hicks_DET","Mikie Mahtook_DET","Kevan Smith_CWS","Jim Adduci_DET","Jose Iglesias_DET","Jeff Mathis_ARI","Tony Kemp_HOU","Zack Collins_CWS","Juan Centeno_HOU"
40,39,0,0,29,0,0,31,0,34,0,0,0,29,0,0,0,0,0,32,0,0,0,0,0,0,13,0,0,0,0,4,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,20,0,0,0
39,43,0,0,31,0,0,31,0,37,0,0,0,32,0,0,0,0,0,35,0,0,0,0,0,0,12,0,0,0,0,4,21,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,21,0,0,0
0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,3,0,0,6,0,0,0,0,0,0,2,0,2,0,0,6,0,0,0,0
0,0,0,39,0,0,35,0,0,0,0,0,35,0,0,0,0,0,0,0,0,22,35,33,32,23,0,0,0,24,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,31,0,0,32,0,0,23,0,30,0,0,0,26,0,0,0,0,0,26,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,0,16,0,0,0
0,0,0,0,0,37,0,0,36,0,0,30,0,0,29,0,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,6,0,0,0,0,0,0,0,8,0,0,0,0,13,8,0,9,0,21,0,0,0,7,0,0,0,0,0,0
0,0,0,35,0,0,37,0,0,0,0,0,31,0,0,0,0,0,0,0,0,20,33,32,30,22,0,0,0,24,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,0,0,23,0,0,32,0,26,0,0,0,22,0,0,0,0,0,25,0,0,0,0,0,0,10,0,0,0,0,4,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,17,0,0,0
0,0,0,0,0,36,0,0,37,0,0,30,0,0,29,0,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,6,0,0,0,0,0,0,0,7,0,0,0,0,13,8,0,10,0,20,0,0,0,7,0,0,0,0,0,0
34,37,0,0,30,0,0,26,0,38,0,0,0,31,0,0,0,0,0,30,0,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,20,0,0,0
0,0,6,0,0,0,0,0,0,0,24,0,0,0,0,19,0,0,0,0,21,0,0,0,0,0,0,0,21,0,0,0,0,9,0,0,0,0,0,0,0,16,0,0,0,16,0,0,16,0,0,7,0,0,0,4,0,6,0,5,20,0,0,0,0
0,0,0,0,0,30,0,0,30,0,0,31,0,0,25,0,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,6,0,0,0,0,0,0,0,7,0,0,0,0,11,5,0,8,0,19,0,0,0,4,0,0,0,0,0,0
0,0,0,35,0,0,31,0,0,0,0,0,35,0,0,0,0,0,0,0,0,20,32,30,28,21,0,0,0,20,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,32,0,0,26,0,0,22,0,31,0,0,0,33,0,0,0,0,0,30,0,0,0,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0,0,0
0,0,0,0,0,29,0,0,29,0,0,25,0,0,30,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,6,0,0,0,0,0,0,0,6,0,0,0,0,9,6,0,9,0,16,0,0,0,5,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0,19,0,0,0,0,30,0,0,0,0,27,0,0,0,0,0,0,0,28,0,0,0,0,17,0,0,0,0,0,0,0,21,0,0,0,16,0,0,19,0,0,7,0,0,0,4,4,8,0,7,22,0,0,0,0
0,0,0,0,0,33,0,0,33,0,0,29,0,0,27,0,34,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,6,0,0,0,0,0,0,0,6,0,0,0,0,12,6,0,10,0,19,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,23,0,0,23,0,0,18,0,0,17,0,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,4,0,0,0,0,0,0,0,4,0,0,0,0,3,7,0,5,0,12,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
