"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"1B","Anthony Rizzo",5300,"Mil@ChC 02:20PM ET",7.615,"ChC",0,7.7,10.13,8.1,12
"3B","Kris Bryant",5200,"Mil@ChC 02:20PM ET",8.385,"ChC",0,9.2,10.25,10.1,11
"OF","Ryan Braun",5100,"Mil@ChC 02:20PM ET",11.286,"Mil",0,7.2,8.82,8.4,NA
"OF","Kyle Schwarber",5000,"Mil@ChC 02:20PM ET",8,"ChC",0,7,2.19,5.8,NA
"OF","Nelson Cruz",4900,"Mia@Sea 03:40PM ET",6.571,"Sea",0,7.4,8.82,7.7,12
"OF","Andrew McCutchen",4800,"Pit@StL 01:45PM ET",6.923,"Pit",0,9,8.04,7.9,2
"OF","Dexter Fowler",4700,"Pit@StL 01:45PM ET",4,"StL",0,7.3,7.93,7.3,31
"OF","Gregory Polanco",4600,"Pit@StL 01:45PM ET",7.364,"Pit",0,8.1,7.92,8.1,2
"2B","Robinson Cano",4600,"Mia@Sea 03:40PM ET",7.357,"Sea",0,8.4,8.62,8.5,14
"SS","Jean Segura",4600,"Mia@Sea 03:40PM ET",9.25,"Sea",NA,0,NA,0,NA
"2B/OF","Ben Zobrist",4500,"Mil@ChC 02:20PM ET",7.083,"ChC",0,7.4,8.81,6.8,NA
"1B","Matt Carpenter",4500,"Pit@StL 01:45PM ET",5.308,"StL",0,8,7.96,8,3
"1B/OF","Eric Thames",4400,"Mil@ChC 02:20PM ET",14.5,"Mil",0,7.9,8.18,7.1,8
"2B","Rougned Odor",4400,"Tex@Oak 03:35PM ET",7.308,"Tex",0,8.2,7.86,7.9,2
"OF","Giancarlo Stanton",4400,"Mia@Sea 03:40PM ET",7.615,"Mia",0,7.9,8.35,7.9,24
"2B","Jonathan Villar",4300,"Mil@ChC 02:20PM ET",7.5,"Mil",0,7.8,9.06,8.2,5
"SS","Aledmys Diaz",4300,"Pit@StL 01:45PM ET",7.462,"StL",0,7.9,7.79,7.4,NA
"OF","Stephen Piscotty",4300,"Pit@StL 01:45PM ET",7.364,"StL",0,6.8,7.35,7.4,3
"OF","Shin-soo Choo",4300,"Tex@Oak 03:35PM ET",7.364,"Tex",NA,NA,NA,NA,NA
"3B","Kyle Seager",4300,"Mia@Sea 03:40PM ET",5.643,"Sea",0,8,7.8,8.2,20
"3B","Adrian Beltre",4200,"Tex@Oak 03:35PM ET",0,"Tex",NA,0,NA,0,NA
"OF","Khris Davis",4200,"Tex@Oak 03:35PM ET",10.615,"Oak",0,8.6,8.47,7.8,23
"2B","Javier Baez",4100,"Mil@ChC 02:20PM ET",4.091,"ChC",0,6.9,7.02,7.5,0
"OF","Starling Marte",4100,"Pit@StL 01:45PM ET",7.769,"Pit",NA,0,NA,0,NA
"C","Jonathan Lucroy",4100,"Tex@Oak 03:35PM ET",5.3,"Tex",0,6.3,6.79,6.3,NA
"OF","Christian Yelich",4100,"Mia@Sea 03:40PM ET",9.769,"Mia",0,7.8,7.75,8.3,24
"C","Willson Contreras",4000,"Mil@ChC 02:20PM ET",5.182,"ChC",0,6.9,7.42,5.7,10
"SS","Addison Russell",4000,"Mil@ChC 02:20PM ET",7.846,"ChC",0,7,7.99,7.9,30
"OF","Randal Grichuk",4000,"Pit@StL 01:45PM ET",5.923,"StL",0,6.6,6.49,6.5,NA
"1B","Mike Napoli",4000,"Tex@Oak 03:35PM ET",5.846,"Tex",0,6.1,7.66,6.5,3
"OF","Rajai Davis",4000,"Tex@Oak 03:35PM ET",6.25,"Oak",0,8.8,9.79,7.5,12
"OF","Carlos Gomez",4000,"Tex@Oak 03:35PM ET",7.846,"Tex",0,7.3,8.27,7.2,2
"2B","Dee Gordon",4000,"Mia@Sea 03:40PM ET",7.846,"Mia",0,7.4,8.75,7.7,7
"2B/OF","Adam Frazier",3900,"Pit@StL 01:45PM ET",6.333,"Pit",0,7.3,7.24,4.5,NA
"SS","Elvis Andrus",3900,"Tex@Oak 03:35PM ET",9.077,"Tex",0,6.7,7.91,6.6,0
"OF","Keon Broxton",3800,"Mil@ChC 02:20PM ET",4.5,"Mil",0,6,7.09,6.2,0
"2B/3B","Josh Harrison",3800,"Pit@StL 01:45PM ET",6.417,"Pit",0,7.1,7.68,6.6,3
"3B","Trevor Plouffe",3800,"Tex@Oak 03:35PM ET",5,"Oak",0,7.4,6.78,6,9
"OF","Nomar Mazara",3800,"Tex@Oak 03:35PM ET",12.308,"Tex",0,8.1,7.72,7,0
"OF","Mitch Haniger",3800,"Mia@Sea 03:40PM ET",11.286,"Sea",0,7.2,7.6,6.4,27
"OF","Jason Heyward",3700,"Mil@ChC 02:20PM ET",6.25,"ChC",0,5.6,7.48,5.6,NA
"OF","Domingo Santana",3700,"Mil@ChC 02:20PM ET",7.538,"Mil",0,6,7.05,5.3,NA
"C","Yadier Molina",3700,"Pit@StL 01:45PM ET",5.727,"StL",0,6.3,6.51,5.3,3
"2B/3B","Jedd Gyorko",3700,"Pit@StL 01:45PM ET",7.111,"StL",NA,0,1.59,1.7,2
"1B/3B","Ryon Healy",3700,"Tex@Oak 03:35PM ET",5,"Oak",0,7.4,7.43,6.9,10
"3B","Joey Gallo",3700,"Tex@Oak 03:35PM ET",7.923,"Tex",0,6.8,6.43,5.7,16
"SS","Marcus Semien",3700,"Tex@Oak 03:35PM ET",6.909,"Oak",0,0,NA,0,NA
"C","Miguel Montero",3600,"Mil@ChC 02:20PM ET",3,"ChC",NA,0,1.68,1.1,NA
"OF","Albert Almora",3600,"Mil@ChC 02:20PM ET",4.333,"ChC",NA,0,8.48,1,14
"SS","Alen Hanson",3600,"Pit@StL 01:45PM ET",2.429,"Pit",NA,0,1.7,0.9,NA
"OF","Delino DeShields",3600,"Tex@Oak 03:35PM ET",1.667,"Tex",NA,0,1.66,1.7,NA
"1B","Danny Valencia",3600,"Mia@Sea 03:40PM ET",3.769,"Sea",0,5.4,6.84,6.6,NA
"3B","Travis Shaw",3500,"Mil@ChC 02:20PM ET",7.462,"Mil",0,5.9,7.13,6.7,16
"3B/OF","Hernan Perez",3500,"Mil@ChC 02:20PM ET",3.909,"Mil",NA,0,6.45,1.4,5
"OF","Jon Jay",3500,"Mil@ChC 02:20PM ET",3.889,"ChC",NA,0,1.62,1,4
"3B","Jhonny Peralta",3500,"Pit@StL 01:45PM ET",1.875,"StL",0,5.1,6.23,4.9,NA
"C","Stephen Vogt",3500,"Tex@Oak 03:35PM ET",5.9,"Oak",NA,0,1.77,4.9,NA
"1B","Yonder Alonso",3500,"Tex@Oak 03:35PM ET",6.545,"Oak",NA,0,1.8,1.4,21
"SS","Taylor Motter",3500,"Mia@Sea 03:40PM ET",8.8,"Sea",0,6.2,5.74,2.6,2
"OF","Leonys Martin",3500,"Mia@Sea 03:40PM ET",4.167,"Sea",0,6.3,6.39,6.1,4
"OF","Marcell Ozuna",3500,"Mia@Sea 03:40PM ET",11.846,"Mia",0,6.4,6.29,6.3,5
"SS","Orlando Arcia",3400,"Mil@ChC 02:20PM ET",4,"Mil",0,4.9,1.65,5.5,8
"1B","Josh Bell",3400,"Pit@StL 01:45PM ET",3,"Pit",0,6.8,6.26,6.2,14
"OF","Matt Adams",3400,"Pit@StL 01:45PM ET",2,"StL",NA,0,1.6,1.2,NA
"2B/3B","Jurickson Profar",3400,"Tex@Oak 03:35PM ET",4.25,"Tex",0,6.3,5.48,5.3,0
"C","JT. Realmuto",3400,"Mia@Sea 03:40PM ET",9.455,"Mia",0,6,NA,6,5
"OF","Matt Szczur",3300,"Mil@ChC 02:20PM ET",0.4,"ChC",NA,0,1.82,0.5,3
"2B","Kolten Wong",3300,"Pit@StL 01:45PM ET",4,"StL",0,6.5,5.7,5.7,0
"3B","David Freese",3300,"Pit@StL 01:45PM ET",7.417,"Pit",0,7.2,6.43,5.4,3
"SS","Jordy Mercer",3300,"Pit@StL 01:45PM ET",4,"Pit",0,5.8,5.16,4.8,0
"C","Josh Phegley",3300,"Tex@Oak 03:35PM ET",1.5,"Oak",0,6,6.13,0.6,11
"1B/OF","Mark Canha",3300,"Tex@Oak 03:35PM ET",1.667,"Oak",0,6.4,NA,0,NA
"2B/3B","Martin Prado",3300,"Mia@Sea 03:40PM ET",3,"Mia",NA,5.7,5.68,5.9,6
"OF","Jarrod Dyson",3300,"Mia@Sea 03:40PM ET",6.538,"Sea",0,8.3,8.67,7.7,7
"2B","Ian Happ",3200,"Mil@ChC 02:20PM ET",0,"ChC",NA,0,NA,0,NA
"2B/OF","Nick Franklin",3200,"Mil@ChC 02:20PM ET",5,"Mil",NA,0,1.6,0.6,0
"C","Francisco Cervelli",3200,"Pit@StL 01:45PM ET",6.615,"Pit",0,6.8,6.21,4.7,NA
"1B","Jesus Aguilar",3100,"Mil@ChC 02:20PM ET",3.5,"Mil",NA,0,1.57,0.7,NA
"2B/3B","Tommy La Stella",3100,"Mil@ChC 02:20PM ET",1.833,"ChC",NA,0,1.78,0.6,NA
"1B","John Jaso",3100,"Pit@StL 01:45PM ET",0.833,"Pit",NA,0,1.52,1.2,8
"SS","Kevin Newman",3100,"Pit@StL 01:45PM ET",0,"Pit",NA,0,NA,0,NA
"OF","Harrison Bader",3100,"Pit@StL 01:45PM ET",0,"StL",NA,0,NA,0,NA
"C","Robinson Chirinos",3100,"Tex@Oak 03:35PM ET",10.75,"Tex",NA,0,1.52,0.6,0
"C","Mike Zunino",3100,"Mia@Sea 03:40PM ET",2.818,"Sea",0,5.3,1.51,3.9,11
"OF","Ben Gamel",3100,"Mia@Sea 03:40PM ET",0,"Sea",NA,0,NA,0,NA
"C","Andrew Susac",3000,"Mil@ChC 02:20PM ET",0,"Mil",NA,0,NA,0,NA
"OF","Kirk Nieuwenhuis",3000,"Mil@ChC 02:20PM ET",1.667,"Mil",NA,0,1.62,0.9,NA
"1B/OF","Jose Martinez",3000,"Pit@StL 01:45PM ET",4.111,"StL",NA,0,1.62,1.3,5
"1B/OF","Jose Osuna",3000,"Pit@StL 01:45PM ET",0,"Pit",NA,0,1.55,0,NA
"C","Brett Nicholas",3000,"Tex@Oak 03:35PM ET",0,"Tex",NA,0,NA,0,NA
"2B","Jed Lowrie",3000,"Tex@Oak 03:35PM ET",6.231,"Oak",0,7.3,7.39,5.3,NA
"1B","Justin Bour",3000,"Mia@Sea 03:40PM ET",4.538,"Mia",0,7,6.81,6,3
"2B/3B","Greg Garcia",2900,"Pit@StL 01:45PM ET",2.636,"StL",NA,0,1.44,0.5,0
"1B/OF","Ryan Rua",2900,"Tex@Oak 03:35PM ET",2.286,"Tex",NA,0,1.61,0.9,NA
"OF","Jake Smolinski",2900,"Tex@Oak 03:35PM ET",0,"Oak",NA,0,NA,0,NA
"3B","Derek Dietrich",2900,"Mia@Sea 03:40PM ET",4.25,"Mia",0,0,1.49,1.2,NA
"OF","Guillermo Heredia",2900,"Mia@Sea 03:40PM ET",7.25,"Sea",NA,0,1.42,1.1,NA
"C","Manny Pina",2800,"Mil@ChC 02:20PM ET",7.5,"Mil",NA,0,NA,3.2,NA
"2B/3B","Phil Gosselin",2800,"Pit@StL 01:45PM ET",0.375,"Pit",NA,0,NA,0.6,NA
