"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12"
"Mookie Betts_BOS",NA,5,NA,NA,NA,NA,NA,6,0,6,0
"Todd Frazier_CWS",NA,NA,NA,NA,NA,0,14,4,NA,NA,NA
"Anthony Rizzo_CHC",3,NA,2,NA,NA,4,7,0,7,NA,6
"Mike Trout_LAA",NA,NA,10,10,NA,7,16,6,NA,16,14
"Jose Abreu_CWS",NA,NA,NA,NA,NA,5,0,5,NA,NA,0
"Kris Bryant_CHC",0,NA,0,NA,NA,12,21,18,9,NA,4
"Edwin Encarnacion_CLE",NA,NA,2,2,NA,5,0,8,NA,NA,2
"Michael Brantley_CLE",NA,NA,8,NA,NA,7,5,NA,NA,NA,2
"Miguel Cabrera_DET",NA,NA,NA,NA,NA,NA,2,6,0,NA,0
"Starling Marte_PIT",NA,2,NA,3,NA,NA,7,27,3,10,0
"Carlos Santana_CLE",NA,NA,21,11,NA,7,7,0,NA,NA,5
"Jason Kipnis_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melky Cabrera_CWS",NA,NA,NA,NA,NA,6,2,4,NA,NA,3
"Xander Bogaerts_BOS",NA,16,NA,0,NA,NA,NA,NA,NA,4,15
"Andrew McCutchen_PIT",NA,0,NA,0,NA,NA,2,0,5,8,10
"Gregory Polanco_PIT",NA,3,NA,0,NA,NA,25,5,3,9,NA
"Francisco Lindor_CLE",NA,NA,2,46,NA,14,10,3,NA,NA,10
"Hanley Ramirez_BOS",NA,3,NA,5,NA,NA,NA,NA,NA,7,12
"Corey Seager_LAD",NA,21,0,7,NA,NA,0,23,7,NA,5
"JD Martinez_DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tim Anderson_CWS",NA,NA,NA,NA,NA,10,3,3,NA,NA,3
"Kyle Schwarber_CHC",10,NA,4,NA,NA,0,7,19,8,NA,2
"Dustin Pedroia_BOS",NA,7,NA,5,NA,NA,5,3,3,14,3
"Jackie Bradley_BOS",NA,12,NA,15,NA,NA,2,NA,NA,NA,NA
"Brian Dozier_MIN",NA,7,NA,NA,NA,2,8,5,NA,NA,14
"Jose Ramirez_CLE",NA,NA,2,7,NA,0,NA,NA,NA,NA,2
"Ian Kinsler_DET",NA,NA,NA,NA,NA,NA,5,14,16,NA,2
"Justin Upton_DET",NA,NA,NA,NA,NA,NA,0,5,NA,NA,9
"Tyler Saladino_CWS",NA,NA,NA,NA,NA,3,16,NA,NA,NA,0
"Ben Zobrist_CHC",4,NA,NA,NA,NA,16,11,20,0,NA,3
"Andrew Benintendi_BOS",NA,18,NA,3,NA,NA,3,5,2,11,8
"Avisail Garcia_CWS",NA,NA,NA,NA,NA,5,31,7,NA,NA,7
"Miguel Sano_MIN",NA,20,NA,NA,NA,7,2,21,NA,NA,2
"Adrian Gonzalez_LAD",NA,13,3,11,NA,NA,8,11,0,NA,3
"Yasiel Puig_LAD",NA,11,0,17,NA,NA,8,0,2,NA,3
"Jonathan Lucroy_TEX",NA,NA,NA,5,NA,3,0,NA,NA,24,7
"Albert Pujols_LAA",NA,NA,0,5,NA,2,13,21,NA,9,0
"Rougned Odor_TEX",NA,NA,3,3,NA,21,5,2,NA,4,12
"Josh Harrison_PIT",NA,7,NA,3,NA,NA,5,NA,NA,6,7
"Cody Asche_CWS",NA,NA,NA,NA,NA,0,NA,3,NA,NA,6
"Tyler Naquin_CLE",NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA
"Willson Contreras_CHC",21,NA,7,NA,NA,3,11,NA,3,NA,3
"Logan Forsythe_LAD",NA,11,8,0,NA,NA,NA,19,8,NA,4
"Joc Pederson_LAD",NA,22,NA,2,NA,NA,2,NA,5,NA,2
"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0,NA,NA,5,3
"Pablo Sandoval_BOS",NA,7,NA,4,NA,NA,0,0,2,6,16
"Nicholas Castellanos_DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Jackson_CLE",NA,NA,10,0,NA,NA,NA,5,NA,NA,2
"Jacob May_CWS",NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA
"Yasmani Grandal_LAD",NA,30,0,0,NA,NA,4,NA,8,NA,2
"Javier Baez_CHC",3,NA,2,NA,NA,0,16,NA,2,NA,NA
"Justin Turner_LAD",NA,19,3,13,NA,NA,0,16,2,NA,NA
"Mike Napoli_TEX",NA,NA,9,0,NA,0,14,2,NA,8,21
"Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alen Hanson_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Victor Martinez_DET",NA,NA,NA,NA,NA,NA,2,8,3,NA,4
"Max Kepler_MIN",NA,5,NA,NA,NA,0,3,0,NA,NA,7
"Matt Davidson_CWS",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7
"Lonnie Chisenhall_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abraham Almonte_CLE",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"Charlie Tilson_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Addison Russell_CHC",3,NA,7,NA,NA,3,19,16,5,NA,0
"Carlos Gomez_TEX",NA,NA,0,4,NA,20,0,2,NA,0,16
"Kole Calhoun_LAA",NA,NA,7,11,NA,21,5,9,NA,0,10
"Francisco Cervelli_PIT",NA,9,NA,3,NA,NA,5,NA,6,4,5
"Joe Mauer_MIN",NA,6,NA,NA,NA,NA,5,5,NA,NA,7
"Geovany Soto_CWS",NA,NA,NA,NA,NA,2,14,NA,NA,NA,NA
"Brandon Guyer_CLE",NA,NA,5,2,NA,NA,NA,0,NA,NA,0
"Bradley Zimmer_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase Utley_LAD",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4
"Franklin Gutierrez_LAD",NA,NA,3,NA,NA,NA,NA,7,2,NA,NA
"Elvis Andrus_TEX",NA,NA,2,17,NA,7,0,5,NA,21,19
"Cameron Maybin_LAA",NA,NA,8,7,NA,14,3,NA,NA,11,NA
"Brock Holt_BOS",NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA
"Josh Bell_PIT",NA,5,NA,0,NA,NA,NA,13,3,0,0
"Kennys Vargas_MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robbie Grossman_MIN",NA,8,NA,NA,NA,12,NA,10,NA,NA,NA
"Yan Gomes_CLE",NA,NA,4,NA,NA,3,NA,6,NA,NA,NA
"CJ Cron_LAA",NA,NA,NA,8,NA,0,NA,10,NA,NA,5
"Nomar Mazara_TEX",NA,NA,10,24,NA,32,0,6,NA,8,7
"Mitch Moreland_BOS",NA,0,NA,0,NA,NA,10,13,15,5,9
"David Freese_PIT",NA,8,NA,5,NA,NA,NA,NA,2,5,19
"Jose Osuna_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Frazier_PIT",NA,7,NA,3,NA,NA,5,13,2,NA,0
"Jordy Mercer_PIT",NA,5,NA,0,NA,NA,7,5,2,2,5
"Eddie Rosario_MIN",NA,3,NA,NA,NA,0,5,0,NA,NA,5
"Byron Buxton_MIN",NA,0,NA,NA,NA,0,5,0,NA,NA,NA
"Leury Garcia_CWS",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2
"Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason Heyward_CHC",5,NA,5,NA,NA,5,NA,17,2,NA,8
"Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joey Gallo_TEX",NA,NA,19,4,NA,4,0,25,NA,2,16
"Sandy Leon_BOS",NA,8,NA,26,NA,NA,NA,14,0,NA,3
"John Jaso_PIT",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"Kevin Newman_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Young_BOS",NA,NA,NA,4,NA,NA,0,12,0,12,10
"Jorge Polanco_MIN",NA,12,NA,NA,NA,0,7,17,NA,NA,2
"Austin Barnes_LAD",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA
"Trayce Thompson_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albert Almora_CHC",NA,NA,3,NA,NA,NA,17,NA,NA,NA,NA
