"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Rick Porcello","Zack Wheeler","Evan Gattis","Eric Thames","Dustin Pedroia","Marwin Gonzalez","Carlos Correa","Aaron Judge","George Springer","Josh Reddick"
"2","Aaron Nola","Rick Porcello","Austin Romine","Eric Thames","Jonathan Villar","Travis Shaw","Carlos Correa","Aaron Judge","Domingo Santana","Ryan Braun"
"3","Aaron Nola","Jhoulys Chacin","Sandy Leon","Eric Thames","Dustin Pedroia","Tzu-Wei Lin","Carlos Correa","Aaron Judge","Mookie Betts","Chris Young"
"4","Jhoulys Chacin","Rick Porcello","Gary Sanchez","Eric Thames","Dustin Pedroia","Chase Headley","Didi Gregorius","Aaron Judge","Brett Gardner","Jay Bruce"
"5","Aaron Nola","Jhoulys Chacin","Russell Martin","Eric Thames","Dustin Pedroia","Alex Bregman","Carlos Correa","George Springer","Josh Reddick","Norichika Aoki"
"6","Aaron Nola","Zack Wheeler","Gary Sanchez","Eric Thames","Jonathan Villar","Miguel Sano","Orlando Arcia","Aaron Judge","Ryan Braun","Keon Broxton"
"7","Aaron Nola","Zack Wheeler","Austin Romine","Eric Thames","Dustin Pedroia","Ronald Torreyes","Carlos Correa","Aaron Judge","Brett Gardner","Clint Frazier"
"8","Jhoulys Chacin","Rick Porcello","Travis d'Arnaud","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Didi Gregorius","Bryce Harper","Brett Gardner","Brian Goodwin"
"9","Aaron Nola","Wade Miley","Russell Martin","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Xander Bogaerts","Bryce Harper","Tommy Pham","Brian Goodwin"
"10","Aaron Nola","Wade Miley","Gary Sanchez","Adam Lind","Jonathan Schoop","Chase Headley","Didi Gregorius","Aaron Judge","Brett Gardner","Ezequiel Carrera"
"11","Aaron Nola","Jhoulys Chacin","Travis d'Arnaud","Trey Mancini","Jonathan Schoop","Manny Machado","Didi Gregorius","Brett Gardner","Mark Trumbo","Adam Jones"
"12","Aaron Nola","Rick Porcello","Russell Martin","Justin Smoak","Darwin Barney","Josh Donaldson","Carlos Correa","Bryce Harper","Tommy Pham","Jose Bautista"
"13","Aaron Nola","Jhoulys Chacin","Welington Castillo","Trey Mancini","Johnny Giavotella","Josh Donaldson","Carlos Correa","Bryce Harper","Mark Trumbo","Adam Jones"
"14","Aaron Nola","Zack Wheeler","Jesus Sucre","Logan Morrison","Dustin Pedroia","Evan Longoria","Carlos Correa","Aaron Judge","Mallex Smith","Corey Dickerson"
"15","Aaron Nola","Jhoulys Chacin","Jason Castro","Eric Thames","Jonathan Villar","Travis Shaw","Orlando Arcia","Bryce Harper","Tommy Pham","Ryan Braun"
"16","Aaron Nola","Zack Wheeler","Gary Sanchez","Kennys Vargas","Asdrubal Cabrera","Chase Headley","Didi Gregorius","Aaron Judge","Jay Bruce","Jacoby Ellsbury"
"17","Rick Porcello","Zack Wheeler","Gary Sanchez","Trey Mancini","Jonathan Schoop","Ronald Torreyes","Didi Gregorius","Aaron Judge","Bryce Harper","Brett Gardner"
"18","Aaron Nola","Jhoulys Chacin","Gary Sanchez","Ryan Zimmerman","Paul DeJong","Chase Headley","Didi Gregorius","Bryce Harper","Jacoby Ellsbury","Clint Frazier"
"19","Aaron Nola","Jhoulys Chacin","Yadier Molina","Luke Voit","Dustin Pedroia","Jedd Gyorko","Carlos Correa","Aaron Judge","Tommy Pham","Stephen Piscotty"
"20","Aaron Nola","Jhoulys Chacin","Gary Sanchez","TJ Rivera","Asdrubal Cabrera","Miguel Sano","Xander Bogaerts","Curtis Granderson","Jay Bruce","Yoenis Cespedes"
