"Place_lo","Place_hi","Payout"
"1","1","300"
"2","2","175"
"3","3","125"
"4","4","100"
"5","5","75"
"6","6","50"
"7","8","40"
"9","10","25"
"11","15","18"
"16","20","15"
"21","25","12"
"26","30","11"
"31","40","10"
"41","50","9"
"51","75","8"
"76","100","7"
"101","150","6"
"151","250","5"
"251","350","4"
