"","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Madison Bumgarner","P","SF","@ SD",3.18,"Chacin, R 5.25","L",2.76,0,0,6.2,9.9,1.01,NA,12500,47.2,21.7,23.42,23.42,"%",45,1.9,NA,NA
"Yu Darvish","P","TEX","vs OAK",3.92,"Graveman, R 4.02","R",3.79,0,0,5.9,11.3,1.13,NA,10500,39,20.4,19.41,19.41,"%",52,1.8,NA,NA
"Chris Archer","P","TB","vs TOR",3.57,"Sanchez, R 3.26","R",3.97,0,0,6.1,10.3,1.24,NA,10200,39.8,18.9,20.72,20.72,"%",50,2,NA,NA
"Clayton Kershaw","P","LAD","@ COL",3.73,"Gray, R 4.91","L",1.9,0,0,6.3,10.4,0.74,NA,10000,48,25.9,20.4,20.4,"%",47,2,NA,NA
"Danny Duffy","P","KC","@ HOU",4.45,"Keuchel, L 4.42","L",3.44,0,0,4.3,9.6,1.14,NA,9700,36.9,13.7,12.98,12.98,"%",13,1.3,NA,NA
"Aaron Sanchez","P","TOR","@ TB",3.94,"Archer, R 3.97","R",3.26,0,0,6.2,7.5,1.18,NA,9500,34.8,17.2,14.62,14.62,"%",41,1.5,NA,NA
"Felix Hernandez","P","SEA","@ LAA",3.95,"Nolasco, R 4.33","R",3.81,0,0,6.1,7.2,1.31,NA,9400,34,15.1,13.91,13.91,"%",34,1.5,NA,NA
"Dallas Keuchel","P","HOU","vs KC",3.05,"Duffy, L 3.44","L",4.42,0,0,6.5,7.6,1.26,NA,9200,38.8,15.9,19.31,19.31,"%",39,2.1,NA,NA
"Kyle Hendricks","P","CHC","@ MIL",3.75,"Milone, L 5.80","R",2.13,0,0,5.9,7.8,0.97,NA,9000,37,19.3,18.56,18.56,"%",52,2.1,NA,NA
"Zack Greinke","P","ARI","vs CLE",4.78,"Bauer, R 4.30","R",4.34,0,0,5.8,7.6,1.25,NA,8100,36,15,11.73,11.73,"%",19,1.4,NA,NA
"Masahiro Tanaka","P","NYY","@ BAL",4.11,"Gausman, R 3.60","R",3.38,0,0,6.3,7.6,1.11,NA,7800,33.9,17.5,14.37,14.37,"%",44,1.8,NA,NA
"Aaron Nola","P","PHI","vs WSH",3.99,"Guthrie, R","R",4.95,0,0,5.6,9.8,1.29,NA,7700,36.7,15.2,11.86,11.86,"%",18,1.5,NA,NA
"Ricky Nolasco","P","LAA","vs SEA",4.05,"Hernandez, R 3.81","R",4.33,0,0,6.2,6.5,1.25,NA,7600,36.2,13.4,14.44,14.44,"%",19,1.9,NA,NA
"Kevin Gausman","P","BAL","vs NYY",3.9,"Tanaka, R 3.38","R",3.6,0,0,6,8.6,1.29,NA,7500,35.6,16.6,16.37,16.37,"%",42,2.2,NA,NA
"Eduardo Rodriguez","P","BOS","@ DET",4.36,"Zimmermann, R 4.87","L",4.71,0,0,5.4,8.3,1.29,NA,7400,35.7,12.8,11.64,11.64,"%",6,1.6,NA,NA
"Michael Wacha","P","STL","vs CIN",3.45,"Arroyo, R","R",5.09,0,0,5.1,7.4,1.43,NA,7100,34.7,10.8,13.89,13.89,"%",4,2,NA,NA
"Trevor Bauer","P","CLE","@ ARI",4.72,"Greinke, R 4.34","R",4.3,0,0,5.4,8,1.31,NA,7000,33.7,13.7,10.81,10.81,"%",17,1.5,NA,NA
"Jordan Zimmermann","P","DET","vs BOS",4.14,"Rodriguez, L 4.71","R",4.87,0,0,5.5,5.7,1.37,NA,6900,34.3,10.7,9.62,9.62,"%",0,1.4,NA,NA
"Robert Gsellman","P","NYM","vs MIA",3.83,"Conley, L 3.85","R",2.36,0,0,4.6,8.4,1.25,NA,6900,31.7,14.6,13.26,13.26,"%",37,1.9,NA,NA
"Adam Conley","P","MIA","@ NYM",4.17,"Gsellman, R 2.36","L",3.85,0,0,5.3,8.5,1.35,NA,6800,33,14.1,10.97,10.97,"%",22,1.6,NA,NA
"Miguel Gonzalez","P","CWS","vs MIN",4.07,"Mejia, L 7.71","R",3.67,0,0,5.6,6.4,1.23,NA,6700,32,12.5,12.33,12.33,"%",21,1.8,NA,NA
"Jon Gray","P","COL","vs LAD",5.27,"Kershaw, L 1.90","R",4.91,0,0,5.7,9.9,1.29,NA,6500,40.7,16.1,11,11,"%",8,1.7,NA,NA
"R.A. Dickey","P","ATL","@ PIT",4.72,"Kuhl, R 4.20","R",4.35,0,0,5.5,6.7,1.36,NA,6300,26.6,11.9,9.08,9.08,"%",26,1.4,NA,NA
"Adalberto Mejia","P","MIN","@ CWS",4.43,"Gonzalez, R 3.67","L",7.71,0,0,2.3,0,2.57,NA,6100,8.3,-2.4,8.26,8.26,"%",0,1.4,NA,NA
"Jeremy Guthrie","P","WSH","@ PHI",4.51,"Nola, R 4.95","R",NA,0,0,0,0,0,NA,5900,9.1,NA,9.1,9.1,"%",0,1.5,NA,NA
"Chad Kuhl","P","PIT","vs ATL",3.78,"Dickey, R 4.35","R",4.2,0,0,4.7,6.7,1.32,NA,5700,31.5,10.7,12.46,12.46,"%",11,2.2,NA,NA
"Jhoulys Chacin","P","SD","vs SF",4.32,"Bumgarner, L 2.76","R",5.25,0,0,4.2,7.5,1.44,NA,5500,30.8,8.5,6.97,6.97,"%",0,1.3,NA,NA
