"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Seahawks","D",4100,"SEA","SF",9.9,3,7.1560858174898
"Panthers","D",3800,"CAR","MIN",10.2,2,5.17257221733298
"Cardinals","D",3600,"ARI","@BUF",8.1,8,8.06963737679612
"Broncos","D",3500,"DEN","@CIN",8.6,9,6.9692508427993
"Giants","D",3300,"NYG","WAS",8.7,3,2.39495892693425
"Patriots","D",3200,"NE","HOU",9.4,20,0
"Chiefs","D",3200,"KC","NYJ",9,29,0.966028705202997
"Vikings","D",3100,"MIN","@CAR",6.2,28,1.41463683568936
"Buccaneers","D",3100,"TB","LA",8.1,10,3.80918738016527
"Texans","D",3000,"HOU","@NE",8.2,1,0
"Dolphins","D",3000,"MIA","CLE",7.9,7,30.5988724560325
"Packers","D",3000,"GB","DET",8.7,5,1.09058535499666
"Rams","D",3000,"LA","@TB",8.2,12,1.76788766215336
"Jets","D",2900,"NYJ","@KC",7,3,1.32499688608376
"Steelers","D",2900,"PIT","@PHI",8.2,-1,2.33043449851655
"Bengals","D",2800,"CIN","DEN",7.8,5,3.41448573417977
"Eagles","D",2800,"PHI","PIT",8,17,0.513132558904065
"Bills","D",2700,"BUF","ARI",5.3,22,0.161923644731764
"Bears","D",2700,"CHI","@DAL",4.2,1,0.151714083273267
"Raiders","D",2600,"OAK","@TEN",7.4,11,1.45833375873173
"Jaguars","D",2600,"JAX","BAL",7.5,9,0.441257246236245
"Titans","D",2500,"TEN","OAK",7,4,0.499655937778849
"Ravens","D",2500,"BAL","@JAX",6.9,13,2.86847838737935
"Cowboys","D",2500,"DAL","CHI",6.7,5,10.5111519039811
"Redskins","D",2400,"WAS","@NYG",8.8,8,0.509252925549836
"Lions","D",2400,"DET","@GB",7.1,1,0.191939755419746
"49ers","D",2400,"SF","@SEA",4.6,2,3.47635567661827
"Colts","D",2400,"IND","SD",6.9,11,0.28117132256701
"Browns","D",2300,"CLE","@MIA",6.3,12,0.441053055007075
"Chargers","D",2300,"SD","@IND",6.2,14,2.01495904944899
"Saints","D",2200,"NO","ATL",6.7,-2,0
"Falcons","D",2000,"ATL","@NO",5.4,11,0
