"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Dion Lewis","RB",4000,"NE","@MIA",12.8,7.2,1.85262890823217
"Damien Williams","RB",3900,"MIA","NE",3.3,4.8,0.0580623755806237
"Kenny Stills","WR",3900,"MIA","NE",8.3,14.1,1.1068445294508
"C.J. Fiedorowicz","TE",3900,"HOU","@TEN",9.6,9.2,1.02731371247902
"Martellus Bennett","TE",3900,"NE","@MIA",8.6,12.3,2.9553261251415
"Ryan Mathews","RB",3900,"PHI","DAL",0,0,0.000731878683789375
"Jalen Richard","RB",3900,"OAK","@DEN",7.7,0.8,0.0602580116319919
"DuJuan Harris","RB",3900,"SF","SEA",6.3,-1.1,0.0378137319957844
"Chris Hogan","WR",3900,"NE","@MIA",11.6,6.7,4.40786135290214
"Victor Cruz","WR",3800,"NYG","@WAS",3.8,2.7,0.473281548850463
"James White","RB",3800,"NE","@MIA",8,7,1.19320621413794
"Quincy Enunwa","WR",3800,"NYJ","BUF",10.6,13.1,0.661618330145595
"Alfred Morris","RB",3800,"DAL","@PHI",0,2.5,0.647712635153597
"Justin Forsett","RB",3800,"DEN","OAK",8.8,9,0.0873375229321988
"DeAndre Washington","RB",3800,"OAK","@DEN",4.5,7.7,0.405216831258051
"Antonio Gates","TE",3800,"SD","KC",11.3,16.5,4.14462898629923
"Cameron Artis-Payne","RB",3800,"CAR","@TB",0,0,0.0373258128732581
"Adam Humphries","WR",3700,"TB","CAR",10.8,19.4,0.555739880557399
"Phillip Dorsett","WR",3700,"IND","JAX",7.5,9.6,0.272258870369648
"Corey Coleman","WR",3700,"CLE","@PIT",10.6,9.9,0.354229282954058
"Ronnie Hillman","RB",3700,"SD","KC",18.3,12.1,1.58549318864905
"Chris Thompson","RB",3700,"WAS","NYG",9,10.2,0.872155431515672
"Brice Butler","WR",3700,"DAL","@PHI",8.2,1.3,0.658690815410438
"T.J. Yeldon","RB",3600,"JAX","@IND",0,0,0.000731878683789375
"Robert Turbin","RB",3600,"IND","JAX",6,11.3,0.0988036223115656
"Deonte Thompson","WR",3600,"CHI","@MIN",9.8,0,0.0678207580311488
"Robert Woods","WR",3600,"BUF","@NYJ",6.4,8.3,0.45669229868457
"Brian Quick","WR",3600,"LA","ARI",6.5,3.5,0.142472383777665
"John Brown","WR",3600,"ARI","@LA",9.8,4.5,0.0434248019048363
"Eric Ebron","TE",3600,"DET","GB",12,12.1,16.4845915141106
"Allen Hurns","WR",3600,"JAX","@IND",0,0,0.009758382450525
"Christine Michael","RB",3500,"GB","@DET",4.8,2.6,0.159061633943558
"Michael Floyd","WR",3500,"NE","@MIA",10.4,12.6,1.0036496350365
"Khiry Robinson","RB",3500,"NYJ","BUF",0,0,0.000243959561263125
"Charles Clay","TE",3500,"BUF","@NYJ",9.4,5,3.91311136266053
"Rex Burkhead","RB",3500,"CIN","BAL",14.2,31.4,6.14558530777938
"Duke Johnson","RB",3500,"CLE","@PIT",8.4,0.4,0.0380576915570475
"Andre Ellington","RB",3500,"ARI","@LA",3,4.6,0.00731878683789375
"Devontae Booker","RB",3500,"DEN","OAK",12.4,24.9,0.990475818728288
"Terrance Williams","WR",3500,"DAL","@PHI",7.2,12.3,0.509387563917405
"Aldrick Robinson","WR",3400,"ATL","NO",8.3,5.6,0.892648034661775
"Paul Perkins","RB",3400,"NYG","@WAS",8.3,13.2,1.62721027362504
"Matt Jones","RB",3400,"WAS","NYG",0,0,0.0458643975174675
"Akeem Hunt","RB",3400,"HOU","@TEN",4.4,0,0.0102463015730513
"Russell Shepard","WR",3400,"TB","CAR",4.7,4.9,0.0990475818728288
"Dwayne Washington","RB",3400,"DET","GB",5.8,0,0.0912408759124088
"Cordarrelle Patterson","WR",3400,"MIN","CHI",6.5,4.9,0.291287716148171
"Dennis Pitta","TE",3400,"BAL","@CIN",10,20.1,4.52423006362465
"Paul Richardson","WR",3400,"SEA","@SF",12.1,8.5,0.99145165697334
"Vernon Davis","TE",3300,"WAS","NYG",5.4,6.9,0.961444630937976
"Devin Funchess","WR",3300,"CAR","@TB",0,0,0.0009758382450525
"Danny Amendola","WR",3300,"NE","@MIA",0,0,0.00439127210273625
"Nelson Agholor","WR",3300,"PHI","DAL",7.8,-0.1,0.525488894960771
"Mike Davis","RB",3300,"SF","SEA",1.5,0,0.0068308677153675
"Zach Zenner","RB",3200,"DET","GB",14.2,21,6.64814200398142
"Jack Doyle","TE",3200,"IND","JAX",7.7,9,0.898015145009563
"Charles Johnson","WR",3200,"MIN","CHI",7.4,2.1,0.0112221398181038
"Marquise Goodwin","WR",3200,"BUF","@NYJ",5,1.8,0.126127093173036
"Dorial Green-Beckham","WR",3200,"PHI","DAL",9.3,2.5,0.55817947617003
"Shaun Draughn","RB",3200,"SF","SEA",10.8,26.9,1.38569030797455
"Jeremy Kerley","WR",3200,"SF","SEA",9.9,12.1,0.45669229868457
"Coby Fleener","TE",3100,"NO","@ATL",8.5,6.8,3.52180022639447
"Tajae Sharpe","WR",3100,"TEN","HOU",7.5,0,0.105146570904407
"Jared Cook","TE",3100,"GB","@DET",7,9.6,3.75990475818728
"Matt Asiata","RB",3100,"MIN","CHI",9.2,7.5,0.520609703735509
"Josh Bellamy","WR",3100,"CHI","@MIN",3.5,1.8,0
"Jason Witten","TE",3100,"DAL","@PHI",7.9,2,0.970715094265974
"John Kuhn","RB",3000,"NO","@ATL",2,0,0.0185409266559975
"Travaris Cadet","RB",3000,"NO","@ATL",5.5,10.8,0.0988036223115656
"Patrick DiMarco","RB",3000,"ATL","NO",0,0,0.00146375736757875
"Marcus Murphy","RB",3000,"NO","@ATL",0,0,0.00048791912252625
"Terron Ward","RB",3000,"ATL","NO",0,0,0.00609898903157813
"Daniel Lasco","RB",3000,"NO","@ATL",0,0,0.00170771692884188
"Eric Weems","WR",3000,"ATL","NO",0,0,0.00512315078652563
"Nick Williams","WR",3000,"ATL","NO",0,2,0.0656251219797806
"Brandon Coleman","WR",3000,"NO","@ATL",1.4,1.8,0.0751395448690425
"Justin Hardy","WR",3000,"ATL","NO",7.5,14.3,0.0668449197860962
"Corey Fuller","WR",3000,"NO","@ATL",0,0,0.0009758382450525
"Tommylee Lewis","WR",3000,"NO","@ATL",0,0,0.00219563605136813
"Jake Lampman","WR",3000,"NO","@ATL",0,0,0.000243959561263125
"Cedric Peerman","RB",3000,"CIN","BAL",0,1.5,0.00317147429642063
"Kyle Juszczyk","RB",3000,"BAL","@CIN",3.7,2.1,0.0219563605136813
"Javorius Allen","RB",3000,"BAL","@CIN",0,0,0.00268355517389438
"Kamar Aiken","WR",3000,"BAL","@CIN",5.3,4.2,0.0180530075334713
"Michael Campanaro","WR",3000,"BAL","@CIN",0,1,0.00146375736757875
"James Wright","WR",3000,"CIN","BAL",3.2,0,0.00219563605136813
"Chris Moore","WR",3000,"BAL","@CIN",0,0,0.000243959561263125
"Alex Erickson","WR",3000,"CIN","BAL",2.1,0,0.0029275147351575
"Breshad Perriman","WR",3000,"BAL","@CIN",5.4,10.2,0.0966079862601975
"Cody Core","WR",3000,"CIN","BAL",6.5,12.2,0.220051524259339
"Shane Vereen","RB",3000,"NYG","@WAS",0,0,0.00048791912252625
"Bobby Rainey","RB",3000,"NYG","@WAS",12.8,1.3,0.0939244310863031
"George Winn","RB",3000,"NYG","@WAS",0,0,0.000243959561263125
"Mack Brown","RB",3000,"WAS","NYG",0,0,0.0378137319957844
"Dwayne Harris","WR",3000,"NYG","@WAS",6.9,0,0.00512315078652563
"Tavarres King","WR",3000,"NYG","@WAS",2.7,5.4,0.000731878683789375
"Ryan Grant","WR",3000,"WAS","NYG",2.5,0,0.00268355517389438
"Maurice Harris","WR",3000,"WAS","NYG",0,2.5,0.00048791912252625
"Roger Lewis","WR",3000,"NYG","@WAS",7.6,0,0.0192728053397869
"Jonathan Grimes","RB",3000,"HOU","@TEN",1.9,8.9,0.00536711034778875
"Jay Prosch","RB",3000,"HOU","@TEN",0,0,0
"Jalston Fowler","RB",3000,"TEN","HOU",0,0,0.00048791912252625
"Antonio Andrews","RB",3000,"TEN","HOU",0,0,0
"Tyler Ervin","RB",3000,"HOU","@TEN",0,0,0.00121979780631563
"Harry Douglas","WR",3000,"TEN","HOU",3.8,0,0.0104902611343144
"Marc Mariani","WR",3000,"TEN","HOU",0,1.5,0
"Kendall Wright","WR",3000,"TEN","HOU",0,0,0.0378137319957844
"Keith Mumphery","WR",3000,"HOU","@TEN",3.9,5.3,0.00243959561263125
"Tre McBride","WR",3000,"TEN","HOU",1.6,0,0.000243959561263125
"Wendall Williams","WR",3000,"HOU","@TEN",0,6.1,0.00317147429642063
"Mike Tolbert","RB",3000,"CAR","@TB",2,2.4,0.0048791912252625
"Fozzy Whittaker","RB",3000,"CAR","@TB",4.1,0.9,0.0224442796362075
"Peyton Barber","RB",3000,"TB","CAR",3.3,1.9,0.009758382450525
"Brenton Bersin","WR",3000,"CAR","@TB",4.5,2,0.0009758382450525
"Josh Huff","WR",3000,"TB","CAR",0,0,0.00658690815410438
"Bernard Reedy","WR",3000,"TB","CAR",0,0,0.00048791912252625
"Freddie Martino","WR",3000,"TB","CAR",5.5,1.9,0.000731878683789375
"Corey Brown","WR",3000,"CAR","@TB",7.3,4,0.00731878683789375
"James Starks","RB",3000,"GB","@DET",0,0,0.0009758382450525
"Joique Bell","RB",3000,"DET","GB",0,0,0.00317147429642063
"Mike Burton","RB",3000,"DET","GB",0,0,0
"Aaron Ripkowski","RB",3000,"GB","@DET",1.9,15.6,0.0100023420117881
"Joe Kerridge","RB",3000,"GB","@DET",0,0,0
"Andre Roberts","WR",3000,"DET","GB",2.6,0,0.00658690815410438
"T.J. Jones","WR",3000,"DET","GB",1.1,4.5,0
"Trevor Davis","WR",3000,"GB","@DET",0,0,0.00268355517389438
"Jeff Janis","WR",3000,"GB","@DET",1.4,0,0.0163452906046294
"Geronimo Allison","WR",3000,"GB","@DET",0,19.1,0.320318903938483
"Jordan Todman","RB",3000,"IND","JAX",0,0,0.00048791912252625
"Denard Robinson","RB",3000,"JAX","@IND",11.8,1.7,1.45717045942465
"Corey Grant","RB",3000,"JAX","@IND",4.2,24.7,0.0695284749599906
"Bronson Hill","RB",3000,"JAX","@IND",0,1.1,0.0009758382450525
"Josh Ferguson","RB",3000,"IND","JAX",1.3,0,0.00048791912252625
"Bryan Walters","WR",3000,"JAX","@IND",10.4,16.8,0.0707482727663063
"Arrelious Benn","WR",3000,"JAX","@IND",3,0,0.00146375736757875
"Tony Washington","WR",3000,"JAX","@IND",0,1.9,0.00170771692884188
"Devin Street","WR",3000,"IND","JAX",2.2,0,0.00219563605136813
"Shane Wynn","WR",3000,"JAX","@IND",0,0,0.00219563605136813
"Chester Rogers","WR",3000,"IND","JAX",8.5,11.2,0.00927046332799875
"James Develin","RB",3000,"NE","@MIA",0,0,0.00048791912252625
"Brandon Bolden","RB",3000,"NE","@MIA",0,0,0.00365939341894688
"D.J. Foster","RB",3000,"NE","@MIA",0,0,0.000731878683789375
"Kenyan Drake","RB",3000,"MIA","NE",2.5,1,0.0744076661852531
"Matt Slater","WR",3000,"NE","@MIA",0,0,0
"Rashawn Scott","WR",3000,"MIA","NE",0,0,0.00048791912252625
"Jakeem Grant","WR",3000,"MIA","NE",0,0.1,0.000731878683789375
"Leonte Carroo","WR",3000,"MIA","NE",1,0,0.00048791912252625
"Zach Line","RB",3000,"MIN","CHI",0,0,0.000243959561263125
"Ka'Deem Carey","RB",3000,"CHI","@MIN",0,0,0.00048791912252625
"Paul Lasike","RB",3000,"CHI","@MIN",1.4,0,0
"Bralon Addison","RB",3000,"CHI","@MIN",0,1.5,0.00146375736757875
"C.J. Ham","RB",3000,"MIN","CHI",0,0,0.000243959561263125
"Jarius Wright","WR",3000,"MIN","CHI",6.2,13.4,0.00146375736757875
"Daniel Braverman","WR",3000,"CHI","@MIN",0,0,0.00048791912252625
"Laquon Treadwell","WR",3000,"MIN","CHI",0,0,0
"Reggie Bush","RB",3000,"BUF","@NYJ",2.5,0,0.00219563605136813
"Jerome Felton","RB",3000,"BUF","@NYJ",0,0,0
"Brandon Wilds","RB",3000,"NYJ","BUF",6.6,4.9,0.0229321987587338
"Jonathan Williams","RB",3000,"BUF","@NYJ",0,0.1,0.0009758382450525
"Brandon Tate","WR",3000,"BUF","@NYJ",0,0,0.00414731254147313
"Justin Hunter","WR",3000,"BUF","@NYJ",2.2,7.4,0.00268355517389438
"Dezmin Lewis","WR",3000,"BUF","@NYJ",0,0,0.000731878683789375
"Charone Peake","WR",3000,"NYJ","BUF",6.4,4.2,0.0114660993793669
"Devin Smith","WR",3000,"NYJ","BUF",0,0,0.00365939341894688
"Jalin Marshall","WR",3000,"NYJ","BUF",0,11.2,0.00341543385768375
"Lance Dunbar","RB",3000,"DAL","@PHI",6.4,6.9,0.0251278348101019
"Keith Smith","RB",3000,"DAL","@PHI",0,0,0
"Byron Marshall","RB",3000,"PHI","DAL",4.4,5.6,0.402533276084156
"Paul Turner","WR",3000,"PHI","DAL",9.9,5,0.542322104687927
"Bryce Treggs","WR",3000,"PHI","DAL",6,0,0.00170771692884188
"Lucky Whitehead","WR",3000,"DAL","@PHI",3.9,1.8,0.01171005894063
"Vince Mayle","WR",3000,"DAL","@PHI",1.2,0,0.000731878683789375
"Roosevelt Nix","RB",3000,"PIT","CLE",0,2.5,0.000243959561263125
"George Atkinson","RB",3000,"CLE","@PIT",0,9.4,0
"Darius Jackson","RB",3000,"CLE","@PIT",0,0,0.00048791912252625
"Andrew Hawkins","WR",3000,"CLE","@PIT",4.8,5.9,0.00829462508294625
"Darrius Heyward-Bey","WR",3000,"PIT","CLE",6.5,5.6,0.112465357742301
"Cobi Hamilton","WR",3000,"PIT","CLE",8.4,14.4,0.107830126078301
"Sammie Coates","WR",3000,"PIT","CLE",5.2,0,0.105634490026933
"Ricardo Louis","WR",3000,"CLE","@PIT",0,4.2,0
"Demarcus Ayers","WR",3000,"PIT","CLE",3.6,14.2,0.0200046840235763
"Rashard Higgins","WR",3000,"CLE","@PIT",1.4,0,0.0009758382450525
"Mario Alford","WR",3000,"CLE","@PIT",0,0,0
"Jesse James","TE",3000,"PIT","CLE",4.3,3.6,2.49131503961903
"Chase Reynolds","RB",3000,"LA","ARI",0,1.4,0.00048791912252625
"Stepfan Taylor","RB",3000,"ARI","@LA",0,0,0
"Kerwynn Williams","RB",3000,"ARI","@LA",0,12,0.00121979780631563
"Aaron Green","RB",3000,"LA","ARI",0,0,0.00121979780631563
"Malcolm Brown","RB",3000,"LA","ARI",4.2,1.1,0.00048791912252625
"Jeremy Ross","WR",3000,"ARI","@LA",0,13.7,0
"Brittan Golden","WR",3000,"ARI","@LA",2.7,1,0.00219563605136813
"Paul McRoberts","WR",3000,"LA","ARI",0,1.6,0
"Marquis Bundy","WR",3000,"ARI","@LA",0,0,0
"Pharoh Cooper","WR",3000,"LA","ARI",6.7,6.6,0.00121979780631563
"Mike Thomas","WR",3000,"LA","ARI",4,2.5,0.00048791912252625
"Taiwan Jones","RB",3000,"OAK","@DEN",0,0,0.0009758382450525
"Juwan Thompson","RB",3000,"DEN","OAK",1.4,0.1,0.0009758382450525
"Jamize Olawale","RB",3000,"OAK","@DEN",1.8,2,0.00048791912252625
"Jordan Norwood","WR",3000,"DEN","OAK",5,0,0.0048791912252625
"Bennie Fowler","WR",3000,"DEN","OAK",0,0,0.00365939341894688
"Jordan Taylor","WR",3000,"DEN","OAK",2.2,7.1,0.00439127210273625
"Andre Holmes","WR",3000,"OAK","@DEN",3.5,0,0.0129298567469456
"Cody Latimer","WR",3000,"DEN","OAK",1.7,5.8,0.000731878683789375
"Kalif Raymond","WR",3000,"DEN","OAK",0,0,0
"Seth Roberts","WR",3000,"OAK","@DEN",5.4,5.6,0.0558667395292556
"Johnny Holton","WR",3000,"OAK","@DEN",0,-1,0.000243959561263125
"Anthony Sherman","RB",3000,"KC","@SD",0,1.2,0.00146375736757875
"Knile Davis","RB",3000,"KC","@SD",4.3,0.9,0.00365939341894688
"Derek Watt","RB",3000,"SD","KC",0,0,0.00146375736757875
"Albert Wilson","WR",3000,"KC","@SD",2.9,5.2,0.017565088410945
"Geremy Davis","WR",3000,"SD","KC",3.5,0,0.000243959561263125
"Isaiah Burse","WR",3000,"SD","KC",0,0,0.000243959561263125
"Chris Conley","WR",3000,"KC","@SD",6.5,9.5,0.0200046840235763
"Jeremy Butler","WR",3000,"SD","KC",5,0,0
"De'Anthony Thomas","WR",3000,"KC","@SD",0,0,0.00146375736757875
"Demarcus Robinson","WR",3000,"KC","@SD",0,0,0.00121979780631563
"Marcel Reece","RB",3000,"SEA","@SF",3.5,4.5,0.00268355517389438
"Terrence Magee","RB",3000,"SEA","@SF",0,0,0.00146375736757875
"J.D. McKissic","RB",3000,"SEA","@SF",0,3.8,0.00121979780631563
"Rod Streater","WR",3000,"SF","SEA",5,1.5,0.0368378937507319
"Tanner McEvoy","WR",3000,"SEA","@SF",2.4,3.6,0.00658690815410438
"Chris Harper","WR",3000,"SF","SEA",4.5,5.5,0.00341543385768375
"Aaron Burbridge","WR",3000,"SF","SEA",4.7,3.4,0.00365939341894688
"DeAndre Smelter","WR",3000,"SF","SEA",2.6,3.3,0.00121979780631563
"Ryan Griffin","TE",2900,"HOU","@TEN",5.5,3,0.0909969163511456
"Gary Barnidge","TE",2900,"CLE","@PIT",9.3,15,0.792136695421367
"Will Tye","TE",2800,"NYG","@WAS",7.3,8.7,0.310560521487958
"Gavin Escobar","TE",2800,"DAL","@PHI",1.5,1.7,0.0531831843553613
"Brandon Myers","TE",2700,"TB","CAR",5.5,0,1.38081111674929
"Erik Swoope","TE",2700,"IND","JAX",0,3.2,0.0619657285608338
"Hunter Henry","TE",2700,"SD","KC",6.7,14.3,0.393018853194894
"Garrett Celek","TE",2700,"SF","SEA",5.5,7.9,0.0922167141574613
"Lance Kendricks","TE",2700,"LA","ARI",8.4,3.2,0.102463015730513
"Dwayne Allen","TE",2600,"IND","JAX",6.9,12.4,0.514754674265194
"Jermaine Gresham","TE",2600,"ARI","@LA",8.6,0,0.469866114992779
"John Phillips","TE",2500,"NO","@ATL",3.9,0,0.0239080370037863
"Levine Toilolo","TE",2500,"ATL","NO",6.1,2.8,0.0844100081970413
"D.J. Tialavea","TE",2500,"ATL","NO",0,0,0.0726999492564113
"Joshua Perkins","TE",2500,"ATL","NO",2,0,0.0485479526913619
"Austin Hooper","TE",2500,"ATL","NO",0,0,0.00219563605136813
"Ryan Hewitt","TE",2500,"CIN","BAL",0,0,0.0009758382450525
"Crockett Gillmore","TE",2500,"BAL","@CIN",3.8,0,0.00414731254147313
"Tyler Kroft","TE",2500,"CIN","BAL",4.2,0,0.00121979780631563
"C.J. Uzomah","TE",2500,"CIN","BAL",8.5,10.3,0.510851321284984
"Darren Waller","TE",2500,"BAL","@CIN",0,0,0.0068308677153675
"Nick Boyle","TE",2500,"BAL","@CIN",0,0,0.00317147429642063
"Larry Donnell","TE",2500,"NYG","@WAS",0,0,0.00951442288926188
"Derek Carrier","TE",2500,"WAS","NYG",0,0,0.0009758382450525
"Jerell Adams","TE",2500,"NYG","@WAS",2.1,0,0.00317147429642063
"Anthony Fasano","TE",2500,"TEN","HOU",0,0,0.0129298567469456
"Jace Amaro","TE",2500,"TEN","HOU",0,0,0
"Stephen Anderson","TE",2500,"HOU","@TEN",1.9,0,0.0009758382450525
"Phillip Supernaw","TE",2500,"TEN","HOU",0,0,0.00048791912252625
"Ed Dickson","TE",2500,"CAR","@TB",1.3,0,0.001951676490105
"Luke Stocker","TE",2500,"TB","CAR",3.4,1.1,0.00780670596042
"Chris Manhertz","TE",2500,"CAR","@TB",0,0,0.000243959561263125
"Alan Cross","TE",2500,"TB","CAR",1.8,0,0.00463523166399938
"Clay Harbor","TE",2500,"DET","GB",0,0,0.000731878683789375
"Matthew Mulligan","TE",2500,"DET","GB",0,0,0.000731878683789375
"Richard Rodgers","TE",2500,"GB","@DET",3.8,2.4,0.205169991022288
"Neal Sterling","TE",2500,"JAX","@IND",7.2,0,0.00243959561263125
