"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Le'Veon Bell","RB",9400,"PIT","BAL",25.4,31.7,0
"David Johnson","RB",9200,"ARI","@SEA",22.1,34.6,7.20326672174758
"LeSean McCoy","RB",9000,"BUF","MIA",19.6,28.5,18.8640015979517
"Odell Beckham","WR",8600,"NYG","@PHI",18.4,29,0
"Mike Evans","WR",8500,"TB","@NO",21.1,22.7,15.2674753270807
"Antonio Brown","WR",8200,"PIT","BAL",23.5,25.6,0
"Julio Jones","WR",8100,"ATL","@CAR",22.6,10,17.3738662260194
"Ezekiel Elliott","RB",7900,"DAL","DET",20.3,22.2,0
"T.Y. Hilton","WR",7800,"IND","@OAK",18.4,19.5,25.3752008788734
"Tom Brady","QB",7700,"NE","NYJ",19.9,20.6,8.16884720494639
"Melvin Gordon","RB",7400,"SD","@CLE",0,0,0.114398816063046
"Drew Brees","QB",7400,"NO","TB",21.2,16.1,15.6905693610917
"A.J. Green","WR",7200,"CIN","@HOU",0,0,0.0835292942682561
"Matt Ryan","QB",7200,"ATL","@CAR",22.8,20,8.90812685557603
"Devonta Freeman","RB",7100,"ATL","@CAR",13.1,16.8,7.45748631299879
"Jordy Nelson","WR",7000,"GB","MIN",16.5,39.4,11.8647914945388
"Andrew Luck","QB",7000,"IND","@OAK",21.1,26.7,9.34529375981696
"DeMarco Murray","RB",7000,"TEN","@JAX",18.9,8,22.300959678957
"Julian Edelman","WR",6900,"NE","NYJ",17.7,13.9,16.9305708137751
"Philip Rivers","QB",6900,"SD","@CLE",18.7,22.9,6.59450159341208
"Kirk Cousins","QB",6800,"WAS","@CHI",19.1,29.8,3.02566709944526
"Derek Carr","QB",6800,"OAK","IND",0,21.9,4.86648931823753
"Brandin Cooks","WR",6800,"NO","TB",15,14.8,14.2367510736238
"Ben Roethlisberger","QB",6700,"PIT","BAL",18.5,21.1,0
"Aaron Rodgers","QB",6700,"GB","MIN",18.7,40.2,6.81944053531383
"Golden Tate","WR",6600,"DET","@DAL",15.2,11.8,0
"Cam Newton","QB",6600,"CAR","ATL",19.8,13.5,7.76323076783396
"Jameis Winston","QB",6500,"TB","@NO",19.1,18.5,5.67704124712868
"Amari Cooper","WR",6500,"OAK","IND",15.7,11.2,7.93324011948321
"Todd Gurley","RB",6500,"LA","SF",19.9,17.7,19.2373866226019
"Dez Bryant","WR",6500,"DAL","DET",15.2,27.4,0
"Demaryius Thomas","WR",6400,"DEN","@KC",16.9,5,0
"Alshon Jeffery","WR",6300,"CHI","WAS",15.4,14.2,3.87094724035554
"Jordan Howard","RB",6300,"CHI","WAS",19.5,16.8,36.1034946114526
"Russell Wilson","QB",6300,"SEA","ARI",18.4,37.6,2.1038940993817
"Latavius Murray","RB",6200,"OAK","IND",13.9,7.1,13.9750410837018
"Taylor Gabriel","WR",6200,"ATL","@CAR",11.7,4.5,6.19682951852625
"Larry Fitzgerald","WR",6100,"ARI","@SEA",15.9,7.1,2.07869912203448
"Michael Crabtree","WR",6100,"OAK","IND",14.7,16,9.51711896568943
"Matthew Stafford","QB",6100,"DET","@DAL",18.7,14.5,0
"Michael Thomas","WR",6000,"NO","TB",15.3,15.8,22.9937080651165
"Doug Baldwin","WR",6000,"SEA","ARI",14.5,39.7,7.85720122388575
"Emmanuel Sanders","WR",6000,"DEN","@KC",15.8,3.6,0
"Bilal Powell","RB",6000,"NYJ","@NE",16.7,9.4,10.7757329241608
"Marcus Mariota","QB",6000,"TEN","@JAX",0,8.3,3.94562424528559
"Dontrelle Inman","WR",6000,"SD","@CLE",13,7.4,7.28906583379486
"Tyreek Hill","WR",5900,"KC","DEN",13.3,15.5,0
"Dak Prescott","QB",5900,"DAL","DET",16.7,24,0
"Ty Montgomery","RB",5900,"GB","MIN",14.2,8,15.5214679365541
"Stefon Diggs","WR",5900,"MIN","@GB",14.4,12.9,1.93411172951036
"Carlos Hyde","RB",5800,"SF","@LA",0,14.2,6.96856756339601
"Eli Manning","QB",5800,"NYG","@PHI",15.8,18.2,0
"Tyrell Williams","WR",5800,"SD","@CLE",13.1,16.4,5.187895515748
"Joe Flacco","QB",5800,"BAL","@PIT",16.8,15.5,0
"Lamar Miller","RB",5700,"HOU","CIN",0,0,0.179088622765364
"Colin Kaepernick","QB",5700,"SF","@LA",17.5,27.1,0.841648432463842
"Kenny Britt","WR",5700,"LA","SF",12.9,2.5,5.6230195839878
"LeGarrette Blount","RB",5600,"NE","NYJ",8.6,17,8.92810125203149
"Jay Ajayi","RB",5600,"MIA","@BUF",14.6,30.9,10.6595182538746
"Jamison Crowder","WR",5600,"WAS","@CHI",12,1.3,4.816326345321
"Jarvis Landry","WR",5500,"MIA","@BUF",12.9,5.9,4.58185416874733
"Kelvin Benjamin","WR",5500,"CAR","ATL",12.9,16.3,2.18015997675707
"Carson Palmer","QB",5500,"ARI","@SEA",15.9,15.3,0.20564549078
"DeAngelo Williams","RB",5500,"PIT","BAL",3,0,0
"Willie Snead","WR",5500,"NO","TB",13.7,4.1,5.00472122098038
"DeSean Jackson","WR",5500,"WAS","@CHI",14,19.4,10.2913538101161
"Jordan Reed","TE",5500,"WAS","@CHI",0,0,0.121208269400133
"Donte Moncrief","WR",5400,"IND","@OAK",13,11,2.94395365940022
"Theo Riddick","RB",5400,"DET","@DAL",0,0,0
"Davante Adams","WR",5400,"GB","MIN",12.7,14.4,9.71118838579639
"Doug Martin","RB",5400,"TB","@NO",0,0,3.45375473257007
"Tyrod Taylor","QB",5400,"BUF","MIA",16.3,34.2,2.4679728711379
"Zach Ertz","TE",5300,"PHI","NYG",12,5.3,0
"Andy Dalton","QB",5300,"CIN","@HOU",16.6,13.7,0.38836582199181
"Jeremy Hill","RB",5300,"CIN","@HOU",16,0.8,2.0244504771157
"Trevor Siemian","QB",5300,"DEN","@KC",16,6.3,0
"Spencer Ware","RB",5300,"KC","DEN",16.8,10.2,0
"Matt Forte","RB",5300,"NYJ","@NE",0,0,0.0111221071172406
"Brandon Marshall","WR",5300,"NYJ","@NE",14,4.8,0.201786800555651
"Malcolm Mitchell","WR",5200,"NE","NYJ",11.9,5.9,6.52436422404009
"Jonathan Stewart","RB",5200,"CAR","ATL",12.3,6.2,10.0083075330712
"Greg Olsen","TE",5200,"CAR","ATL",15.7,11.9,16.7451267012284
"DeAndre Hopkins","WR",5200,"HOU","CIN",14.7,7.3,21.0911468027347
"Matt Moore","QB",5200,"MIA","@BUF",12.5,16.2,0.715673545727749
"Rob Kelley","RB",5200,"WAS","@CHI",14.6,10.2,4.43545092199998
"Mohamed Sanu","WR",5100,"ATL","@CAR",11.8,8.6,1.16986408331139
"Thomas Rawls","RB",5100,"SEA","ARI",12.5,0.8,3.55294576951362
"Steve Smith","WR",5100,"BAL","@PIT",14.7,22.9,0
"Tony Romo","QB",5100,"DAL","DET",0,0,0
"Jordan Matthews","WR",5100,"PHI","NYG",16.7,3.2,0
"Robert Griffin","QB",5100,"CLE","SD",16.3,10.8,0
"Chase Daniel","QB",5000,"PHI","NYG",0,0.6,0
"Ryan Nassib","QB",5000,"NYG","@PHI",0,0,0
"Carson Wentz","QB",5000,"PHI","NYG",13.9,11.8,0
"T.J. Yates","QB",5000,"MIA","@BUF",0,0,0.00045396355580574
"Ryan Tannehill","QB",5000,"MIA","@BUF",0,0,0
"EJ Manuel","QB",5000,"BUF","MIA",0,0,0.00204283600112583
"Cardale Jones","QB",5000,"BUF","MIA",0,0,0
"Sammy Watkins","WR",5000,"BUF","MIA",14.4,31.4,1.56322350441707
"Luke McCown","QB",5000,"NO","TB",0,0,0
"Mike Glennon","QB",5000,"TB","@NO",0,0,0.00022698177790287
"Ryan Griffin","QB",5000,"TB","@NO",0,0,0
"Ryan Fitzpatrick","QB",5000,"NYJ","@NE",0,3.7,0.00249679955693157
"Bryce Petty","QB",5000,"NYJ","@NE",13.1,-1,0.0422186106899338
"Jimmy Garoppolo","QB",5000,"NE","NYJ",0,0,0.00295076311273731
"Christian Hackenberg","QB",5000,"NYJ","@NE",0,0,0
"Matt Cassel","QB",5000,"TEN","@JAX",0,8,0
"Chad Henne","QB",5000,"JAX","TEN",0,0,0.00022698177790287
"Blake Bortles","QB",5000,"JAX","TEN",16.3,29.7,4.04708510000817
"Brandon Allen","QB",5000,"JAX","TEN",0,0,0.00022698177790287
"Shaun Hill","QB",5000,"MIN","@GB",0,0,0.00022698177790287
