"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Boog Powell",2500,"OAK@SEA 10:10PM ET",0,"SEA","OAK",NA,0,NA,NA,"x","x",NA
"SS","Nick Ahmed",2500,"NYM@ARI 09:40PM ET",5.577,"ARI","NYM",5.24,5.2,1.65,NA,"x","7",0
"C","AJ Ellis",2500,"HOU@MIA 07:10PM ET",3.429,"MIA","HOU",NA,0,1.54,NA,"x","x",NA
"OF","Jabari Blash",2500,"MIL@SD 10:10PM ET",3.286,"SD","MIL",NA,0,NA,NA,"x","x",NA
"3B","Conor Gillaspie",2500,"LAD@SF 10:15PM ET",1.692,"SF","LAD",NA,0,NA,NA,"x","x",NA
"C","Kurt Suzuki",2400,"ATL@TOR 07:07PM ET",4.444,"ATL","TOR",NA,0,1.46,NA,"x","x",NA
"3B","Chris Coghlan",2400,"ATL@TOR 07:07PM ET",3,"TOR","ATL",4.85,5.8,1.72,NA,"x","9",2
"C","Geovany Soto",2400,"CWS@LAA 10:07PM ET",5.533,"CWS","LAA",NA,0,NA,NA,"x","x",NA
"C","Martin Maldonado",2400,"CWS@LAA 10:07PM ET",4.303,"LAA","CWS",5.37,4.8,5.77,NA,"9","9",14
"C","Juan Graterol",2400,"CWS@LAA 10:07PM ET",2.25,"LAA","CWS",NA,0,1.52,NA,"x","x",NA
"C","Omar Narvaez",2400,"CWS@LAA 10:07PM ET",4.5,"CWS","LAA",NA,NA,NA,NA,"8","x",NA
"OF","Willy Garcia",2400,"CWS@LAA 10:07PM ET",4.167,"CWS","LAA",NA,0,1.57,NA,"x","x",NA
"C","Tuffy Gosewisch",2400,"OAK@SEA 10:10PM ET",1.055,"SEA","OAK",4.58,4.8,3.9,NA,"x","8",0
"2B/OF","Steve Lombardozzi",2400,"HOU@MIA 07:10PM ET",0,"MIA","HOU",NA,0,1.57,NA,"x","x",NA
"SS","JT Riddle",2400,"HOU@MIA 07:10PM ET",1.917,"MIA","HOU",4.91,4.5,5.75,NA,"7","8",13
"C","Hector Sanchez",2400,"MIL@SD 10:10PM ET",1.389,"SD","MIL",NA,0,NA,NA,"x","x",NA
"OF","Justin Ruggiano",2400,"LAD@SF 10:15PM ET",4.75,"SF","LAD",5.13,0,1.76,NA,"x","x",NA
"OF","Drew Stubbs",2400,"LAD@SF 10:15PM ET",1,"SF","LAD",NA,0,NA,NA,"x","x",NA
"C","Luke Maile",2300,"ATL@TOR 07:07PM ET",1.297,"TOR","ATL",NA,NA,NA,NA,"9","x",NA
"C","Carlos Perez",2300,"CWS@LAA 10:07PM ET",0.833,"LAA","CWS",NA,0,NA,NA,"x","x",NA
"2B/3B","Yolmer Sanchez",2300,"CWS@LAA 10:07PM ET",5.242,"CWS","LAA",NA,5.2,1.51,NA,"x","7",12
"C","Jeff Mathis",2300,"NYM@ARI 09:40PM ET",3,"ARI","NYM",4.99,4.2,4.91,NA,"8","8",19
"1B/OF","Michael Morse",2300,"LAD@SF 10:15PM ET",2.339,"SF","LAD",NA,0,1.57,NA,"x","x",NA
"C","Kevan Smith",2200,"CWS@LAA 10:07PM ET",2.583,"CWS","LAA",NA,4.9,1.36,NA,"x","8",0
"2B/OF","Mike Freeman",2200,"OAK@SEA 10:10PM ET",1.8,"SEA","OAK",NA,0,NA,NA,"x","x",NA
"1B","Daniel Vogelbach",2200,"OAK@SEA 10:10PM ET",2.333,"SEA","OAK",NA,0,NA,NA,"x","x",NA
"3B/SS","Miguel Rojas",2200,"HOU@MIA 07:10PM ET",5.333,"MIA","HOU",NA,0,NA,NA,"x","x",NA
"C","Tim Federowicz",2200,"LAD@SF 10:15PM ET",1,"SF","LAD",NA,0,NA,NA,"x","x",NA
"C","Anthony Recker",2100,"ATL@TOR 07:07PM ET",0.833,"ATL","TOR",NA,0,NA,NA,"x","x",NA
"2B/SS","Cliff Pennington",2100,"CWS@LAA 10:07PM ET",3.762,"LAA","CWS",4.46,0,5.56,NA,"x","x",NA
"2B/SS","Chad Pinder",2100,"OAK@SEA 10:10PM ET",5.286,"OAK","SEA",NA,5,1.55,NA,"x","8",9
"2B/OF","Tony Kemp",2100,"HOU@MIA 07:10PM ET",0,"HOU","MIA",NA,0,NA,NA,"x","x",NA
"C","Luis Torrens",2100,"MIL@SD 10:10PM ET",0.909,"SD","MIL",NA,0,1.23,NA,"x","x",NA
"OF","Emilio Bonifacio",2000,"ATL@TOR 07:07PM ET",1.28,"ATL","TOR",NA,0,1.72,NA,"x","x",NA
"C","Mike Ohlman",2000,"ATL@TOR 07:07PM ET",0,"TOR","ATL",NA,5.9,NA,NA,"x","8",5
"OF","Lane Adams",2000,"ATL@TOR 07:07PM ET",2.556,"ATL","TOR",NA,0,NA,NA,"x","x",NA
"2B/SS","Johan Camargo",2000,"ATL@TOR 07:07PM ET",1,"ATL","TOR",NA,0,NA,NA,"x","x",NA
"C","Zack Collins",2000,"CWS@LAA 10:07PM ET",0,"CWS","LAA",NA,0,NA,NA,"x","x",NA
"OF","Jaff Decker",2000,"OAK@SEA 10:10PM ET",4.118,"OAK","SEA",NA,0,NA,NA,"x","x",NA
"OF","Matt Olson",2000,"OAK@SEA 10:10PM ET",0,"OAK","SEA",NA,0,NA,NA,"x","x",NA
"OF","Chris Marrero",2000,"LAD@SF 10:15PM ET",2.667,"SF","LAD",NA,0,NA,NA,"x","x",NA
"OF","Brett Eibner",2000,"LAD@SF 10:15PM ET",4.4,"LAD","SF",NA,0,1.7,NA,"x","x",NA
