"Place_lo","Place_hi","Payout"
"1","1","2000"
"2","2","1500"
"3","3","1000"
"4","4","750"
"5","5","500"
"6","7","300"
"8","9","200"
"10","12","150"
"13","16","125"
"17","21","100"
"22","27","75"
"28","37","50"
"38","52","35"
"53","77","25"
"78","117","20"
"118","217","15"
"218","467","12"
"468","971","10"
"972","1771","8"
"1772","2931","6"
