Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,773039530,REDCOAT85 (94/150),0,209.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ OF Seth Smith 2B Brandon Phillips OF Cameron Maybin SS Addison Russell C Willson Contreras,,Jake Arrieta,37.65%,20.15
2,773144624,digitaldonkey,0,199.85,P Jake Arrieta P Daniel Norris 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Matt Kemp OF Cameron Maybin SS Addison Russell C Willson Contreras OF Nick Markakis,,Luis Severino,36.28%,7.5
3,773005966,anilprao88 (39/100),0,198.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz OF Ian Happ 2B Robinson Canó SS Addison Russell C Willson Contreras OF Hunter Pence,,Aaron Judge,31.11%,22
4,773056598,redzone408,0,198.2,P Hyun-Jin Ryu OF Aaron Judge OF Cody Bellinger 1B Anthony Rizzo 3B Kris Bryant OF Brett Gardner 2B Robinson Canó SS Addison Russell C Willson Contreras P Andrew Moore,,Jaime García,30.81%,-2.25
5,772986313,moklovin (106/150),0,197.65,P Luis Severino 3B Kris Bryant 1B Matt Adams OF Ian Happ OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis P Andrew Moore,,Francisco Lindor,27.93%,6
5,772999077,tebowtothecfl (2/4),0,197.65,P Luis Severino 3B Kris Bryant 1B Matt Adams OF Ian Happ OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis P Andrew Moore,,Matt Kemp,25.91%,3
7,773106429,LaBete_DU_GEVAUDANz (17/33),0,197.2,P Jake Arrieta P Hyun-Jin Ryu OF Cody Bellinger 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Austin Jackson SS Addison Russell OF Nick Markakis C John Hicks,,Steven Matz,25.71%,18.7
7,773149322,q80minouma,0,197.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo 3B Kris Bryant 2B Jason Kipnis OF Ian Happ OF Austin Jackson SS Addison Russell C Willson Contreras OF Nick Markakis,,Kris Bryant,24.12%,27
9,773108476,dmspung (2/2),0,196.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz 2B Robinson Canó OF Mitch Haniger SS Addison Russell C Willson Contreras P Andrew Moore,,Hyun-Jin Ryu,23.27%,9.05
10,773149898,btwice80 (13/25),0,196.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz 2B Ian Happ OF Austin Jackson SS Addison Russell C Willson Contreras OF Nick Markakis,,Nelson Cruz,22.44%,4
11,773006008,anilprao88 (81/100),0,195.85,P Jake Arrieta P Steven Matz 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Gary Sánchez,22.16%,3
12,773034120,SneakyPete15 (2/3),0,194.9,P Jake Arrieta P Jaime García 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Seth Smith OF Austin Jackson SS Addison Russell C Willson Contreras OF Nick Markakis,,Manny Machado,21.82%,14
13,773013196,bric75 (54/100),0,194.85,P Jake Arrieta P Steven Matz 3B Kris Bryant SS Francisco Lindor OF Nelson Cruz 1B Matt Adams 2B Robinson Canó OF Matt Kemp C Buster Posey OF Nick Markakis,,Edwin Encarnación,19.27%,10
13,773013223,bric75 (81/100),0,194.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant 1B Matt Adams 2B Jason Kipnis OF Ian Happ SS Addison Russell C Willson Contreras OF Mark Zagunis,,José Ramírez,17.98%,14
15,773042723,Kowpond (2/3),0,194.3,P Jake Arrieta OF Aaron Judge OF Cody Bellinger 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ SS Addison Russell C Willson Contreras OF Hunter Pence P Andrew Moore,,Andrew Moore,17.76%,18.15
16,773066315,Hitstick28,0,193.85,P Jake Arrieta P Steven Matz 1B Edwin Encarnación 3B Kris Bryant OF Brett Gardner OF Jay Bruce 2B Robinson Canó C Buster Posey OF Nick Markakis SS Javier Báez,,Brett Gardner,16.68%,12
17,773005947,anilprao88 (20/100),0,192.85,P Jake Arrieta P Daniel Norris 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Ender Inciarte,16.45%,10
17,773049929,mcnabb1111 (1/2),0,192.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Matt Adams,16.30%,21
19,773039474,REDCOAT85 (38/150),0,191.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Matt Kemp OF Mitch Haniger SS Addison Russell C Willson Contreras OF Nick Markakis,,Aaron Hicks,15.97%,5
19,773062039,ldlange24,0,191.85,P Jake Arrieta P Steven Matz 2B José Ramírez 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Didi Gregorius,14.65%,0
21,772777215,Awesemo (6/150),0,190.85,P Jake Arrieta P Steven Matz 3B Kris Bryant OF Brett Gardner 1B Matt Adams SS Jean Segura OF Ender Inciarte 2B Brandon Phillips C Buster Posey OF Nick Markakis,,Willson Contreras,14.63%,16
21,773074339,roundmann,0,190.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant 1B Matt Adams OF Chris Taylor OF Austin Jackson SS Addison Russell C Willson Contreras 2B Javier Báez,,Nick Markakis,14.43%,29
23,773146213,tnation (3/3),0,189.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant 2B Ian Happ OF Giancarlo Stanton OF Mitch Haniger SS Addison Russell C Willson Contreras 1B Miguel Cabrera,,Anthony Rizzo,14.24%,11
