"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Clayton Kershaw","German Marquez","Juan Centeno","Jose Abreu","Tyler Saladino","Todd Frazier","Trea Turner","Melky Cabrera","Josh Reddick","Leury Garcia"
"2","Clayton Kershaw","Matt Harvey","Kevan Smith","Kendrys Morales","Robinson Cano","Todd Frazier","Trea Turner","Melky Cabrera","Leury Garcia","Willy Garcia"
"3","Clayton Kershaw","Amir Garrett","Francisco Cervelli","Jose Abreu","Tyler Saladino","Todd Frazier","Tim Anderson","David Peralta","Melky Cabrera","Mark Canha"
"4","Clayton Kershaw","Amir Garrett","Kevan Smith","Paul Goldschmidt","Brandon Drury","Jake Lamb","Ryan Goins","David Peralta","Yasmany Tomas","Mark Canha"
"5","Clayton Kershaw","German Marquez","Kevan Smith","Hanley Ramirez","Dustin Pedroia","Chris Coghlan","Xander Bogaerts","Mookie Betts","Andrew Benintendi","Willy Garcia"
"6","Clayton Kershaw","German Marquez","Russell Martin","Kendrys Morales","Devon Travis","Chris Coghlan","Ryan Goins","David Peralta","Andrew Benintendi","Leury Garcia"
"7","Clayton Kershaw","Lance McCullers","Drew Butera","Eric Hosmer","Tyler Saladino","Mike Moustakas","Alcides Escobar","Andrew Benintendi","Lorenzo Cain","Leury Garcia"
"8","Lance McCullers","German Marquez","Chris Herrmann","Jose Abreu","Tyler Saladino","Todd Frazier","Tim Anderson","Mookie Betts","Andrew Benintendi","Melky Cabrera"
"9","Lance McCullers","Carlos Carrasco","Jason Castro","Jose Abreu","Tyler Saladino","Todd Frazier","Ryan Goins","David Peralta","Melky Cabrera","Leury Garcia"
"10","Clayton Kershaw","Jordan Montgomery","Jonathan Lucroy","Jose Abreu","Brian Dozier","Todd Frazier","Ryan Goins","Melky Cabrera","Leury Garcia","Willy Garcia"
"11","Clayton Kershaw","Joe Ross","Chris Herrmann","Paul Goldschmidt","Brandon Drury","Jake Lamb","Alcides Escobar","Yasmany Tomas","Leury Garcia","Justin Ruggiano"
"12","Clayton Kershaw","Carlos Carrasco","Stephen Vogt","Kendrys Morales","Tyler Saladino","Trevor Plouffe","Adam Rosales","Andrew Benintendi","Matt Joyce","Mark Canha"
"13","Carlos Carrasco","German Marquez","Juan Centeno","Paul Goldschmidt","Brandon Drury","Jake Lamb","Trea Turner","David Peralta","Yasmany Tomas","Ezequiel Carrera"
