"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Actual","Projection_reg","Projection_reg_split","ValueWR"
"RB","David Johnson (1000000)","David Johnson",9800,9800,"ARI@MIA","Ari","David","Johnson","Mia",18.71,24.5,2,0.220224719,18.1,21.0539521882688,21.9404195480797,0
"RB","Le'Veon Bell (1000000)","Le'Veon Bell",9000,9000,"PIT@BUF","Pit","Le'Veon","Bell","Buf",0,27.7,2,0.165605096,54.8,14.4445694894972,15.099221855579,0
"WR","Mike Evans (1000000)","Mike Evans",8900,8900,"NO@TB","TB","Mike","Evans","NO",18.54,21.8,1,0.3125,8.2,19.5707828067884,20.3906458462973,0
"WR","Antonio Brown (1000000)","Antonio Brown",8700,8700,"PIT@BUF","Pit","Antonio","Brown","Buf",30.3,22.9,1,0.284501062,12.8,25.3474989715883,26.3865993463394,0
"WR","Julio Jones (1000000)","Julio Jones",8500,8500,"ATL@LA","Atl","Julio","Jones","LA",27.81,17.3,1,0.272511848,0,21.3256193315451,22.1914555356583,0
"RB","Ezekiel Elliott (1000000)","Ezekiel Elliott",8400,8400,"DAL@NYG","Dal","Ezekiel","Elliott","NYG",17.07,19.1,5,0.092140921,13.7,17.5124402422593,18.2443373625855,0
"RB","LeSean McCoy (1000000)","LeSean McCoy",8200,8200,"PIT@BUF","Buf","LeSean","McCoy","Pit",17.67,15.7,4,0.117647059,22.8,16.0049251397514,16.6663270175148,0
"WR","Odell Beckham Jr. (1000000)","Odell Beckham",8000,8000,"DAL@NYG","NYG","Odell","Beckham","Dal",22.51,21.3,1,0.289079229,0,21.0665409183825,21.9398221647604,0
"WR","A.J. Green (1000000)","A.J. Green",7700,7700,"CIN@CLE","Cin","A.J.","Green","Cle",19.1,0,1,0.241610738,0,8.45062138171478,8.76447256526921,0
"WR","T.Y. Hilton (1000000)","T.Y. Hilton",7500,7500,"HOU@IND","Ind","T.Y.","Hilton","Hou",15.98,19.1,1,0.271929825,29.5,17.0301796503185,17.7441658915832,0
"QB","Drew Brees (1000000)","Drew Brees",7400,7400,"NO@TB","NO","Drew","Brees","TB",24.75,20.6,0,0,7.5,21.6925833351101,22.5861286979616,0
"RB","Melvin Gordon (1000000)","Melvin Gordon",7400,7400,"SD@CAR","SD","Melvin","Gordon","Car",10.54,19,5,0.134433962,0.5,14.571154639464,15.1933874394702,0
"QB","Cam Newton (1000000)","Cam Newton",7200,7200,"SD@CAR","Car","Cam","Newton","SD",19.86,21.2,0,0,12.5,19.8419260465324,20.6692991292496,0
"WR","Larry Fitzgerald (1000000)","Larry Fitzgerald",7100,7100,"ARI@MIA","Ari","Larry","Fitzgerald","Mia",15.96,17.9,1,0.28988764,4.2,16.395573309107,17.0808705190785,0
"RB","DeMarco Murray (1000000)","DeMarco Murray",7000,7000,"DEN@TEN","Ten","DeMarco","Murray","Den",12.56,20.6,4,0.137055838,15.2,16.2992286417539,16.9924679351013,0
"WR","Brandon Marshall (1000000)","Brandon Marshall",7000,7000,"NYJ@SF","NYJ","Brandon","Marshall","SF",18.93,15.6,1,0.26746988,6.3,16.5102542261476,17.1899970568837,0
"QB","Ben Roethlisberger (1000000)","Ben Roethlisberger",7000,7000,"PIT@BUF","Pit","Ben","Roethlisberger","Buf",22.83,18.9,0,0,5.6,19.956606963573,20.7784256670547,0
"QB","Andrew Luck (1000000)","Andrew Luck",6900,6900,"HOU@IND","Ind","Andrew","Luck","Hou",21.57,20.1,0,0,19.2,20.0248889399366,20.8543637158135,0
"WR","Dez Bryant (1000000)","Dez Bryant",6900,6900,"DAL@NYG","Dal","Dez","Bryant","NYG",17.95,16.6,3,0.197831978,1,16.5981267368199,17.285399867825,0
"RB","Matt Forte (1000000)","Matt Forte",6800,6800,"NYJ@SF","NYJ","Matt","Forte","SF",14.54,18.6,5,0.101204819,0.8,16.1323324386101,16.810839771402,0
"WR","Jordy Nelson (1000000)","Jordy Nelson",6800,6800,"SEA@GB","GB","Jordy","Nelson","Sea",18.78,16.5,1,0.247983871,22.1,16.9132062319001,17.611754556248,0
"QB","Matthew Stafford (1000000)","Matthew Stafford",6800,6800,"CHI@DET","Det","Matthew","Stafford","Chi",18.45,18.8,0,0,18.4,17.9665693173582,18.7140524986686,0
