"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Dylan Bundy","Jhoulys Chacin","Yasmani Grandal","Cody Bellinger","Josh Harrison","Justin Turner","Corey Seager","Joc Pederson","Andrew McCutchen","Jose Osuna"
"2","Clayton Kershaw","Joe Biagini","Yasmani Grandal","Cody Bellinger","Chris Taylor","Justin Turner","Corey Seager","David Peralta","Jose Osuna","Joey Rickard"
"3","Clayton Kershaw","Jhoulys Chacin","Yasmani Grandal","Cody Bellinger","Josh Harrison","David Freese","Jordy Mercer","Michael Conforto","Gregory Polanco","Andrew McCutchen"
"4","Mike Foltynewicz","Nick Pivetta","Yasmani Grandal","Cody Bellinger","Chris Taylor","Justin Turner","Corey Seager","AJ Pollock","Michael Conforto","Andrew McCutchen"
"5","Clayton Kershaw","Dylan Bundy","Yasmani Grandal","Josh Bell","Jed Lowrie","David Freese","Corey Seager","Gregory Polanco","Andrew McCutchen","Jose Osuna"
"6","Clayton Kershaw","Nick Pivetta","Yasmani Grandal","Cody Bellinger","Steve Lombardozzi","Justin Turner","Corey Seager","Joc Pederson","Tommy Pham","Ezequiel Carrera"
"7","Matt Shoemaker","Joe Biagini","Yasmani Grandal","Cody Bellinger","Neil Walker","Justin Turner","Corey Seager","Joc Pederson","Michael Conforto","Kevin Pillar"
"8","Clayton Kershaw","Nick Pivetta","Yasmani Grandal","Paul Goldschmidt","Josh Harrison","Jake Lamb","Jordy Mercer","AJ Pollock","Yasmany Tomas","David Peralta"
"9","Clayton Kershaw","Lance McCullers","Salvador Perez","Lucas Duda","Chris Taylor","David Freese","Jordy Mercer","Gregory Polanco","Andrew McCutchen","Jose Osuna"
"10","Mike Foltynewicz","Mike Leake","Yasmani Grandal","Cody Bellinger","Jed Lowrie","Justin Turner","Corey Seager","Joc Pederson","David Peralta","Matt Joyce"
"11","Matt Shoemaker","Jhoulys Chacin","Yasmani Grandal","Cody Bellinger","Chris Taylor","Justin Turner","Corey Seager","Jose Bautista","Tommy Pham","Denard Span"
"12","Clayton Kershaw","Nick Pivetta","Yasmani Grandal","Jay Bruce","Neil Walker","Justin Turner","Asdrubal Cabrera","Michael Conforto","Curtis Granderson","Jose Osuna"
"13","Clayton Kershaw","Dylan Bundy","JT Realmuto","Cody Bellinger","Josh Harrison","Derek Dietrich","Jordy Mercer","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"14","Dylan Bundy","Tyler Glasnow","Yasmani Grandal","Cody Bellinger","Chris Taylor","Justin Turner","Corey Seager","Christian Yelich","Kevin Pillar","Randal Grichuk"
"15","Clayton Kershaw","Jhoulys Chacin","Salvador Perez","Eric Hosmer","Josh Harrison","Mike Moustakas","Corey Seager","Joc Pederson","Lorenzo Cain","Jorge Soler"
"16","Ervin Santana","Tyler Glasnow","Yasmani Grandal","Cody Bellinger","Devon Travis","Justin Turner","Corey Seager","Joc Pederson","Jose Bautista","Joey Rickard"
"17","Clayton Kershaw","Jhoulys Chacin","Luke Maile","Justin Smoak","Josh Harrison","Justin Turner","Corey Seager","Jose Bautista","Kevin Pillar","Ezequiel Carrera"
"18","Clayton Kershaw","Jhoulys Chacin","Stephen Vogt","Yonder Alonso","Jed Lowrie","Trevor Plouffe","Corey Seager","Khris Davis","Andrew McCutchen","David Peralta"
"19","Lance McCullers","Dylan Bundy","JT Realmuto","Paul Goldschmidt","Josh Harrison","David Freese","Jordy Mercer","Joc Pederson","Gregory Polanco","Andrew McCutchen"
"20","Clayton Kershaw","Jhoulys Chacin","Yadier Molina","Matt Carpenter","Jedd Gyorko","Justin Turner","Jordy Mercer","Dexter Fowler","David Peralta","Tommy Pham"
"21","Miguel Gonzalez","Jordan Zimmermann","Yasmani Grandal","Cody Bellinger","Yolmer Sanchez","Justin Turner","Corey Seager","Joc Pederson","AJ Pollock","Curtis Granderson"
"22","Clayton Kershaw","Jhoulys Chacin","JT Realmuto","Lucas Duda","Dee Gordon","Derek Dietrich","Corey Seager","Christian Yelich","Andrew McCutchen","Marcell Ozuna"
"23","Clayton Kershaw","Joe Biagini","Yasmani Grandal","Justin Bour","Steve Lombardozzi","Justin Turner","Corey Seager","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"24","Dylan Bundy","Jhoulys Chacin","Yasmani Grandal","Paul Goldschmidt","Brandon Drury","Jake Lamb","Corey Seager","Yasmany Tomas","Andrew McCutchen","David Peralta"
"25","Clayton Kershaw","Danny Duffy","Chris Stewart","Josh Bell","Chris Taylor","David Freese","Asdrubal Cabrera","Joc Pederson","Gregory Polanco","Jose Osuna"
"26","Lance McCullers","Matt Harvey","Yasmani Grandal","Cody Bellinger","Chris Taylor","Justin Turner","Corey Seager","Matt Joyce","Jorge Soler","Ezequiel Carrera"
