Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
1,2429,Andre Johnson,WR,9,HOU,IND,0,0,0,0,0,9,229,3,0,0,0,0,52.90
2,13723,Nick Foles,QB,9,PHI,OAK,406,7,0,10,0,0,0,0,0,0,0,0,48.24
3,11313,Riley Cooper,WR,9,PHI,OAK,0,0,0,18,0,5,139,3,0,0,0,0,41.70
4,14005,TY Hilton,WR,9,IND,HOU,0,0,0,0,0,7,121,3,0,0,0,0,40.10
5,15221,Zac Stacy,RB,9,LA,TEN,0,0,0,127,2,6,51,0,0,0,0,0,38.80
6,4314,Tom Brady,QB,9,NE,PIT,432,4,0,-1,0,0,0,0,0,0,0,0,36.18
7,11488,Jimmy Graham,TE,9,NO,NYJ,0,0,0,0,0,9,116,2,0,0,0,0,35.60
8,6828,Chris Johnson,RB,9,TEN,LA,0,0,0,150,2,3,20,0,0,0,0,0,35
9,4104,Jerricho Cotchery,WR,9,PIT,NE,0,0,0,0,0,7,96,3,0,0,0,0,34.60
10,8649,Rashad Jennings,RB,9,OAK,PHI,0,0,0,102,1,7,74,0,0,0,0,0,33.60
11,14886,Aaron Dobson,WR,9,NE,PIT,0,0,0,0,0,5,130,2,0,0,0,0,33
12,10974,Rob Gronkowski,TE,9,NE,PIT,0,0,0,0,0,9,143,1,0,0,0,0,32.30
13,3807,Ben Roethlisberger,QB,9,PIT,NE,400,4,2,-1,0,0,0,0,0,0,0,0,31.90
14,2699,Matt Forte,RB,9,CHI,GB,0,0,0,125,1,5,54,0,0,0,0,0,31.90
15,15694,Case Keenum,QB,9,HOU,IND,350,3,0,26,0,0,0,0,0,0,0,0,31.60
16,15076,Keenan Allen,WR,9,SD,WAS,0,0,0,0,0,8,128,1,0,0,0,0,29.80
17,4807,Adrian Peterson,RB,9,MIN,DAL,0,0,0,140,1,3,37,0,0,0,0,0,29.70
18,12774,Stevan Ridley,RB,9,NE,PIT,0,0,0,115,2,3,9,0,0,0,0,0,29.40
19,3943,DeSean Jackson,WR,9,PHI,OAK,0,0,0,0,0,5,150,1,0,0,0,0,29
20,6767,Pierre Garcon,WR,9,WAS,SD,0,0,0,0,0,7,172,0,0,0,0,0,27.20
21,722,Jason Witten,TE,9,DAL,MIN,0,0,0,0,0,8,102,1,0,0,0,0,27.20
22,12845,AJ Green,WR,9,CIN,MIA,0,0,0,0,0,11,128,0,0,0,0,0,26.80
23,11667,Brandon Marshall,WR,9,CHI,GB,0,0,0,0,0,7,107,1,0,0,0,0,26.70
24,14916,Giovani Bernard,RB,9,CIN,MIA,0,0,0,79,2,4,25,0,0,0,0,0,26.40
25,15202,Mike James,RB,9,TB,SEA,2,1,0,158,0,2,8,0,0,0,0,0,25.68
26,9906,Danny Amendola,WR,9,NE,PIT,0,0,0,0,0,4,122,1,0,0,0,0,25.20
27,14008,Andrew Luck,QB,9,IND,HOU,271,3,0,0,0,0,0,0,0,0,0,0,24.84
28,11859,Jason Campbell,QB,9,CLE,BAL,262,3,0,20,0,0,0,0,0,0,0,0,24.48
29,15479,Marlon Brown,WR,9,BAL,CLE,0,0,0,0,0,5,54,2,0,0,0,0,24.40
30,14536,Russell Wilson,QB,9,SEA,TB,217,2,2,36,1,0,0,0,0,0,0,0,24.28
31,3867,Tony Romo,QB,9,DAL,MIN,337,2,1,8,0,0,0,0,0,0,0,0,24.28
32,7242,Drew Brees,QB,9,NO,NYJ,382,2,2,-1,0,0,0,0,0,0,0,0,24.18
33,8244,Philip Rivers,QB,9,SD,WAS,341,2,2,14,0,0,0,0,0,0,0,0,24.04
34,15138,Eddie Lacy,RB,9,GB,CHI,0,0,0,150,1,0,0,0,0,0,0,0,24
35,12239,Chris Ivory,RB,9,NYJ,NO,0,0,0,139,1,0,0,0,0,0,0,0,22.90
36,12874,Greg Little,WR,9,CLE,BAL,0,0,0,0,0,7,122,0,0,0,0,0,22.20
37,55,Kansas City Chiefs,DST,9,KC,BUF,0,0,0,0,0,0,0,0,0,2,1,1,22
38,64,Miami Dolphins,DST,9,MIA,CIN,0,0,0,0,0,0,0,0,5,3,1,1,22
39,611,Joe Flacco,QB,9,BAL,CLE,250,2,1,25,0,0,0,0,0,0,0,0,21.50
40,14269,Alfred Morris,RB,9,WAS,SD,0,0,0,121,1,0,0,0,0,0,0,0,21.10
41,12386,Marshawn Lynch,RB,9,SEA,TB,0,0,0,125,0,4,16,0,0,0,0,0,21.10
42,5282,Josh McCown,QB,9,CHI,GB,272,2,0,20,0,0,0,0,0,0,0,0,20.88
43,10949,CJ Spiller,RB,9,BUF,KC,0,0,0,116,0,2,39,0,0,0,0,0,20.50
44,13270,Christian Ponder,QB,9,MIN,DAL,236,1,1,29,1,0,0,0,0,0,0,0,20.34
45,13320,Cam Newton,QB,9,CAR,ATL,249,1,2,22,1,0,0,0,0,0,0,0,20.16
46,9108,Tony Gonzalez,TE,9,ATL,CAR,0,0,0,0,0,6,81,1,0,0,0,0,20.10
47,13460,Doug Baldwin,WR,9,SEA,TB,0,0,0,0,0,6,75,1,0,0,0,0,19.50
48,11969,Darrel Young,FB,9,WAS,SD,0,0,0,12,3,0,0,0,0,0,0,0,19.20
49,5,Carolina Panthers,DST,9,CAR,ATL,0,0,0,0,0,0,0,0,1,3,1,1,19
50,13693,Terrelle Pryor,WR,9,OAK,PHI,288,0,2,94,0,0,0,0,0,0,0,0,18.92
51,13791,Lamar Miller,RB,9,MIA,CIN,0,0,0,105,0,4,24,0,0,0,0,0,18.90
52,12317,Danny Woodhead,RB,9,SD,WAS,0,0,0,21,0,9,77,0,0,0,0,0,18.80
53,11056,Antonio Brown,WR,9,PIT,NE,0,0,0,0,0,5,71,1,0,0,0,0,18.10
54,11932,LeSean McCoy,RB,9,PHI,OAK,0,0,0,44,0,4,36,1,0,0,0,0,18
55,14967,Le'Veon Bell,RB,9,PIT,NE,0,0,0,74,0,4,65,0,0,0,0,0,17.90
56,254,Davone Bess,WR,9,CLE,BAL,0,0,0,0,0,3,24,2,0,0,0,0,17.40
57,14187,Alshon Jeffery,WR,9,CHI,GB,0,0,0,1,0,5,60,1,0,0,0,0,17.10
58,1658,Greg Olsen,TE,9,CAR,ATL,0,0,0,0,0,4,66,1,0,0,0,0,16.60
59,15201,Mike Glennon,QB,9,TB,SEA,168,2,0,13,0,0,0,0,0,0,0,0,16.02
60,957,Pierre Thomas,RB,9,NO,NYJ,0,0,0,24,0,7,66,0,0,0,0,0,16
61,15367,Tim Wright,TE,9,TB,SEA,0,0,0,0,0,4,58,1,0,0,0,0,15.80
62,11063,Emmanuel Sanders,WR,9,PIT,NE,0,0,0,0,0,6,98,0,0,0,0,0,15.80
