Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
59,83,Oakland Raiders,DST,10,OAK,NYG,0,0,0,0,0,0,0,0,3,1,3,2,15
60,15221,Zac Stacy,RB,10,LA,IND,0,0,0,62,1,2,6,0,0,0,0,0,14.80
61,13957,Kendall Wright,WR,10,TEN,JAX,0,0,0,0,0,7,78,0,0,0,0,0,14.80
62,12317,Danny Woodhead,RB,10,SD,DEN,0,0,0,27,0,4,17,1,0,0,0,0,14.40
63,5,Carolina Panthers,DST,10,CAR,SF,0,0,0,0,0,0,0,0,6,1,1,1,14
64,14242,Rueben Randle,WR,10,NYG,OAK,0,0,0,0,0,3,50,1,0,0,0,0,14
65,8244,Philip Rivers,QB,10,SD,DEN,218,1,0,7,0,0,0,0,0,0,0,0,13.42
66,4276,Brandon Bostick,TE,10,GB,PHI,0,0,0,0,0,3,42,1,0,0,0,0,13.20
67,11256,Ryan Mathews,RB,10,SD,DEN,0,0,0,59,1,1,2,0,0,0,0,0,13.10
68,8972,Jay Cutler,QB,10,CHI,DET,250,1,1,0,0,0,0,0,0,0,0,0,13
69,1,Arizona Cardinals,DST,10,ARI,HOU,0,0,0,0,0,0,0,0,3,0,1,1,13
70,14986,DeAndre Hopkins,WR,10,HOU,ARI,0,0,0,0,0,6,69,0,0,0,0,0,12.90
71,8649,Rashad Jennings,RB,10,OAK,NYG,0,0,0,88,0,2,19,0,0,0,0,0,12.70
72,13852,Bobby Rainey,RB,10,TB,MIA,0,0,0,45,1,1,11,0,0,0,0,0,12.60
73,13460,Doug Baldwin,WR,10,SEA,ATL,0,0,0,0,0,5,76,0,0,0,0,0,12.60
74,14866,Chris Gragg,TE,10,BUF,PIT,0,0,0,0,0,4,25,1,0,0,0,0,12.50
75,732,Matt Ryan,QB,10,ATL,SEA,172,1,0,15,0,0,0,0,0,0,0,0,12.38
76,5820,Frank Gore,RB,10,SF,CAR,0,0,0,82,0,2,21,0,0,0,0,0,12.30
77,4358,Steve Smith,WR,10,CAR,SF,0,0,0,0,0,6,63,0,0,0,0,0,12.30
78,36,Baltimore Ravens,DST,10,BAL,CIN,0,0,0,0,0,0,0,0,5,3,0,0,12
79,7,Cincinnati Bengals,DST,10,CIN,BAL,0,0,0,0,0,0,0,0,5,2,1,1,12
80,93,San Francisco 49ers,DST,10,SF,CAR,0,0,0,0,0,0,0,0,4,1,1,1,12
81,9588,Brandon Pettigrew,TE,10,DET,CHI,0,0,0,0,0,5,70,0,0,0,0,0,12
82,547,Ray Rice,RB,10,BAL,CIN,0,0,0,30,0,6,26,0,0,0,0,0,11.60
83,4556,Jordy Nelson,WR,10,GB,PHI,0,0,0,0,0,6,56,0,0,0,0,0,11.60
84,6828,Chris Johnson,RB,10,TEN,JAX,0,0,0,30,0,5,43,0,0,0,0,0,11.30
85,3807,Ben Roethlisberger,QB,10,PIT,BUF,204,1,1,0,0,0,0,0,0,0,0,0,11.16
86,4104,Jerricho Cotchery,WR,10,PIT,BUF,0,0,0,0,0,2,31,1,0,0,0,0,11.10
87,13162,Leonard Hankerson,WR,10,WAS,MIN,0,0,0,0,0,5,61,0,0,0,0,0,11.10
88,611,Joe Flacco,QB,10,BAL,CIN,140,2,2,4,0,0,0,0,0,0,0,0,11
89,14868,EJ Manuel,QB,10,BUF,PIT,155,1,1,17,0,0,0,0,0,0,0,0,10.90
90,13299,Jacquizz Rodgers,RB,10,ATL,SEA,0,0,0,31,0,5,28,0,0,0,0,0,10.90
91,11488,Jimmy Graham,TE,10,NO,DAL,0,0,0,0,0,5,59,0,0,0,0,0,10.90
92,6211,Harry Douglas,WR,10,ATL,SEA,0,0,0,0,0,7,49,0,0,0,0,0,10.90
93,13693,Terrelle Pryor,WR,10,OAK,NYG,122,0,1,19,1,0,0,0,0,0,0,0,10.78
94,8330,Brian Hartline,WR,10,MIA,TB,0,0,0,0,0,5,57,0,0,0,0,0,10.70
95,7580,DeAngelo Williams,RB,10,CAR,SF,0,0,0,46,1,0,0,0,0,0,0,0,10.60
96,15138,Eddie Lacy,RB,10,GB,PHI,0,0,0,73,0,2,11,0,0,0,0,0,10.40
97,15150,Cordarrelle Patterson,WR,10,MIN,WAS,0,0,0,0,0,2,22,1,0,0,0,0,10.20
98,7884,Antonio Gates,TE,10,SD,DEN,0,0,0,0,0,4,62,0,0,0,0,0,10.20
99,15207,Benjamin Cunningham,RB,10,LA,IND,0,0,0,72,0,1,18,0,0,0,0,0,10
100,13557,Ben Tate,RB,10,HOU,ARI,0,0,0,56,0,3,8,0,0,0,0,0,9.40
101,8664,Tiquan Underwood,WR,10,TB,MIA,0,0,0,0,0,3,64,0,0,0,0,0,9.40
