"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","50000"
"3","3","25000"
"4","4","10000"
"5","5","7500"
"6","6","5000"
"7","8","4000"
"9","10","3000"
"11","15","2000"
"16","20","1500"
"21","30","1000"
"31","50","750"
"51","75","500"
"76","125","400"
"126","225","350"
"226","375","300"
"376","575","250"
"576","875","200"
"876","1375","150"
"1376","2075","120"
"2076","3220","100"
