"Cody Bellinger_LAD","Corey Seager_LAD","JD Martinez_DET","Nelson Cruz_SEA","Ian Kinsler_DET","Justin Turner_LAD","Chris Taylor_LAD","Robinson Cano_SEA","Jean Segura_SEA","Ben Gamel_SEA","Jay Bruce_NYM","Joc Pederson_LAD","Yoenis Cespedes_NYM","Michael Conforto_NYM","Justin Upton_DET","Alex Avila_DET","Mitch Haniger_SEA","Yasiel Puig_LAD","Mike Zunino_SEA","Adrian Gonzalez_LAD","Jose Reyes_NYM","Jarrod Dyson_SEA","Kyle Seager_SEA","Curtis Granderson_NYM","Victor Martinez_DET","Miguel Cabrera_DET","David Wright_NYM","Asdrubal Cabrera_NYM","Neil Walker_NYM","Lucas Duda_NYM","Yasmani Grandal_LAD","Logan Forsythe_LAD","Peter O'Brien_LAD","Leonys Martin_SEA","Nicholas Castellanos_DET","Franklin Gutierrez_LAD","Taylor Motter_SEA","Chase Utley_LAD","Kike Hernandez_LAD","Danny Valencia_SEA","Trayce Thompson_LAD","Austin Barnes_LAD","Guillermo Heredia_SEA","Travis d'Arnaud_NYM","Andrew Toles_LAD","Willie Calhoun_LAD","Wilmer Flores_NYM","Rob Segedin_LAD","Amed Rosario_NYM","Alex Verdugo_LAD","Andrew Romine_DET","John Hicks_DET","Andre Ethier_LAD","Brandon Nimmo_NYM","Carlos Ruiz_SEA","Shawn O'Malley_SEA","Dixon Machado_DET","Jose Iglesias_DET","JaCoby Jones_DET","DJ Peterson_SEA","Mikie Mahtook_DET","Scott Van Slyke_LAD","TJ Rivera_NYM","Tyler Collins_DET","Boog Powell_SEA","Tyler Smith_SEA","Juan Lagares_NYM","Gavin Cecchini_NYM","Jim Adduci_DET","Tuffy Gosewisch_SEA","Matt Reynolds_NYM","Kevin Plawecki_NYM","Alex Presley_DET","Rene Rivera_NYM","James McCann_DET","Daniel Vogelbach_SEA","Kyle Lewis_SEA","Mike Freeman_LAD","Brett Eibner_LAD"
48,46,0,0,0,26,39,0,0,0,0,20,0,0,0,0,0,40,0,25,0,0,0,0,0,0,0,0,0,0,39,19,0,0,0,5,0,35,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
46,64,0,0,0,40,39,0,0,0,0,30,0,0,0,0,0,56,0,38,0,0,0,0,0,0,0,0,0,0,51,30,0,0,0,9,0,40,0,0,2,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,33,0,25,0,0,0,0,0,0,0,0,0,32,20,0,0,0,0,0,0,0,0,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,9,29,2,0,11,0,0,6,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0
0,0,0,63,0,0,0,53,37,40,0,0,0,0,0,0,28,0,39,0,0,54,59,0,0,0,0,0,0,0,0,0,0,13,0,0,44,0,0,53,0,0,40,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0
0,0,25,0,48,0,0,0,0,0,0,0,0,0,45,28,0,0,0,0,0,0,0,0,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,7,38,7,0,16,0,0,23,0,0,0,0,7,0,0,0,8,0,28,0,0,0,0
26,40,0,0,0,43,21,0,0,0,0,26,0,0,0,0,0,39,0,21,0,0,0,0,0,0,0,0,0,0,32,15,0,0,0,7,0,21,0,0,2,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
39,39,0,0,0,21,43,0,0,0,0,18,0,0,0,0,0,36,0,19,0,0,0,0,0,0,0,0,0,0,32,17,0,0,0,7,0,27,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,53,0,0,0,59,31,36,0,0,0,0,0,0,28,0,43,0,0,50,55,0,0,0,0,0,0,0,0,0,0,13,0,0,37,0,0,49,0,0,38,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,0,0,0,31,41,30,0,0,0,0,0,0,9,0,21,0,0,35,39,0,0,0,0,0,0,0,0,0,0,6,0,0,21,0,0,34,0,0,30,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,40,0,0,0,36,30,46,0,0,0,0,0,0,8,0,26,0,0,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,39,0,0,35,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0
