Player,Pos,Team,Opp,Runs,vs. Pitcher,Hand,ERA/AVG,wOBA,ISO,Order,Salary,Ceiling,Avg,FC Proj,My Proj,Exposure,Con.,Value,Actual Score,Actual Val
Bryce Harper,OF,WSH,@ COL,5.6,"Senzatela, R 2.08",L,0.432,0.565,0.392,3,6200,44.1,14,19.86,19.86,100,57,3.2,22,3.5
Mike Trout,OF,LAA,vs OAK,4.46,"Graveman, R 2.00",R,0.337,0.449,0.337,3,5700,23.9,11.2,13.53,13.53,100,77,2.4,7,1.2
Trea Turner,SS,WSH,@ COL,5.6,"Senzatela, R 2.08",R,0.326,0.404,0.302,2,5600,44.9,11.8,17.81,17.81,100,43,3.2,19,3.4
Paul Goldschmidt,1B,ARI,vs SD,6.2,"Weaver, R 3.91",R,0.321,0.444,0.244,3,5500,33.4,11,16.88,16.88,100,63,3.1,14,2.5
Mookie Betts,OF,BOS,vs NYY,4.11,"Tanaka, R 6.00",R,0.324,0.386,0.162,3,5400,29.1,9.4,11.27,11.27,100,53,2.1,0,
Nolan Arenado,3B,COL,vs WSH,5.4,"Gonzalez, L 1.35",R,0.321,0.428,0.333,3,5400,31.5,9.9,15.58,15.58,100,60,2.9,14,2.6
Daniel Murphy,2B,WSH,@ COL,5.6,"Senzatela, R 2.08",L,0.33,0.394,0.239,4,5300,36.9,10.4,16.61,16.61,100,51,3.1,30,5.7
Charlie Blackmon,OF,COL,vs WSH,5.4,"Gonzalez, L 1.35",L,0.287,0.394,0.345,1,5200,31.3,10.7,15.43,15.43,100,63,3,17,3.3
Carlos Correa,SS,HOU,@ CLE,3.45,"Kluber, R 4.28",R,0.217,0.285,0.101,3,5000,18,5.9,8.55,8.55,100,60,1.7,9,1.8
Wil Myers,1B,SD,@ ARI,4.3,"Walker, R 4.57",R,0.319,0.386,0.266,3,5000,28.4,9.3,12.41,12.41,100,57,2.5,7,1.4
Adam Eaton,OF,WSH,@ COL,5.6,"Senzatela, R 2.08",L,0.28,0.353,0.134,1,4900,29.5,9.4,16.09,16.09,100,64,3.3,29,5.9
A.J. Pollock,OF,ARI,vs SD,6.2,"Weaver, R 3.91",R,0.319,0.37,0.176,1,4800,32.3,10.5,15.33,15.33,100,60,3.2,3,0.6
Trevor Story,SS,COL,vs WSH,5.4,"Gonzalez, L 1.35",R,0.169,0.276,0.208,5,4800,24.7,6.5,12.24,12.24,100,52,2.6,4,0.8
Michael Brantley,OF,CLE,vs HOU,5.05,"Fiers, R 5.40",L,0.318,0.405,0.242,3,4700,26,10.6,12.71,12.71,100,69,2.7,0,
DJ LeMahieu,2B,COL,vs WSH,5.4,"Gonzalez, L 1.35",R,0.28,0.341,0.11,2,4700,25.9,6.6,12.98,12.98,100,51,2.8,2,0.4
Edwin Encarnacion,1B,CLE,vs HOU,5.05,"Fiers, R 5.40",R,0.208,0.313,0.139,4,4600,24.8,6.7,11.71,11.71,100,51,2.5,16,3.5
Hanley Ramirez,1B/OF,BOS,vs NYY,4.11,"Tanaka, R 6.00",R,0.215,0.267,0.092,4,4600,17.8,5.7,9.06,9.06,100,62,2,6,1.3
Xander Bogaerts,SS,BOS,vs NYY,4.11,"Tanaka, R 6.00",R,0.311,0.313,0.016,6,4600,17.7,6.3,7.34,7.34,100,59,1.6,3,0.7
Jake Lamb,3B,ARI,vs SD,6.2,"Weaver, R 3.91",L,0.293,0.373,0.22,4,4600,27.7,10,14.47,14.47,100,67,3.1,5,1.1
Alex Bregman,3B/SS,HOU,@ CLE,3.45,"Kluber, R 4.28",R,0.243,0.302,0.054,7,4500,13.5,5.5,5.02,5.02,100,61,1.1,7,1.6
Chris Carter,1B,NYY,@ BOS,2.89,"Sale, L 0.91",R,0.207,0.267,0.172,7,4500,14.9,4.3,3.97,3.97,100,37,0.9,0,
Matt Holliday,1B/OF,NYY,@ BOS,2.89,"Sale, L 0.91",R,0.204,0.347,0.163,4,4500,19.9,5.9,6.1,6.1,100,42,1.4,10,2.2
Giancarlo Stanton,OF,MIA,@ PHI,4.19,"Hellickson, R 1.87",R,0.288,0.398,0.301,4,4500,31.3,9.7,11.28,11.28,100,48,2.5,7,1.6
Mark Reynolds,1B,COL,vs WSH,5.4,"Gonzalez, L 1.35",R,0.333,0.439,0.333,4,4500,31,10,13.29,13.29,100,56,3,0,
Carlos Santana,1B/OF,CLE,vs HOU,5.05,"Fiers, R 5.40",B,0.253,0.341,0.157,1,4400,27.7,8.9,11.85,11.85,100,55,2.7,5,1.1
Yasmany Tomas,OF,ARI,vs SD,6.2,"Weaver, R 3.91",R,0.297,0.374,0.27,5,4400,30,8.6,12.25,12.25,100,48,2.8,23,5.2
Jayson Werth,OF,WSH,@ COL,5.6,"Senzatela, R 2.08",R,0.263,0.344,0.175,6,4400,22.2,6.6,10.55,10.55,100,56,2.4,21,4.8
Evan Gattis,C,HOU,@ CLE,3.45,"Kluber, R 4.28",R,0.293,0.387,0.195,5,4300,18.7,7.6,6.27,6.27,100,59,1.5,5,1.2
Jason Kipnis,2B,CLE,vs HOU,5.05,"Fiers, R 5.40",L,0.2,0.244,0,6,4300,13.7,3.4,8.35,8.35,100,61,1.9,3,0.7
Francisco Lindor,SS,CLE,vs HOU,5.05,"Fiers, R 5.40",B,0.304,0.399,0.291,2,4300,31.3,10.3,11.57,11.57,100,52,2.7,16,3.7
Josh Reddick,OF,HOU,@ CLE,3.45,"Kluber, R 4.28",L,0.279,0.312,0.131,1,4300,23.2,5.8,7.28,7.28,100,31,1.7,10,2.3
Freddie Freeman,1B,ATL,@ NYM,3.27,"Harvey, R 2.84",L,0.388,0.531,0.403,3,4300,31.5,12.2,8.18,8.18,100,52,1.9,16,3.7
Christian Yelich,OF,MIA,@ PHI,4.19,"Hellickson, R 1.87",L,0.263,0.312,0.15,3,4300,26.3,9.4,10.64,10.64,100,58,2.5,8,1.9
Matt Wieters,C,WSH,@ COL,5.6,"Senzatela, R 2.08",B,0.254,0.335,0.136,7,4300,20.6,6.2,8.59,8.59,100,52,2,13,3
Adam Lind,1B,WSH,@ COL,5.6,"Senzatela, R 2.08",L,0.3,0.404,0.25,5,4300,21.2,3.8,11.4,11.4,100,36,2.7,14,3.3
Nelson Cruz,OF,SEA,@ DET,4.06,"Verlander, R 6.04",R,0.308,0.41,0.256,4,4200,27,9.6,10.56,10.56,100,57,2.5,7,1.7
Norichika Aoki,OF,HOU,@ CLE,3.45,"Kluber, R 4.28",L,0.354,0.369,0.104,2,4200,19.2,6.1,6.97,6.97,100,50,1.7,3,0.7
Matt Carpenter,1B,STL,vs TOR,5.05,"Lawrence, R 7.56",L,0.236,0.331,0.127,3,4400,20.2,6.2,10.58,10.58,100,61,2.4,6,1.4
Jacoby Ellsbury,OF,NYY,@ BOS,2.89,"Sale, L 0.91",L,0.329,0.366,0.114,1,4200,18.4,8.4,6.46,6.46,100,65,1.5,0,
Jackie Bradley Jr.,OF,BOS,vs NYY,4.11,"Tanaka, R 6.00",L,0.25,0.33,0.179,7,4200,20,7.8,5.91,5.91,100,55,1.4,0,
Aaron Judge,OF,NYY,@ BOS,2.89,"Sale, L 0.91",R,0.281,0.422,0.391,6,4200,23.7,10.4,4.96,4.96,100,55,1.2,2,0.5
Yoenis Cespedes,OF,NYM,vs ATL,4.24,"Dickey, R 3.86",R,0.262,0.406,0.344,3,4200,35.1,9.5,9.71,9.71,100,33,2.3,5,1.2
Dee Gordon,2B,MIA,@ PHI,4.19,"Hellickson, R 1.87",L,0.286,0.3,0.083,1,4200,18.7,8.1,9.61,9.61,100,72,2.3,3,0.7
Gerardo Parra,OF,COL,vs WSH,5.4,"Gonzalez, L 1.35",L,0.311,0.361,0.18,6,4200,23.5,7.3,9.78,9.78,100,53,2.3,5,1.2
Robinson Cano,2B,SEA,@ DET,4.06,"Verlander, R 6.04",L,0.264,0.334,0.161,3,4100,24.7,7.9,9.81,9.81,100,53,2.4,0,
Jean Segura,SS,SEA,@ DET,4.06,"Verlander, R 6.04",R,0.364,0.39,0.159,1,4100,25.6,11.9,9.32,9.32,100,66,2.3,3,0.7
Brian McCann,C,HOU,@ CLE,3.45,"Kluber, R 4.28",L,0.281,0.364,0.175,4,4100,18.8,7.9,6.86,6.86,100,62,1.7,7,1.7
Dexter Fowler,OF,STL,vs TOR,5.05,"Lawrence, R 7.56",B,0.184,0.251,0.132,1,4400,24.5,6,10.16,10.16,100,40,2.3,24,5.5
Albert Pujols,1B,LAA,vs OAK,4.46,"Graveman, R 2.00",R,0.247,0.282,0.101,4,4100,21.2,6.4,8.68,8.68,100,51,2.1,7,1.7
Ryan Schimpf,3B,SD,@ ARI,4.3,"Walker, R 4.57",L,0.115,0.273,0.197,6,4100,21,5.6,7.14,7.14,100,38,1.7,14,3.4
Chris Owings,OF/SS,ARI,vs SD,6.2,"Weaver, R 3.91",R,0.312,0.353,0.156,7,4100,27.2,8.9,8.41,8.41,100,47,2.1,35,8.5
Jose Ramirez,2B/3B,CLE,vs HOU,5.05,"Fiers, R 5.40",B,0.32,0.407,0.267,5,4000,30.7,10.1,10.15,10.15,100,49,2.5,9,2.3
Stephen Piscotty,OF,STL,vs TOR,5.05,"Lawrence, R 7.56",R,0.233,0.334,0.15,4,4200,24.8,6.3,10.44,10.44,100,43,2.5,13,3.1
Dustin Pedroia,2B,BOS,vs NYY,4.11,"Tanaka, R 6.00",R,0.258,0.283,0.016,1,4000,15,5.3,8.13,8.13,100,68,2,0,
Chase Headley,3B,NYY,@ BOS,2.89,"Sale, L 0.91",B,0.333,0.427,0.227,3,4000,18.7,9.6,6.01,6.01,100,67,1.5,5,1.3
Yangervis Solarte,2B,SD,@ ARI,4.3,"Walker, R 4.57",B,0.298,0.353,0.143,4,4000,22.8,7.6,9.71,9.71,100,57,2.4,10,2.5
Yulieski Gurriel,1B,HOU,@ CLE,3.45,"Kluber, R 4.28",R,0.344,0.364,0.125,6,3900,17.1,6.2,5.34,5.34,100,53,1.4,0,
Ian Kinsler,2B,DET,vs SEA,4.94,"Iwakuma, R 5.31",R,0.246,0.357,0.159,1,3900,26.7,8.4,10.62,10.62,100,52,2.7,0,
Kyle Seager,3B,SEA,@ DET,4.06,"Verlander, R 6.04",L,0.246,0.323,0.098,5,3800,17.3,6,8.16,8.16,100,62,2.1,12,3.2
Justin Upton,OF,DET,vs SEA,4.94,"Iwakuma, R 5.31",R,0.291,0.423,0.291,5,3800,26,9.4,9.55,9.55,100,56,2.5,0,
Kendrys Morales,1B,TOR,@ STL,3.45,"Wainwright, R 6.27",B,0.225,0.289,0.138,4,4000,18.5,6.5,7.2,7.2,100,57,1.8,18,4.5
Starlin Castro,2B,NYY,@ BOS,2.89,"Sale, L 0.91",R,0.338,0.396,0.203,5,3800,18,8.7,5.09,5.09,100,63,1.3,8,2.1
Jose Reyes,3B,NYM,vs ATL,4.24,"Dickey, R 3.86",B,0.114,0.175,0.029,8,3800,10.6,3.2,4.17,4.17,100,50,1.1,21,5.5
Matt Kemp,OF,ATL,@ NYM,3.27,"Harvey, R 2.84",R,0.342,0.434,0.342,4,3800,25.8,10.2,6.79,6.79,100,53,1.8,2,0.5
Odubel Herrera,OF,PHI,vs MIA,4.31,"Volquez, R 4.82",L,0.271,0.338,0.129,3,3800,18.1,7.1,9.02,9.02,100,68,2.4,7,1.8
David Peralta,OF,ARI,vs SD,6.2,"Weaver, R 3.91",L,0.346,0.409,0.205,2,3800,30.9,9.9,12.23,12.23,100,53,3.2,5,1.3
Manuel Margot,OF,SD,@ ARI,4.3,"Walker, R 4.57",R,0.283,0.335,0.174,1,3800,23,7.7,8.63,8.63,100,53,2.3,0,
Dustin Garneau,C,COL,vs WSH,5.4,"Gonzalez, L 1.35",R,0.147,0.237,0.177,8,3800,15.6,3.7,6.04,6.04,100,36,1.6,7,1.8
Corey Seager,SS,LAD,@ SF,3.94,"Moore, L 5.87",L,0.317,0.396,0.22,2,3800,25.2,9.4,8.78,8.78,100,56,2.3,18,4.7
Randal Grichuk,OF,STL,vs TOR,5.05,"Lawrence, R 7.56",R,0.229,0.289,0.171,5,3800,18.7,6.1,6.15,6.15,100,49,1.6,7,1.8
Andrew Benintendi,OF,BOS,vs NYY,4.11,"Tanaka, R 6.00",L,0.333,0.374,0.093,2,3700,20.7,8.6,8.71,8.71,100,65,2.4,0,
Khris Davis,OF,OAK,@ LAA,4.04,"Nolasco, R 4.76",R,0.275,0.407,0.333,4,3700,25.2,9.7,8.9,8.9,100,58,2.4,2,0.5
Kole Calhoun,OF,LAA,vs OAK,4.46,"Graveman, R 2.00",L,0.238,0.295,0.071,2,3700,17.8,5.6,8.04,8.04,100,56,2.2,0,
Curtis Granderson,OF,NYM,vs ATL,4.24,"Dickey, R 3.86",L,0.141,0.195,0.099,6,3700,17.3,4.1,5.87,5.87,100,30,1.6,7,1.9
Hunter Pence,OF,SF,vs LAD,3.57,"Urias, L",R,0.296,0.327,0.086,1,3700,17.3,6.4,7.06,7.06,100,60,1.9,3,0.8
Buster Posey,1B/C,SF,vs LAD,3.57,"Urias, L",R,0.37,0.407,0.093,4,3700,17.3,6.9,7.47,7.47,100,64,2,4,1.1
Marwin Gonzalez,3B/OF,HOU,@ CLE,3.45,"Kluber, R 4.28",B,0.174,0.294,0.217,8,3600,15.1,5.1,3.49,3.49,100,43,1,19,5.3
Maikel Franco,3B,PHI,vs MIA,4.31,"Volquez, R 4.82",R,0.203,0.286,0.189,4,3600,24.9,7.5,8.04,8.04,100,44,2.2,8,2.2
Marcell Ozuna,OF,MIA,@ PHI,4.19,"Hellickson, R 1.87",R,0.289,0.375,0.263,5,3600,28.9,9.7,8.31,8.31,100,47,2.3,0,
Hunter Renfroe,OF,SD,@ ARI,4.3,"Walker, R 4.57",R,0.247,0.302,0.202,5,3600,20.7,6.3,7.77,7.77,100,49,2.2,0,
Wilmer Difo,SS,WSH,@ COL,5.6,"Senzatela, R 2.08",R,0.205,0.254,0.026,8,3600,14.2,3.7,6.87,6.87,100,51,1.9,14,3.9
Steve Pearce,OF,TOR,@ STL,3.45,"Wainwright, R 6.27",R,0.159,0.18,0,6,3600,11.4,2.5,5.01,5.01,100,36,1.4,3,0.8
C.J. Cron,1B,LAA,vs OAK,4.46,"Graveman, R 2.00",R,0.208,0.223,0.019,5,3500,13.1,3.7,6.66,6.66,100,57,1.9,10,2.9
