Player,Pos,Team,Opp,Runs,vs. Pitcher,Hand,ERA/AVG,wOBA,ISO,Order,Salary,Ceiling,Avg,FC Proj,My Proj,Exposure,Con.,Value,Actual Score,Actual Val
Jay Bruce,1B/OF,NYM,vs ATL,4.24,"Dickey, R 3.86",L,0.292,0.407,0.278,4,3500,29.7,9.7,8.51,8.51,100,45,2.4,5,1.4
Asdrubal Cabrera,SS,NYM,vs ATL,4.24,"Dickey, R 3.86",B,0.256,0.299,0.103,2,3500,22.2,7,7.91,7.91,100,49,2.3,2,0.6
Ender Inciarte,OF,ATL,@ NYM,3.27,"Harvey, R 2.84",L,0.207,0.272,0.183,1,3500,22.6,7.5,5.89,5.89,100,44,1.7,15,4.3
J.T. Realmuto,C,MIA,@ PHI,4.19,"Hellickson, R 1.87",R,0.354,0.397,0.154,6,3500,21.3,8,6.28,6.28,100,53,1.8,8,2.3
Michael Saunders,OF,PHI,vs MIA,4.31,"Volquez, R 4.82",L,0.262,0.314,0.148,5,3500,20,5.6,6.47,6.47,100,40,1.8,5,1.4
Brandon Belt,1B,SF,vs LAD,3.57,"Urias, L",L,0.237,0.369,0.25,2,3500,23.1,8.2,6.76,6.76,100,50,1.9,7,2
Eduardo Nunez,3B,SF,vs LAD,3.57,"Urias, L",R,0.241,0.25,0.038,3,3500,20.4,6.2,6.36,6.36,100,43,1.8,3,0.9
Nick Castellanos,3B,DET,vs SEA,4.94,"Iwakuma, R 5.31",R,0.229,0.322,0.241,3,3400,24,8.6,9.64,9.64,100,58,2.8,2,0.6
Kevin Pillar,OF,TOR,@ STL,3.45,"Wainwright, R 6.27",R,0.296,0.353,0.198,1,3500,20.4,7.8,6.98,6.98,100,57,2,7,2
Trevor Plouffe,3B,OAK,@ LAA,4.04,"Nolasco, R 4.76",R,0.221,0.305,0.177,7,3400,16.2,6.3,4.99,4.99,100,56,1.5,0,
Neil Walker,2B,NYM,vs ATL,4.24,"Dickey, R 3.86",B,0.197,0.271,0.127,5,3400,18.9,5.9,7.12,7.12,100,50,2.1,17,5
Martin Prado,2B/3B,MIA,@ PHI,4.19,"Hellickson, R 1.87",R,0.292,0.378,0.25,2,3400,18.2,8.5,7.95,7.95,100,70,2.3,3,0.9
Pat Valaika,SS,COL,vs WSH,5.4,"Gonzalez, L 1.35",R,0.333,0.413,0.333,7,3400,13.6,3.5,6.55,6.55,100,50,1.9,10,2.9
Victor Martinez,1B,DET,vs SEA,4.94,"Iwakuma, R 5.31",B,0.225,0.255,0.028,4,3300,16.4,4.8,8.66,8.66,100,60,2.6,0,
Lonnie Chisenhall,OF,CLE,vs HOU,5.05,"Fiers, R 5.40",L,0.333,0.391,0.273,7,3300,21.7,8.4,6.13,6.13,100,54,1.9,2,0.6
Abraham Almonte,OF,CLE,vs HOU,5.05,"Fiers, R 5.40",B,0.227,0.334,0.068,8,3300,14,5.1,4.8,4.8,100,55,1.5,14,4.2
Ryon Healy,1B/3B,OAK,@ LAA,4.04,"Nolasco, R 4.76",R,0.244,0.307,0.192,6,3300,20.7,6.3,6.45,6.45,100,43,2,3,0.9
Aaron Hicks,OF,NYY,@ BOS,2.89,"Sale, L 0.91",R,0.303,0.479,0.424,2,3300,23.3,9.8,5.22,5.22,100,54,1.6,10,3
Nick Markakis,OF,ATL,@ NYM,3.27,"Harvey, R 2.84",L,0.292,0.352,0.125,5,3300,15.7,7.3,5.39,5.39,100,65,1.6,13,3.9
Michael Conforto,OF,NYM,vs ATL,4.24,"Dickey, R 3.86",L,0.325,0.429,0.325,1,3300,24.1,6.8,8.15,8.15,100,41,2.5,2,0.6
Freddy Galvis,SS,PHI,vs MIA,4.31,"Volquez, R 4.82",B,0.243,0.296,0.2,2,3300,21.4,6.8,7.31,7.31,100,48,2.2,13,3.9
Chris Herrmann,C/OF,ARI,vs SD,6.2,"Weaver, R 3.91",L,0.2,0.231,0.1,6,3300,16.6,2.6,7.48,7.48,100,12,2.3,0,
Yunel Escobar,3B,LAA,vs OAK,4.46,"Graveman, R 2.00",R,0.236,0.271,0.067,1,3200,20.3,5.7,7.4,7.4,100,43,2.3,5,1.6
Ben Revere,OF,LAA,vs OAK,4.46,"Graveman, R 2.00",L,0.161,0.184,0.065,7,3200,12.6,3,4.47,4.47,100,33,1.4,3,0.9
Justin Bour,1B,MIA,@ PHI,4.19,"Hellickson, R 1.87",L,0.2,0.294,0.169,7,3200,16.7,6,5.33,5.33,100,53,1.7,0,
Yasiel Puig,OF,LAD,@ SF,3.94,"Moore, L 5.87",R,0.263,0.358,0.197,4,3200,28.8,7.7,7.7,7.7,100,31,2.4,0,
Matt Adams,OF,STL,vs TOR,5.05,"Lawrence, R 7.56",L,0.172,0.224,0,6,3200,10,1.9,5.8,5.8,100,45,1.8,17,5.3
Mitch Moreland,1B,BOS,vs NYY,4.11,"Tanaka, R 6.00",L,0.307,0.397,0.227,5,3100,20.8,8.2,7.01,7.01,100,58,2.3,0,
Andrelton Simmons,SS,LAA,vs OAK,4.46,"Graveman, R 2.00",R,0.3,0.363,0.138,6,3100,18.2,7.2,6.35,6.35,100,59,2,0,
Adonis Garcia,3B,ATL,@ NYM,3.27,"Harvey, R 2.84",R,0.208,0.241,0.097,2,3100,15.9,4.7,5.29,5.29,100,44,1.7,5,1.6
Dansby Swanson,SS,ATL,@ NYM,3.27,"Harvey, R 2.84",R,0.143,0.161,0.052,8,3100,10.1,3.2,3.12,3.12,100,46,1,2,0.6
Daniel Nava,OF,PHI,vs MIA,4.31,"Volquez, R 4.82",B,0.391,0.515,0.348,1,3100,23.3,7.3,7.07,7.07,100,45,2.3,4,1.3
Justin Turner,3B,LAD,@ SF,3.94,"Moore, L 5.87",R,0.368,0.41,0.118,3,3100,18,7.8,8.06,8.06,100,68,2.6,7,2.3
Taylor Motter,SS,SEA,@ DET,4.06,"Verlander, R 6.04",R,0.262,0.388,0.361,2,3000,25,9.1,7.83,7.83,100,53,2.6,2,0.7
Yan Gomes,C,CLE,vs HOU,5.05,"Fiers, R 5.40",R,0.159,0.227,0.091,9,3000,11.1,3.6,3.25,3.25,100,46,1.1,11,3.7
Kolten Wong,2B,STL,vs TOR,5.05,"Lawrence, R 7.56",L,0.231,0.322,0.173,7,3100,17.6,6.1,5.08,5.08,100,49,1.6,3,1
Austin Romine,C,NYY,@ BOS,2.89,"Sale, L 0.91",R,0.293,0.335,0.122,8,3000,13.7,5.8,2.77,2.77,100,53,0.9,0,
Jed Lowrie,2B,OAK,@ LAA,4.04,"Nolasco, R 4.76",B,0.297,0.349,0.135,3,3000,18.4,6.7,6.46,6.46,100,55,2.2,9,3
Andrew Knapp,C,PHI,vs MIA,4.31,"Volquez, R 4.82",B,0.176,0.277,0.118,8,3000,10.4,3.3,3.67,3.67,100,49,1.2,5,1.7
Christian Arroyo,SS,SF,vs LAD,3.57,"Urias, L",R,0.167,0.238,0.25,5,3000,18.8,6.3,4.9,4.9,100,45,1.6,8,2.7
Jarrod Dyson,OF,SEA,@ DET,4.06,"Verlander, R 6.04",L,0.24,0.277,0.04,9,2900,12.6,7.1,3.26,3.26,100,67,1.1,0,
Jarrod Saltalamacchia,C,TOR,@ STL,3.45,"Wainwright, R 6.27",B,0.045,0.041,0,5,3000,7.3,0.6,4.16,4.16,100,0,1.4,2,0.7
Ezequiel Carrera,OF,TOR,@ STL,3.45,"Wainwright, R 6.27",L,0.306,0.313,0.122,3,3000,16.5,5.1,6.01,6.01,100,49,2,3,1
Josh Phegley,C,OAK,@ LAA,4.04,"Nolasco, R 4.76",R,0.217,0.271,0.217,8,2900,14.4,4.8,3.88,3.88,100,45,1.3,0,
Jace Peterson,OF,ATL,@ NYM,3.27,"Harvey, R 2.84",L,0.211,0.282,0.105,7,2900,10.8,3,3.29,3.29,100,37,1.1,8,2.8
Erick Aybar,SS,SD,@ ARI,4.3,"Walker, R 4.57",B,0.2,0.284,0.139,2,2900,19.5,4.9,7.02,7.02,100,36,2.4,5,1.7
Nick Hundley,C,SF,vs LAD,3.57,"Urias, L",R,0.238,0.259,0.167,6,2900,15,4.6,4.62,4.62,100,44,1.6,0,
Ben Gamel,OF,SEA,@ DET,4.06,"Verlander, R 6.04",L,0,0.144,0,6,2800,4.7,4,4.71,4.71,100,0,1.7,8,2.9
Sandy Leon,C,BOS,vs NYY,4.11,"Tanaka, R 6.00",B,0.191,0.22,0.106,8,2800,18.2,4.6,3.5,3.5,100,20,1.3,0,
Marco Hernandez,2B/SS,BOS,vs NYY,4.11,"Tanaka, R 6.00",B,0.289,0.293,0.026,9,2800,9.4,3.8,2.5,2.5,100,55,0.9,0,
Ronald Torreyes,SS,NYY,@ BOS,2.89,"Sale, L 0.91",R,0.29,0.305,0.129,9,2800,14.3,6,1.98,1.98,100,49,0.7,6,2.1
Yonder Alonso,1B,OAK,@ LAA,4.04,"Nolasco, R 4.76",L,0.286,0.392,0.286,5,2800,20.9,7.4,5.82,5.82,100,49,2.1,7,2.5
Travis d'Arnaud,C,NYM,vs ATL,4.24,"Dickey, R 3.86",R,0.233,0.335,0.233,7,2800,26.1,5.5,4.27,4.27,100,1,1.5,2,0.7
Allen Cordoba,OF/SS,SD,@ ARI,4.3,"Walker, R 4.57",R,0.269,0.314,0.115,7,2800,12.4,2.8,4.27,4.27,100,28,1.5,2,0.7
Alex Avila,1B/C,DET,vs SEA,4.94,"Iwakuma, R 5.31",L,0.407,0.574,0.519,6,2700,25.4,9.4,5.96,5.96,100,48,2.2,2,0.7
Greg Garcia,3B/SS,STL,vs TOR,5.05,"Lawrence, R 7.56",L,0.235,0.304,0.088,2,2800,13,2.7,5.46,5.46,100,31,2,18,6.4
Brock Stassi,1B/OF,PHI,vs MIA,4.31,"Volquez, R 4.82",L,0.174,0.262,0.13,7,2700,11.1,2.4,3.78,3.78,100,23,1.4,10,3.7
Cody Bellinger,1B,LAD,@ SF,3.94,"Moore, L 5.87",L,0.125,0.18,0,8,2700,8.6,2.5,3.62,3.62,100,0,1.3,2,0.7
Kelby Tomlinson,2B/SS,SF,vs LAD,3.57,"Urias, L",R,0,0,0,7,2700,3.6,0,3.6,3.6,100,0,1.3,11,4.1
Chris Taylor,2B/SS,LAD,@ SF,3.94,"Moore, L 5.87",R,0.429,0.523,0.357,5,2700,16.4,6.8,5.63,5.63,100,61,2.1,7,2.6
James McCann,C,DET,vs SEA,4.94,"Iwakuma, R 5.31",R,0.188,0.342,0.313,8,2600,20.6,7.7,4.12,4.12,100,46,1.6,0,
Guillermo Heredia,OF,SEA,@ DET,4.06,"Verlander, R 6.04",B,0.314,0.372,0.2,7,2600,19.6,7.3,4.02,4.02,100,47,1.5,3,1.2
Tony Kemp,2B/OF,HOU,@ CLE,3.45,"Kluber, R 4.28",L,,0,0,9,2600,2.1,,2.13,2.13,100,0,0.8,0,
Darwin Barney,2B/3B,TOR,@ STL,3.45,"Wainwright, R 6.27",R,0.303,0.29,0,8,2700,10.1,3.8,3.4,3.4,100,56,1.3,10,3.7
Andres Blanco,2B/SS,PHI,vs MIA,4.31,"Volquez, R 4.82",B,0.375,0.511,0.5,6,2600,14.3,3.4,4.43,4.43,100,27,1.7,2,0.8
Adeiny Hechavarria,SS,MIA,@ PHI,4.19,"Hellickson, R 1.87",R,0.242,0.243,0.03,8,2600,12.9,4.2,3.48,3.48,100,44,1.3,5,1.9
Nick Ahmed,SS,ARI,vs SD,6.2,"Weaver, R 3.91",R,0.27,0.301,0.135,8,2600,16.8,5.1,4.98,4.98,100,42,1.9,0,
Austin Barnes,C,LAD,@ SF,3.94,"Moore, L 5.87",R,0.238,0.377,0.333,6,2600,20.1,7,5.13,5.13,100,47,2,0,
Tyler Collins,OF,DET,vs SEA,4.94,"Iwakuma, R 5.31",L,0.264,0.281,0.076,2,2500,19.4,5.4,6.84,6.84,100,42,2.7,17,6.8
Gorkys Hernandez,OF,SF,vs LAD,3.57,"Urias, L",R,0.143,0.188,0.024,8,2500,13,2.5,2.98,2.98,100,0,1.2,2,0.8
Carlos Ruiz,C,SEA,@ DET,4.06,"Verlander, R 6.04",R,0.133,0.267,0.067,8,2400,11.4,3.7,3.22,3.22,100,45,1.3,2,0.8
Jose Iglesias,SS,DET,vs SEA,4.94,"Iwakuma, R 5.31",R,0.267,0.312,0.178,9,2400,18,7,2.82,2.82,100,46,1.2,0,
Eric Fryer,C,STL,vs TOR,5.05,"Lawrence, R 7.56",R,0.267,0.336,0.133,8,2500,9.1,3.3,3.83,3.83,100,60,1.5,0,
Ryan Goins,2B/SS,TOR,@ STL,3.45,"Wainwright, R 6.27",L,0.296,0.381,0.222,7,2500,12.7,3.9,3.04,3.04,100,38,1.2,0,
Juan Graterol,C,LAA,vs OAK,4.46,"Graveman, R 2.00",R,0.2,0.18,0,9,2400,5.2,1,2.42,2.42,100,30,1,0,
Matt Joyce,OF,OAK,@ LAA,4.04,"Nolasco, R 4.76",L,0.182,0.248,0.146,2,2400,17.9,4.4,5.49,5.49,100,30,2.3,0,
Jim Adduci,OF,DET,vs SEA,4.94,"Iwakuma, R 5.31",L,0.6,0.678,0.4,7,2300,7.4,19.5,4.43,4.43,100,0,1.9,0,
Kurt Suzuki,C,ATL,@ NYM,3.27,"Harvey, R 2.84",R,0.16,0.243,0,6,2300,9,3.2,3.63,3.63,100,58,1.6,24,10.4
Adam Rosales,2B/SS,OAK,@ LAA,4.04,"Nolasco, R 4.76",R,0.295,0.325,0.182,9,2300,12.7,5.8,2.52,2.52,100,56,1.1,0,
