"Corey Seager_LAD","Cody Bellinger_LAD","Khris Davis_OAK","Giancarlo Stanton_MIA","Justin Bour_MIA","Yasiel Puig_LAD","Yonder Alonso_OAK","Dexter Fowler_STL","Justin Turner_LAD","Jed Lowrie_OAK","Dee Gordon_MIA","Logan Forsythe_LAD","Rajai Davis_OAK","Yasmani Grandal_LAD","Chris Taylor_LAD","Marcell Ozuna_MIA","Matt Carpenter_STL","Stephen Piscotty_STL","Trevor Plouffe_OAK","Matt Joyce_OAK","Marcus Semien_OAK","Christian Yelich_MIA","JT Realmuto_MIA","Adrian Gonzalez_LAD","Randal Grichuk_STL","Joc Pederson_LAD","Mark Canha_OAK","Ryon Healy_OAK","Franklin Gutierrez_LAD","Jedd Gyorko_STL","Martin Prado_MIA","Chase Utley_LAD","Kike Hernandez_LAD","Aledmys Diaz_STL","Stephen Vogt_OAK","Tommy Pham_STL","Trayce Thompson_LAD","Derek Dietrich_MIA","Andrew Toles_LAD","Austin Barnes_LAD","Josh Phegley_OAK","Kolten Wong_STL","Rob Segedin_LAD","Yadier Molina_STL","Jhonny Peralta_STL","Andre Ethier_LAD","Jake Smolinski_OAK","Ryan LaMarre_OAK","Chad Pinder_OAK","Scott Van Slyke_LAD","Destin Hood_MIA","Bruce Maxwell_OAK","Ichiro Suzuki_MIA","Tyler Moore_MIA","Tomas Telis_MIA","Harrison Bader_STL","Christian Colon_MIA","Steve Lombardozzi_MIA","Adeiny Hechavarria_MIA","JT Riddle_MIA","Jose Martinez_STL","Greg Garcia_STL","AJ Ellis_MIA","Magneuris Sierra_STL","Mike Aviles_MIA","Adam Rosales_OAK","Carson Kelly_STL","Jaff Decker_OAK","Miguel Rojas_MIA","Eric Fryer_STL","Brett Eibner_LAD","Matt Olson_OAK"
38,21,0,0,0,35,0,0,32,0,0,11,0,30,16,0,0,0,0,0,0,0,0,23,0,21,0,0,6,0,0,20,0,0,0,0,2,0,17,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
21,22,0,0,0,19,0,0,18,0,0,0,0,17,16,0,0,0,0,0,0,0,0,9,0,11,0,0,3,0,0,14,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,38,0,0,0,29,0,0,36,0,0,24,0,0,0,0,0,34,28,9,0,0,0,0,0,9,35,0,0,0,0,0,0,24,0,0,0,0,0,11,0,0,0,0,0,0,2,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,12,0,0,0,0
0,0,0,39,35,0,0,0,0,0,36,0,0,0,0,39,0,0,0,0,0,39,32,0,0,0,0,0,0,0,15,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,16,11,0,0,8,0,0,0,0,0,14,0,0,0
0,0,0,35,36,0,0,0,0,0,33,0,0,0,0,36,0,0,0,0,0,36,30,0,0,0,0,0,0,0,14,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,15,9,0,0,7,0,0,0,0,0,12,0,0,0
35,19,0,0,0,38,0,0,33,0,0,11,0,29,17,0,0,0,0,0,0,0,0,22,0,22,0,0,6,0,0,18,0,0,0,0,2,0,17,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,29,0,0,0,31,0,0,29,0,0,18,0,0,0,0,0,27,27,6,0,0,0,0,0,5,28,0,0,0,0,0,0,24,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,11,0,0,0,0
0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0,27,0,0,0,0,22,0,0,0,28,0,6,0,0,0,0,0,24,0,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,2,0,0,0,0,0,4,0,0
32,18,0,0,0,33,0,0,35,0,0,10,0,26,14,0,0,0,0,0,0,0,0,20,0,20,0,0,6,0,0,16,0,0,0,0,2,0,16,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,36,0,0,0,29,0,0,38,0,0,23,0,0,0,0,0,34,29,9,0,0,0,0,0,10,35,0,0,0,0,0,0,26,0,0,0,0,0,9,0,0,0,0,0,0,2,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,12,0,0,0,0
0,0,0,36,33,0,0,0,0,0,37,0,0,0,0,37,0,0,0,0,0,37,30,0,0,0,0,0,0,0,13,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,13,11,0,0,8,0,0,0,0,0,13,0,0,0
11,0,0,0,0,11,0,0,10,0,0,11,0,8,0,0,0,0,0,0,0,0,0,9,0,6,0,0,3,0,0,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,24,0,0,0,18,0,0,23,0,0,25,0,0,0,0,0,23,16,9,0,0,0,0,0,8,23,0,0,0,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0
30,17,0,0,0,29,0,0,26,0,0,8,0,31,12,0,0,0,0,0,0,0,0,21,0,19,0,0,2,0,0,19,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,0,0,17,0,0,14,0,0,0,0,12,19,0,0,0,0,0,0,0,0,5,0,11,0,0,4,0,0,8,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,39,36,0,0,0,0,0,37,0,0,0,0,40,0,0,0,0,0,40,33,0,0,0,0,0,0,0,15,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,16,11,0,0,8,0,0,0,0,0,15,0,0,0
0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,34,19,0,0,0,0,0,0,30,0,0,0,0,27,0,0,0,30,0,11,0,0,0,0,0,28,0,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,6,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,19,23,0,0,0,0,0,0,21,0,0,0,0,15,0,0,0,19,0,0,0,0,0,0,0,19,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,4,0,0
0,0,34,0,0,0,27,0,0,34,0,0,23,0,0,0,0,0,36,27,8,0,0,0,0,0,7,33,0,0,0,0,0,0,23,0,0,0,0,0,10,0,0,0,0,0,0,2,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,12,0,0,0,0
0,0,28,0,0,0,27,0,0,29,0,0,16,0,0,0,0,0,27,30,6,0,0,0,0,0,4,27,0,0,0,0,0,0,24,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,10,0,0,0,0
0,0,9,0,0,0,6,0,0,9,0,0,9,0,0,0,0,0,8,6,9,0,0,0,0,0,4,9,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,39,36,0,0,0,0,0,37,0,0,0,0,40,0,0,0,0,0,40,33,0,0,0,0,0,0,0,15,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,16,11,0,0,8,0,0,0,0,0,15,0,0,0
0,0,0,32,30,0,0,0,0,0,30,0,0,0,0,33,0,0,0,0,0,33,33,0,0,0,0,0,0,0,14,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,14,9,0,0,0,0,0,0,0,0,11,0,0,0
23,9,0,0,0,22,0,0,20,0,0,9,0,21,5,0,0,0,0,0,0,0,0,24,0,12,0,0,3,0,0,13,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,30,21,0,0,0,0,0,0,34,0,0,0,0,25,0,0,0,32,0,9,0,0,0,0,0,28,0,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,4,0,0,0,0,0,3,0,0
21,11,0,0,0,22,0,0,20,0,0,6,0,19,11,0,0,0,0,0,0,0,0,12,0,23,0,0,2,0,0,14,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,0,0,5,0,0,10,0,0,8,0,0,0,0,0,7,4,4,0,0,0,0,0,10,10,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
0,0,35,0,0,0,28,0,0,35,0,0,23,0,0,0,0,0,33,27,9,0,0,0,0,0,10,37,0,0,0,0,0,0,23,0,0,0,0,0,11,0,0,0,0,0,0,2,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,12,0,0,0,0
6,3,0,0,0,6,0,0,6,0,0,3,0,2,4,0,0,0,0,0,0,0,0,3,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
