"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","RankTargets","RollingTargetPctg"
"WR","Antonio Brown (0000000)","Antonio Brown",0,9200,"Pit@Ind 00:00PM ET","Pit","Antonio","Brown","Ind",23.89,25.8,78,119,7,1,1,1,0.288834951456311
"RB","Le'Veon Bell (0000000)","Le'Veon Bell",0,9000,"Pit@Ind 00:00PM ET","Pit","Le'Veon","Bell","Ind",25.56,27.8,NA,NA,NA,NA,NA,NA,NA
"RB","David Johnson (0000000)","David Johnson",0,8900,"Ari@Atl 00:00PM ET","Ari","David","Johnson","Atl",24.43,19.8,49,74,2,2,3,2,0.174940898345154
"WR","Odell Beckham (0000000)","Odell Beckham",0,8800,"NYG@Cle 00:00PM ET","NYG","Odell","Beckham","Cle",21.42,19.9,61,104,6,1,1,1,0.261964735516373
"WR","Julio Jones (0000000)","Julio Jones",0,8500,"Ari@Atl 00:00PM ET","Atl","Julio","Jones","Ari",18.07,19.7,63,98,5,1,1,1,0.278409090909091
"RB","Ezekiel Elliott (0000000)","Ezekiel Elliott",0,8500,"Was@Dal 00:00PM ET","Dal","Ezekiel","Elliott","Was",19.97,21.1,22,27,1,5,5,5,0.0825688073394495
"WR","T.Y. Hilton (0000000)","T.Y. Hilton",0,7900,"Pit@Ind 00:00PM ET","Ind","T.Y.","Hilton","Pit",17.88,18.2,61,108,6,1,1,1,0.278350515463918
"WR","A.J. Green (0000000)","A.J. Green",0,7800,"Cin@Bal 00:00PM ET","Cin","A.J.","Green","Bal",0,0,68,108,4,1,1,1,0.294277929155313
"QB","Tom Brady (0000000)","Tom Brady",0,7800,"NE@NYJ 00:00PM ET","NE","Tom","Brady","NYJ",24.36,20.3,NA,NA,NA,NA,NA,NA,NA
"WR","Amari Cooper (0000000)","Amari Cooper",0,7700,"Car@Oak 00:00PM ET","Oak","Amari","Cooper","Car",19.14,19,64,104,3,1,2,1,0.25615763546798
"WR","Dez Bryant (0000000)","Dez Bryant",0,7700,"Was@Dal 00:00PM ET","Dal","Dez","Bryant","Was",16.58,16.1,28,60,6,3,1,3,0.18348623853211
"RB","DeMarco Murray (0000000)","DeMarco Murray",0,7700,"Ten@Chi 00:00PM ET","Ten","DeMarco","Murray","Chi",20.57,19.5,39,48,3,3,3,4,0.130790190735695
"RB","Jay Ajayi (0000000)","Jay Ajayi",0,7600,"SF@Mia 00:00PM ET","Mia","Jay","Ajayi","SF",23.73,22.5,17,21,1,4,6,4,0.0697674418604651
"QB","Andrew Luck (0000000)","Andrew Luck",0,7500,"Pit@Ind 00:00PM ET","Ind","Andrew","Luck","Pit",0,0,NA,NA,NA,NA,NA,NA,NA
"WR","Mike Evans (0000000)","Mike Evans",0,7500,"Sea@TB 00:00PM ET","TB","Mike","Evans","Sea",18.85,19.3,68,124,8,1,1,1,0.313924050632911
"WR","Jordy Nelson (0000000)","Jordy Nelson",0,7400,"GB@Phi 00:00PM ET","GB","Jordy","Nelson","Phi",18.78,17.7,54,99,9,2,1,1,0.230232558139535
"RB","LeSean McCoy (0000000)","LeSean McCoy",0,7300,"Jax@Buf 00:00PM ET","Buf","LeSean","McCoy","Jax",16.73,18.6,27,33,1,3,3,4,0.109271523178808
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger",0,7300,"Pit@Ind 00:00PM ET","Pit","Ben","Roethlisberger","Ind",20.34,21.2,NA,NA,NA,NA,NA,NA,NA
"QB","Marcus Mariota (0000000)","Marcus Mariota",0,7200,"Ten@Chi 00:00PM ET","Ten","Marcus","Mariota","Chi",20.26,18.5,NA,NA,NA,NA,NA,NA,NA
"WR","Allen Robinson (0000000)","Allen Robinson",0,7200,"Jax@Buf 00:00PM ET","Jax","Allen","Robinson","Buf",16.3,16.6,51,107,6,1,1,1,0.250585480093677
"QB","Drew Brees (0000000)","Drew Brees",0,7100,"LA@NO 00:00PM ET","NO","Drew","Brees","LA",22.83,19.3,NA,NA,NA,NA,NA,NA,NA
"QB","Aaron Rodgers (0000000)","Aaron Rodgers",0,7000,"GB@Phi 00:00PM ET","GB","Aaron","Rodgers","Phi",21.92,20.2,NA,NA,NA,NA,NA,NA,NA
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald",0,7000,"Ari@Atl 00:00PM ET","Ari","Larry","Fitzgerald","Atl",19.1,19.7,77,112,6,1,1,1,0.264775413711584
"RB","Melvin Gordon (0000000)","Melvin Gordon",0,7000,"SD@Hou 00:00PM ET","SD","Melvin","Gordon","Hou",19.03,19.4,33,46,2,4,5,5,0.123324396782842
"TE","Rob Gronkowski (0000000)","Rob Gronkowski",0,6900,"NE@NYJ 00:00PM ET","NE","Rob","Gronkowski","NYJ",17.86,14.6,25,39,3,4,4,4,0.113372093023256
"WR","Demaryius Thomas (0000000)","Demaryius Thomas",0,6900,"KC@Den 00:00PM ET","Den","Demaryius","Thomas","KC",15.32,16.4,57,96,5,1,1,1,0.275862068965517
"QB","Matt Ryan (0000000)","Matt Ryan",0,6900,"Ari@Atl 00:00PM ET","Atl","Matt","Ryan","Ari",19.34,16.8,NA,NA,NA,NA,NA,NA,NA
"WR","Stefon Diggs (0000000)","Stefon Diggs",0,6900,"Min@Det 00:00PM ET","Min","Stefon","Diggs","Det",0,0,68,90,2,1,3,1,0.252100840336134
"WR","Julian Edelman (0000000)","Julian Edelman",0,6800,"NE@NYJ 00:00PM ET","NE","Julian","Edelman","NYJ",15.8,17.1,59,93,2,1,5,1,0.270348837209302
"QB","Cam Newton (0000000)","Cam Newton",0,6800,"Car@Oak 00:00PM ET","Car","Cam","Newton","Oak",21.9,21.9,NA,NA,NA,NA,NA,NA,NA
"WR","Brandin Cooks (0000000)","Brandin Cooks",0,6800,"LA@NO 00:00PM ET","NO","Brandin","Cooks","LA",18.11,15.1,52,77,6,2,1,1,0.182033096926714
"QB","Russell Wilson (0000000)","Russell Wilson",0,6700,"Sea@TB 00:00PM ET","Sea","Russell","Wilson","TB",19.48,20.4,2,2,1,11,3,11,0.00630914826498423
"WR","Kelvin Benjamin (0000000)","Kelvin Benjamin",0,6700,"Car@Oak 00:00PM ET","Car","Kelvin","Benjamin","Oak",14.46,13.3,46,81,4,2,1,2,0.220108695652174
"WR","Davante Adams (0000000)","Davante Adams",0,6600,"GB@Phi 00:00PM ET","GB","Davante","Adams","Phi",12.34,10.1,55,85,6,1,2,2,0.197674418604651
"WR","Michael Thomas (0000000)","Michael Thomas",0,6600,"LA@NO 00:00PM ET","NO","Michael","Thomas","LA",15.01,13.3,59,77,5,1,2,1,0.182033096926714
"WR","Michael Crabtree (0000000)","Michael Crabtree",0,6500,"Car@Oak 00:00PM ET","Oak","Michael","Crabtree","Car",14.86,15.1,56,96,7,2,1,2,0.236453201970443
"QB","Eli Manning (0000000)","Eli Manning",0,6500,"NYG@Cle 00:00PM ET","NYG","Eli","Manning","Cle",19.43,18.6,NA,NA,NA,NA,NA,NA,NA
