"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Week1","Week2","Week3","Week4","Week5","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual"
"WR","Antonio Brown (7572050)","Antonio Brown",7572050,10000,"Pit@Mia 01:00PM ET","Pit","Antonio","Brown","Mia",24.54,23.6,23.66,23.6,1,0.297435897435897,22.5328062790233,22.3983192948923,1,35.6,7.9,29,22.4,22.8,37,58,5,1,1,13.3,33.8,8.5
"WR","Julio Jones (7572084)","Julio Jones",7572084,8900,"Atl@Sea 04:25PM ET","Atl","Julio","Jones","Sea",18.09,21.2,17.42,21.2,1,0.247058823529412,19.0640008756257,18.7039973656394,1,16.6,24.6,2.6,51,4.9,25,42,3,1,1,0.4,39.5,29.9
"WR","Odell Beckham Jr. (7572011)","Odell Beckham",7572011,8800,"Bal@NYG 01:00PM ET","NYG","Odell","Beckham","Bal",19.14,17.4,18.68,17.4,1,0.283505154639175,16.9248757379529,16.8890476786633,1,11.3,16.6,22.1,5.3,16.6,29,55,1,1,2,8,20.7,44.2
"WR","A.J. Green (7572063)","A.J. Green",7572063,8600,"Cin@NE 01:00PM ET","Cin","A.J.","Green","NE",19.24,23.3,18.68,23.3,1,0.287958115183246,20.7612949983464,20.3268016223495,1,39,5.8,15.7,36.3,9,36,55,2,1,1,5.7,36.7,14.8
"QB","Cam Newton (7571815)","Cam Newton",7571815,8100,"Car@NO 01:00PM ET","Car","Cam","Newton","NO",27.67,27.4,22.2,27.4,NA,NA,25.9164301827499,25.7106065425236,0,22.2,34.8,16.1,15.6,NA,NA,NA,NA,NA,NA,13.2,31.1,31
"WR","Kelvin Benjamin (7572022)","Kelvin Benjamin",7572022,8100,"Car@NO 01:00PM ET","Car","Kelvin","Benjamin","NO",20,16.1,17.06,16.1,2,0.197860962566845,16.3421683061779,16.4475340031973,1,21.1,32.8,NA,12.9,12,21,37,4,2,1,3.6,27.9,16.6
"WR","Jordy Nelson (7572092)","Jordy Nelson",7572092,8000,"Dal@GB 04:25PM ET","GB","Jordy","Nelson","Dal",18.9,18,20.33,18,1,0.27027027027027,17.2405378629376,17.1490353784134,1,15.2,18.3,31.1,NA,13.8,21,40,5,2,1,11.7,27.5,10.8
"QB","Drew Brees (7571811)","Drew Brees",7571811,7900,"Car@NO 01:00PM ET","NO","Drew","Brees","Car",27.41,22.9,18.74,22.9,NA,NA,22.9356466716638,23.0227764558928,0,35.4,14.5,29.9,13.9,NA,NA,NA,NA,NA,NA,12.5,34.3,36.6
"RB","Le'Veon Bell (7571921)","Le'Veon Bell",7571921,7900,"Pit@Mia 01:00PM ET","Pit","Le'Veon","Bell","Mia",23.58,29.7,18.33,29.7,NA,NA,26.1826738097707,25.5716853722811,1,NA,NA,NA,25.8,24.4,NA,NA,NA,NA,NA,24.1,26.1,18.8
"WR","Allen Robinson (7572037)","Allen Robinson",7572037,7800,"Jax@Chi 01:00PM ET","Jax","Allen","Robinson","Chi",19.94,17,19.59,17,1,0.282208588957055,16.9049795869124,16.9449799710514,1,13.2,8.4,24.7,16.5,NA,21,46,3,1,1,8.8,22.6,7.9
"RB","DeMarco Murray (7571874)","DeMarco Murray",7571874,7700,"Cle@Ten 01:00PM ET","Ten","DeMarco","Murray","Cle",21.4,21.5,18.15,21.5,3,0.152941176470588,20.2430354710282,20.0626677305975,1,23.7,21.5,29.5,25.9,21.7,23,26,2,1,2,21.1,27.8,12.5
"QB","Tom Brady (7571833)","Tom Brady",7571833,7700,"Cin@NE 01:00PM ET","NE","Tom","Brady","Cin",25.09,22.2,19.47,22.2,NA,NA,21.7932840509505,21.7880991815343,0,NA,NA,NA,NA,32.6,NA,NA,NA,NA,NA,32.6,32.6,30.2
"WR","T.Y. Hilton (7572104)","T.Y. Hilton",7572104,7700,"Ind@Hou 08:30PM ET","Ind","T.Y.","Hilton","Hou",20.88,15.4,16.89,15.4,1,0.28436018957346,16.1525320135441,16.3591438566132,1,13.9,8.1,34.4,17.2,36.1,36,60,3,1,1,9.3,34.5,7.9
"WR","Brandin Cooks (7572023)","Brandin Cooks",7572023,7600,"Car@NO 01:00PM ET","NO","Brandin","Cooks","Car",17.56,16.3,15.16,16.3,1,0.190751445086705,15.7447533475476,15.6888098130472,1,36.4,13.8,3.9,6.1,NA,18,33,2,2,1,0.2,29.9,33.5
"QB","Ben Roethlisberger (7571829)","Ben Roethlisberger",7571829,7500,"Pit@Mia 01:00PM ET","Pit","Ben","Roethlisberger","Mia",24.48,23.4,20.07,23.4,NA,NA,22.3859037938416,22.2615066664688,0,25.8,21.8,9,36.9,33.2,NA,NA,NA,NA,NA,14.4,36.2,11.6
"WR","Amari Cooper (7572076)","Amari Cooper",7572076,7500,"KC@Oak 04:05PM ET","Oak","Amari","Cooper","KC",17.85,14.7,17.2,14.7,1,0.26865671641791,14.7987832387881,14.8701341257798,1,24.7,12.1,10.2,9.8,30.8,27,54,1,2,4,7.9,27.1,25.9
"WR","DeAndre Hopkins (7572107)","DeAndre Hopkins",7572107,7500,"Ind@Hou 08:30PM ET","Hou","DeAndre","Hopkins","Ind",18.56,17.3,17.05,17.3,1,0.221621621621622,16.6876746577234,16.6236232643653,1,16.4,27.3,9.6,1.4,16.6,22,41,3,1,1,4.7,23.8,16.1
"WR","Dez Bryant (7572093)","Dez Bryant",7572093,7400,"Dal@GB 04:25PM ET","Dal","Dez","Bryant","GB",0,0,0,0,3,0.149068322981366,0,0,0,1.8,20.2,13,NA,NA,11,24,2,4,1,2.4,20.9,0
"QB","Aaron Rodgers (7571848)","Aaron Rodgers",7571848,7300,"Dal@GB 04:25PM ET","GB","Aaron","Rodgers","Dal",22.87,21.3,21.31,21.3,NA,NA,20.5516552614595,20.4739236351411,0,23.6,19.4,26.4,NA,17.9,NA,NA,NA,NA,NA,17.9,25.7,14.5
"WR","Marvin Jones Jr. (7572043)","Marvin Jones",7572043,7200,"LA@Det 01:00PM ET","Det","Marvin","Jones","LA",18.25,17.7,15.66,17.7,1,0.247311827956989,16.8534570277511,16.7432161884177,1,12.5,22.8,41.5,12.4,13.7,27,46,3,1,1,8.1,33.1,9.3
"WR","Alshon Jeffery (7572031)","Alshon Jeffery",7572031,7100,"Jax@Chi 01:00PM ET","Chi","Alshon","Jeffery","Jax",14.97,15.8,13.53,15.8,2,0.172043010752688,14.6510433094328,14.4727343070605,1,17.5,14.6,12,7.6,12.7,22,32,0,3,5,9.2,16.5,16.3
"QB","Andrew Luck (7571856)","Andrew Luck",7571856,7100,"Ind@Hou 08:30PM ET","Ind","Andrew","Luck","Hou",19.98,19.4,18.12,19.4,NA,NA,18.4653550643758,18.3431454974814,0,38.5,12.1,18.2,18.7,25.2,NA,NA,NA,NA,NA,12.5,32.6,24.4
