"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"3B","Nolan Arenado",5300,"SF@Col 08:40PM ET",11.125,"Col",9.9,7.8,9.21,9,0
"OF","Hunter Pence",5300,"SF@Col 08:40PM ET",7,"SF",8.07,9.3,9.27,7.9,5
"1B","Paul Goldschmidt",5100,"LAD@Ari 09:40PM ET",8.938,"Ari",10.89,10.1,10.02,9.9,18
"C","Buster Posey",5100,"SF@Col 08:40PM ET",7.556,"SF",9.52,9.7,9.47,7.2,5
"OF","Charlie Blackmon",5100,"SF@Col 08:40PM ET",7.625,"Col",9.45,7.8,9.25,9,16
"1B","Brandon Belt",5000,"SF@Col 08:40PM ET",8.533,"SF",8.53,9.5,9.6,8.5,19
"3B","Eduardo Nunez",5000,"SF@Col 08:40PM ET",6.733,"SF",6.96,9.3,8.96,7.1,19
"OF","Carlos Gonzalez",5000,"SF@Col 08:40PM ET",3.933,"Col",8.73,8,8.82,8.4,7
"SS","Trevor Story",4900,"SF@Col 08:40PM ET",5.375,"Col",7.58,6.9,8.36,8.1,20
"OF","Denard Span",4900,"SF@Col 08:40PM ET",4.25,"SF",7.46,9.2,8.83,6.3,5
"2B","Joe Panik",4800,"SF@Col 08:40PM ET",6.6,"SF",6.66,7.6,6.7,6.7,10
"OF","Ian Desmond",4800,"SF@Col 08:40PM ET",0,"Col",NA,0,NA,0,NA
"SS","Brandon Crawford",4700,"SF@Col 08:40PM ET",7.188,"SF",8.07,8,8.3,7.5,3
"SS","Corey Seager",4600,"LAD@Ari 09:40PM ET",8.353,"LAD",9.12,10.4,9.32,9.1,24
"OF","David Dahl",4500,"SF@Col 08:40PM ET",0,"Col",NA,0,NA,0,NA
"2B","DJ LeMahieu",4400,"SF@Col 08:40PM ET",6.438,"Col",7.22,7.4,8.24,7.4,2
"1B","Mark Reynolds",4300,"SF@Col 08:40PM ET",8.25,"Col",6.9,7.1,7.79,5.5,14
"OF","Jarrett Parker",4300,"SF@Col 08:40PM ET",2.667,"SF",NA,0,NA,0,NA
"C","Nick Hundley",4200,"SF@Col 08:40PM ET",5.5,"SF",6.27,0,6.89,1,NA
"OF","AJ. Pollock",4100,"LAD@Ari 09:40PM ET",8.333,"Ari",8.16,9.1,NA,9.4,24
"3B","Jake Lamb",4000,"LAD@Ari 09:40PM ET",10.4,"Ari",5.98,6.4,7.97,6.6,11
"OF","Mac Williamson",4000,"SF@Col 08:40PM ET",0,"SF",NA,0,NA,0,NA
"1B","Adrian Gonzalez",3900,"LAD@Ari 09:40PM ET",4.824,"LAD",7.36,9.2,8.57,7.8,0
"OF","Yasiel Puig",3900,"LAD@Ari 09:40PM ET",9,"LAD",7.18,9.6,7.58,7,0
"OF","Yasmany Tomas",3900,"LAD@Ari 09:40PM ET",7.923,"Ari",7.91,8.6,7.47,8.1,11
"2B/SS","Kelby Tomlinson",3900,"SF@Col 08:40PM ET",0,"SF",NA,0,NA,0,NA
"OF","Gerardo Parra",3900,"SF@Col 08:40PM ET",5.583,"Col",7.53,6.2,6.69,6.8,7
"2B/3B","Logan Forsythe",3800,"LAD@Ari 09:40PM ET",5.4,"LAD",NA,0,NA,0,NA
"OF","Joc Pederson",3800,"LAD@Ari 09:40PM ET",5.375,"LAD",6.92,9.1,8.01,8,12
"3B","Justin Turner",3700,"LAD@Ari 09:40PM ET",9,"LAD",7.44,10.2,9.14,8.2,7
"OF","David Peralta",3700,"LAD@Ari 09:40PM ET",7.214,"Ari",5.98,5.9,7.01,5.4,10
"2B/OF","Aaron Hill",3600,"SF@Col 08:40PM ET",3.2,"SF",7.4,0,1.61,0.5,NA
"OF","Gorkys Hernandez",3600,"SF@Col 08:40PM ET",1.833,"SF",NA,0,1.78,0.9,NA
"C","Yasmani Grandal",3500,"LAD@Ari 09:40PM ET",5.267,"LAD",5.98,8.8,8.18,6.1,9
"2B","Chase Utley",3500,"LAD@Ari 09:40PM ET",2,"LAD",6.14,6.9,5.8,4.7,0
