"Nolan Arenado_Col","Hunter Pence_SF","Paul Goldschmidt_Ari","Buster Posey_SF","Charlie Blackmon_Col","Brandon Belt_SF","Eduardo Nunez_SF","Carlos Gonzalez_Col","Trevor Story_Col","Denard Span_SF","Joe Panik_SF","Ian Desmond_Col","Brandon Crawford_SF","Corey Seager_LAD","David Dahl_Col","DJ LeMahieu_Col","Mark Reynolds_Col","Jarrett Parker_SF","Nick Hundley_SF","AJ Pollock_Ari","Jake Lamb_Ari","Mac Williamson_SF","Adrian Gonzalez_LAD","Yasiel Puig_LAD","Yasmany Tomas_Ari","Kelby Tomlinson_SF","Gerardo Parra_Col","Logan Forsythe_LAD","Joc Pederson_LAD","Justin Turner_LAD","David Peralta_Ari","Aaron Hill_SF","Gorkys Hernandez_SF","Yasmani Grandal_LAD","Chase Utley_LAD","Brandon Drury_Ari","Chris Owings_Ari","Franklin Gutierrez_LAD","Conor Gillaspie_SF","Stephen Cardullo_Col","Raimel Tapia_Col","Dustin Garneau_Col","Cody Bellinger_LAD","Chris Taylor_LAD","Jeremy Hazelbaker_Ari","Tom Murphy_Col","Chris Herrmann_Ari","Trayce Thompson_LAD","Austin Barnes_LAD","Andrew Toles_LAD","Socrates Brito_Ari","Tim Federowicz_SF","Pat Valaika_Col","Rob Segedin_LAD","Tony Wolters_Col","Andre Ethier_LAD","Scott Van Slyke_LAD","Kike Hernandez_LAD","Cristhian Adames_Col","Chris Marrero_SF","Chris Iannetta_Ari","Alexi Amarista_Col","Daniel Descalso_Ari","Nick Ahmed_Ari","Jeff Mathis_Ari","Brett Eibner_LAD"
88.7435897435897,0,0,0,16.4551282051282,0,0,-7.21212121212121,12.6363636363636,0,0,0,0,0,0,-18.9679487179487,-1.8030303030303,0,0,0,0,0,0,0,0,0,18.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,20.5833333333333,0,18.7666666666667,0,0,0,0,0,0,0,0,0,0,0,0,11.2857142857143,0,0,0,0,0,0,0,0,0,0,0
0,31.0549450549451,0,5.55357142857143,0,8.84615384615385,22.6666666666667,0,0,4.77777777777778,10.2051282051282,0,20.7727272727273,0,0,0,0,2.97619047619048,21.3809523809524,0,0,0,0,0,0,0,0,0,0,0,0,-22,13.6,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0666666666667,0,0,0,0,0,0
0,0,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28571428571429,20.7666666666667,0,0,0,6.96794871794872,0,0,0,0,0,20.1282051282051,0,0,0,0,21.2637362637363,-0.807692307692308,0,0,0,0,0,0,0,26,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,5.16666666666667,9.6,3,0
0,5.55357142857143,0,15.2678571428571,0,15.2857142857143,-8.05357142857143,0,0,-8.83333333333333,4.66666666666667,0,-5.51785714285714,0,0,0,0,-6.41666666666667,6,0,0,0,0,0,0,0,0,0,0,0,0,63,-21.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33333333333333,0,0,0,0,0,0
16.4551282051282,0,0,0,20.2692307692308,0,0,12.3939393939394,-5.45454545454545,0,0,0,0,0,0,-14.6923076923077,-5.01515151515152,0,0,0,0,0,0,0,0,0,3.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0.733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,7.57142857142857,0,0,0,0,0,0,0,0,0,0,0
0,8.84615384615385,0,15.2857142857143,0,35.1923076923077,1.01515151515152,0,0,2.71428571428571,0.106060606060606,0,2.68181818181818,0,0,0,0,-10.8,-10.4666666666667,0,0,0,0,0,0,0,0,0,0,0,0,39,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.9,0,0,0,0,0,0
0,22.6666666666667,0,-8.05357142857143,0,1.01515151515152,62.5,0,0,8.89285714285714,19.5909090909091,0,17.9363636363636,0,0,0,0,-7,40.9666666666667,0,0,0,0,0,0,0,0,0,0,0,0,-47,11.1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8333333333333,0,0,0,0,0,0
-7.21212121212121,0,0,0,12.3939393939394,0,0,19.0606060606061,0.818181818181818,0,0,0,0,0,0,-3.92424242424242,-12.4,0,0,0,0,0,0,0,0,0,-1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,0,-10.8333333333333,0,-6.6,0,0,0,0,0,0,0,0,0,0,0,0,1.0952380952381,0,0,0,0,0,0,0,0,0,0,0
12.6363636363636,0,0,0,-5.45454545454545,0,0,0.818181818181818,34.1818181818182,0,0,0,0,0,0,-3.90909090909091,-3.87272727272727,0,0,0,0,0,0,0,0,0,27.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,-14.9166666666667,0,-4.06666666666667,0,0,0,0,0,0,0,0,0,0,0,0,-1.73333333333333,0,0,0,0,0,0,0,0,0,0,0
0,4.77777777777778,0,-8.83333333333333,0,2.71428571428571,8.89285714285714,0,0,14.6111111111111,-6.5,0,10.5714285714286,0,0,0,0,23.8,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8333333333333,0,0,0,0,0,0
0,10.2051282051282,0,4.66666666666667,0,0.106060606060606,19.5909090909091,0,0,-6.5,32.4358974358974,0,9.88181818181818,0,0,0,0,2.21428571428571,14.047619047619,0,0,0,0,0,0,0,0,0,0,0,0,-9,62.5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.9,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20.7727272727273,0,-5.51785714285714,0,2.68181818181818,17.9363636363636,0,0,10.5714285714286,9.88181818181818,0,39.3636363636364,0,0,0,0,-1.8,5.7,0,0,0,0,0,0,0,0,0,0,0,0,28,76.6666666666667,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.55,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,48.7307692307692,0,0,0,0,0,0,0,0,8.21818181818182,38.8141025641026,0,0,0,22.5555555555556,40.2321428571429,34.5,0,0,0,43.2818181818182,6.66666666666667,0,0,-3.5,0,0,0,0,0,0,0,0,0,0,77,15.0666666666667,0,0,0,0,0,0,13.6666666666667,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18.9679487179487,0,0,0,-14.6923076923077,0,0,-3.92424242424242,-3.90909090909091,0,0,0,0,0,0,40.4230769230769,-6.68181818181818,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,1.58333333333333,0,1.63333333333333,0,0,0,0,0,0,0,0,0,0,0,0,-14.3809523809524,0,0,0,0,0,0,0,0,0,0,0
-1.8030303030303,0,0,0,-5.01515151515152,0,0,-12.4,-3.87272727272727,0,0,0,0,0,0,-6.68181818181818,62.6969696969697,0,0,0,0,0,0,0,0,0,35.4523809523809,0,0,0,0,0,0,0,0,0,0,0,0,-3.91666666666667,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,9.83333333333333,0,0,0,0,0,0,0,0,0,0,0
0,2.97619047619048,0,-6.41666666666667,0,-10.8,-7,0,0,23.8,2.21428571428571,0,-1.8,0,0,0,0,42.6190476190476,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21.3809523809524,0,6,0,-10.4666666666667,40.9666666666667,0,0,8.5,14.047619047619,0,5.7,0,0,0,0,76.5,33.9523809523809,0,0,0,0,0,0,0,0,0,0,0,0,-14,14,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.1666666666667,0,0,0,0,0,0
