"Paul Goldschmidt_ARI","Wil Myers_SD","Nelson Cruz_SEA","Robinson Cano_SEA","Jean Segura_SEA","Kyle Seager_SEA","AJ Pollock_ARI","Jake Lamb_ARI","Khris Davis_OAK","Yasmany Tomas_ARI","Ryan Schimpf_SD","Rajai Davis_OAK","Yangervis Solarte_SD","David Peralta_ARI","Mitch Haniger_SEA","Manuel Margot_SD","Trevor Plouffe_OAK","Brandon Drury_ARI","Chris Owings_ARI","Alex Dickerson_SD","Hunter Renfroe_SD","Danny Valencia_SEA","Ryon Healy_OAK","Marcus Semien_OAK","Cory Spangenberg_SD","Taylor Motter_SEA","Leonys Martin_SEA","Jeremy Hazelbaker_ARI","Stephen Vogt_OAK","Chris Herrmann_ARI","Travis Jankowski_SD","Jarrod Dyson_SEA","Socrates Brito_ARI","Josh Phegley_OAK","Mike Zunino_SEA","Mark Canha_OAK","Ben Gamel_SEA","Yonder Alonso_OAK","Christian Bethancourt_SD","Austin Hedges_SD","Jed Lowrie_OAK","Guillermo Heredia_SEA","Erick Aybar_SD","Shawn O'Malley_SEA","Jake Smolinski_OAK","Chris Iannetta_ARI","Luis Sardinas_SD","Allen Cordoba_SD","Carlos Ruiz_SEA","Daniel Descalso_ARI","Jabari Blash_SD","Matt Joyce_OAK","Hector Sanchez_SD","Nick Ahmed_ARI","Adam Rosales_OAK","Chad Pinder_OAK","Mike Freeman_SEA","Jeff Mathis_ARI","Bruce Maxwell_OAK","Jaff Decker_OAK","Luis Torrens_SD"
16,0,0,0,0,0,14,15,0,12,0,0,0,14,0,0,0,14,13,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,9,0,0,0
0,14,0,0,0,0,0,0,0,0,13,0,14,0,0,13,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,0,0,11,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,15,7,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,13,0,0,0,9,12,0,0,0,0,13,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,15,7,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,13,0,0,0,9,12,0,0,0,0,13,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,7,7,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,15,7,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,13,0,0,0,9,12,0,0,0,0,13,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,14,13,0,11,0,0,0,12,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,8,0,0,0
15,0,0,0,0,0,13,15,0,11,0,0,0,14,0,0,0,13,12,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,8,0,0,0
0,0,0,0,0,0,0,0,13,0,0,11,0,0,0,0,12,0,0,0,0,0,11,9,0,0,0,0,10,0,0,0,0,3,0,4,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,2,0
12,0,0,0,0,0,11,11,0,12,0,0,0,10,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,3,0,0,0,7,0,0,0
