"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","RankTargets","RollingTargetPctg"
"WR","Antonio Brown (0000000)","Antonio Brown",0,9500,"Pit@Cle 00:00PM ET","Pit","Antonio","Brown","Cle",24.31,23.3,70,107,7,1,1,1,0.28686327077748
"RB","Le'Veon Bell (0000000)","Le'Veon Bell",0,8800,"Pit@Cle 00:00PM ET","Pit","Le'Veon","Bell","Cle",29.16,28.8,NA,NA,NA,NA,NA,NA,NA
"WR","Odell Beckham (0000000)","Odell Beckham",0,8500,"Chi@NYG 00:00PM ET","NYG","Odell","Beckham","Chi",22.52,19.9,46,85,5,1,1,1,0.270700636942675
"WR","A.J. Green (0000000)","A.J. Green",0,8300,"Buf@Cin 00:00PM ET","Cin","A.J.","Green","Buf",20.92,20.7,61,95,3,1,2,1,0.317725752508361
"RB","DeMarco Murray (0000000)","DeMarco Murray",0,8200,"Ten@Ind 00:00PM ET","Ten","DeMarco","Murray","Ind",21.87,17.7,36,45,2,2,5,4,0.13677811550152
"WR","Mike Evans (0000000)","Mike Evans",0,8100,"TB@KC 00:00PM ET","TB","Mike","Evans","KC",22.17,20.7,62,111,8,1,1,1,0.314447592067989
"RB","Ezekiel Elliott (0000000)","Ezekiel Elliott",0,8000,"Bal@Dal 00:00PM ET","Dal","Ezekiel","Elliott","Bal",19.23,16.9,18,22,1,5,5,6,0.0761245674740484
"RB","David Johnson (0000000)","David Johnson",0,7900,"Ari@Min 00:00PM ET","Ari","David","Johnson","Min",20.69,19.8,42,63,1,2,4,2,0.1640625
"QB","Cam Newton (0000000)","Cam Newton",0,7900,"NO@Car 00:00PM ET","Car","Cam","Newton","NO",24.43,23.4,NA,NA,NA,NA,NA,NA,NA
"WR","Jordy Nelson (0000000)","Jordy Nelson",0,7800,"GB@Was 00:00PM ET","GB","Jordy","Nelson","Was",20.12,18.2,51,94,8,2,1,1,0.243523316062176
"QB","Tom Brady (0000000)","Tom Brady",0,7800,"NE@SF 00:00PM ET","NE","Tom","Brady","SF",23.81,20.7,NA,NA,NA,NA,NA,NA,NA
"WR","T.Y. Hilton (0000000)","T.Y. Hilton",0,7700,"Ten@Ind 00:00PM ET","Ind","T.Y.","Hilton","Ten",19.06,20.3,56,100,5,1,1,1,0.277777777777778
"QB","Aaron Rodgers (0000000)","Aaron Rodgers",0,7600,"GB@Was 00:00PM ET","GB","Aaron","Rodgers","Was",22.24,21,NA,NA,NA,NA,NA,NA,NA
"QB","Drew Brees (0000000)","Drew Brees",0,7600,"NO@Car 00:00PM ET","NO","Drew","Brees","Car",22.08,21.9,NA,NA,NA,NA,NA,NA,NA
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger",0,7500,"Pit@Cle 00:00PM ET","Pit","Ben","Roethlisberger","Cle",20.34,21.3,NA,NA,NA,NA,NA,NA,NA
"WR","Amari Cooper (0000000)","Amari Cooper",0,7500,"Hou@Oak 00:00PM ET","Oak","Amari","Cooper","Hou",18.16,16.5,60,100,2,1,3,1,0.267379679144385
"WR","Allen Robinson (0000000)","Allen Robinson",0,7400,"Jax@Det 00:00PM ET","Jax","Allen","Robinson","Det",16.89,17.4,48,98,5,1,1,1,0.25
"WR","Kelvin Benjamin (0000000)","Kelvin Benjamin",0,7300,"NO@Car 00:00PM ET","Car","Kelvin","Benjamin","NO",18.26,13.8,43,77,4,2,1,2,0.229166666666667
"WR","Dez Bryant (0000000)","Dez Bryant",0,7200,"Bal@Dal 00:00PM ET","Dal","Dez","Bryant","Bal",17.24,14.1,22,52,4,4,1,3,0.179930795847751
"QB","Andrew Luck (0000000)","Andrew Luck",0,7200,"Ten@Ind 00:00PM ET","Ind","Andrew","Luck","Ten",23.3,19.9,NA,NA,NA,NA,NA,NA,NA
"WR","Larry Fitzgerald (0000000)","Larry Fitzgerald",0,7100,"Ari@Min 00:00PM ET","Ari","Larry","Fitzgerald","Min",17.16,16.9,71,103,6,1,1,1,0.268229166666667
"TE","Rob Gronkowski (0000000)","Rob Gronkowski",0,7100,"NE@SF 00:00PM ET","NE","Rob","Gronkowski","SF",0,0,25,39,3,4,2,4,0.128289473684211
