"Anthony Rizzo_CHC","Andrew McCutchen_PIT","Kris Bryant_CHC","Ian Happ_CHC","Starling Marte_PIT","Manuel Margot_SD","Willson Contreras_CHC","Wil Myers_SD","Aaron Altherr_PHI","Jason Heyward_CHC","Josh Bell_PIT","Tommy Joseph_PHI","Ben Zobrist_CHC","Josh Harrison_PIT","Adam Frazier_PIT","Freddy Galvis_PHI","Maikel Franco_PHI","John Jaso_PIT","Addison Russell_CHC","Daniel Nava_PHI","Cesar Hernandez_PHI","Jon Jay_CHC","Jordy Mercer_PIT","Gregory Polanco_PIT","Javier Baez_CHC","Jose Pirela_SD","Ryan Schimpf_SD","Howie Kendrick_PHI","Hunter Renfroe_SD","David Freese_PIT","Odubel Herrera_PHI","Andrew Knapp_PHI","Franchy Cordero_SD","Kyle Schwarber_CHC","Erick Aybar_SD","Cory Spangenberg_SD","Nick Williams_PHI","Jose Osuna_PIT","Tommy La Stella_CHC","Yangervis Solarte_SD","Cameron Perkins_PHI","Alex Dickerson_SD","Jeimer Candelario_CHC","Mark Zagunis_CHC","Matt Szczur_SD","Rhys Hoskins_PHI","Travis Jankowski_SD","Jose Rondon_SD","Ty Kelly_PHI","Jacob Stallings_PIT","Chase d'Arnaud_SD","Cameron Rupp_PHI","Danny Ortiz_PIT","Elias Diaz_PIT","Albert Almora_CHC","Kevin Newman_PIT","Christian Bethancourt_SD","Luis Urias_SD","Scott Kingery_PHI","Gift Ngoepe_PIT","Andres Blanco_PHI","Francisco Cervelli_PIT","Brock Stassi_PHI","Phil Gosselin_PIT","Chris Bostick_PIT","Jabari Blash_SD","Carlos Asuaje_SD","Victor Caratini_CHC","Jorge Alfaro_PHI","Roman Quinn_PHI","Hector Sanchez_SD","Austin Hedges_SD","Max Moroff_PIT","John Bormann_PIT","Eloy Jimenez_CHC","Allen Cordoba_SD","Luis Torrens_SD","Chris Stewart_PIT"
77,0,70,39,0,0,55,0,0,51,0,0,46,0,0,0,0,0,60,0,0,32,0,0,57,0,0,0,0,0,0,0,0,53,0,0,0,0,7,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,77,0,0,11,0,0,0,0,0,67,0,0,72,47,0,0,30,0,0,0,0,71,59,0,0,0,0,0,54,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,16
70,0,72,34,0,0,50,0,0,49,0,0,45,0,0,0,0,0,57,0,0,31,0,0,53,0,0,0,0,0,0,0,0,50,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,34,40,0,0,28,0,0,19,0,0,16,0,0,0,0,0,27,0,0,17,0,0,30,0,0,0,0,0,0,0,0,22,0,0,0,0,7,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,0,11,0,0,0,0,0,9,0,0,9,9,0,0,0,0,0,0,0,10,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,49,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,0,48,0,0,0,0,0,43,24,0,0,0,40,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,4,38,0,0,0,12,10,0
55,0,50,28,0,0,56,0,0,36,0,0,33,0,0,0,0,0,43,0,0,21,0,0,44,0,0,0,0,0,0,0,0,37,0,0,0,0,4,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,48,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,0,72,0,0,0,18,0,55,42,0,0,0,63,0,0,0,0,16,0,13,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,3,58,0,0,0,31,16,0
0,0,0,0,0,0,0,0,61,0,0,56,0,0,0,61,56,0,0,17,40,0,0,0,0,0,0,19,0,0,54,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,37,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,49,19,0,0,36,0,0,51,0,0,37,0,0,0,0,0,41,0,0,17,0,0,33,0,0,0,0,0,0,0,0,42,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67,0,0,9,0,0,0,0,0,71,0,0,64,44,0,0,28,0,0,0,0,65,53,0,0,0,0,0,49,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,17
0,0,0,0,0,0,0,0,56,0,0,70,0,0,0,70,66,0,0,20,46,0,0,0,0,0,0,28,0,0,63,26,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,44,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,45,16,0,0,33,0,0,37,0,0,46,0,0,0,0,0,36,0,0,16,0,0,30,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,72,0,0,9,0,0,0,0,0,64,0,0,74,44,0,0,28,0,0,0,0,68,55,0,0,0,0,0,52,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,16
0,47,0,0,9,0,0,0,0,0,44,0,0,44,50,0,0,21,0,0,0,0,47,33,0,0,0,0,0,42,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11
0,0,0,0,0,0,0,0,61,0,0,70,0,0,0,78,73,0,0,25,52,0,0,0,0,0,0,29,0,0,71,33,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,45,0,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,56,0,0,66,0,0,0,73,73,0,0,25,47,0,0,0,0,0,0,28,0,0,67,29,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,44,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0,28,0,0,28,21,0,0,33,0,0,0,0,30,21,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11
60,0,57,27,0,0,43,0,0,41,0,0,36,0,0,0,0,0,61,0,0,25,0,0,41,0,0,0,0,0,0,0,0,39,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,17,0,0,20,0,0,0,25,25,0,0,25,10,0,0,0,0,0,0,8,0,0,21,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,40,0,0,46,0,0,0,52,47,0,0,10,52,0,0,0,0,0,0,17,0,0,47,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,31,17,0,0,21,0,0,17,0,0,16,0,0,0,0,0,25,0,0,34,0,0,24,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,71,0,0,10,0,0,0,0,0,65,0,0,68,47,0,0,30,0,0,0,0,75,57,0,0,0,0,0,52,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18
0,59,0,0,7,0,0,0,0,0,53,0,0,55,33,0,0,21,0,0,0,0,57,61,0,0,0,0,0,38,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,16
57,0,53,30,0,0,44,0,0,33,0,0,30,0,0,0,0,0,41,0,0,24,0,0,59,0,0,0,0,0,0,0,0,35,0,0,0,0,6,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
