"Mike Trout_LAA","Evan Longoria_TB","Wil Myers_SD","Mallex Smith_TB","Yoenis Cespedes_NYM","Albert Pujols_LAA","Brad Miller_TB","Steven Souza_TB","Kevin Kiermaier_TB","Lorenzo Cain_KC","Colby Rasmus_TB","Corey Dickerson_TB","Jose Reyes_NYM","Eric Hosmer_KC","Kole Calhoun_LAA","Logan Morrison_TB","Matt Duffy_TB","Curtis Granderson_NYM","Cameron Maybin_LAA","Asdrubal Cabrera_NYM","Alex Gordon_KC","David Wright_NYM","Ryan Schimpf_SD","Luis Valbuena_LAA","Brandon Moss_KC","Jorge Soler_KC","Lucas Duda_NYM","Neil Walker_NYM","Jay Bruce_NYM","Yangervis Solarte_SD","Jefry Marte_LAA","Whit Merrifield_KC","Peter O'Brien_KC","Wilson Ramos_TB","Jake Bauers_TB","Tim Beckham_TB","Michael Conforto_NYM","Manuel Margot_SD","Salvador Perez_KC","Alex Dickerson_SD","Hunter Renfroe_SD","Yunel Escobar_LAA","Cheslor Cuthbert_KC","Alcides Escobar_KC","Andrelton Simmons_LAA","Ben Revere_LAA","Derek Norris_TB","Peter Bourjos_TB","Wilmer Flores_NYM","Cory Spangenberg_SD","Danny Espinosa_LAA","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Rickie Weeks_TB","Curt Casali_TB","Travis d'Arnaud_NYM","Travis Jankowski_SD","Ryan O'Hearn_KC","Jesus Sucre_TB","Daniel Robertson_TB","Brandon Nimmo_NYM","Terrance Gore_KC","Christian Colon_KC","Juan Lagares_NYM","Christian Bethancourt_SD","Austin Hedges_SD","Erick Aybar_SD","Martin Maldonado_LAA","Raul Mondesi_KC","Luis Sardinas_SD","Allen Cordoba_SD","Carlos Perez_LAA","Rene Rivera_NYM","Hector Sanchez_SD","Drew Butera_KC","Cliff Pennington_LAA","Luis Torrens_SD"
15.8777777777778,0,0,0,0,-0.522222222222222,0,0,0,0,0,0,0,0,-9.88888888888889,0,0,0,3.32222222222222,0,0,0,0,0,0,0,0,0,0,0,4.74444444444444,0,0,0,0,0,0,0,0,0,0,5.8,0,0,-10.7444444444444,-2.35555555555556,0,0,0,0,15.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.2,0,0,0,2.83333333333333,0,0,0,-4.43333333333333,0
0,42.6363636363636,0,-8.86363636363636,0,0,19.6363636363636,-3.45454545454545,24.7272727272727,0,0,-7.77272727272727,0,0,0,31.2727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4090909090909,0,0,0,0,0,0,0,0,0,0,7.90909090909091,10.5818181818182,0,0,0,0,0,0,15.7818181818182,0,0,0,0,-15.4636363636364,-3.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,106.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62222222222222,0,0,0,0,0,0,21.3777777777778,0,0,0,0,0,0,0,1.77777777777778,0,0,24.6444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.78888888888889,0,0,0,0,0,0,0,-5.92222222222222,-15.7444444444444,-5.47222222222222,0,0,-1.83333333333333,-6.77777777777778,0,0,0,0,0,5.52777777777778
0,0,0,57.6590909090909,0,0,2.95454545454545,-6.86363636363636,-8.63636363636364,0,0,9.06818181818182,0,0,0,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.11363636363636,0,0,0,0,0,0,0,0,0,0,13.2272727272727,-6.35454545454545,0,0,0,0,0,0,-6.65454545454545,0,0,0,0,-8.59090909090909,-4.77272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,238.083333333333,0,0,0,0,0,0,0,18.5151515151515,0,0,0,0,36.3863636363636,0,75.3939393939394,0,0,0,0,0,0,81.0909090909091,30.4545454545455,-23.1590909090909,0,0,0,0,0,0,0,-3.83333333333333,0,0,0,0,0,0,0,0,0,0,0,26.8939393939394,0,0,0,0,0,0,0,171.333333333333,0,0,0,0,0,0,0,-2.01515151515152,0,0,0,0,0,0,0,0,-5.85606060606061,0,0,0,0
0,0,0,0,0,42.4555555555556,0,0,0,0,0,0,0,0,-6.55555555555556,0,0,0,-10.0777777777778,0,0,0,0,0,0,0,0,0,0,0,12.3222222222222,0,0,0,0,0,0,0,0,0,0,34.6,0,0,11.0111111111111,11.6222222222222,0,0,0,0,-6.44444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.7333333333333,0,0,0,1.5,0,0,0,14.4111111111111,0
0,0,0,0,0,0,81.4242424242424,54.6060606060606,1.15151515151515,0,0,5.40909090909091,0,0,0,50.9090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65151515151515,0,0,0,0,0,0,0,0,0,0,2.51515151515152,-5.9,0,0,0,0,0,0,-4.8,0,0,0,0,-4.2,-2.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,69.969696969697,8.42424242424242,0,0,20.8636363636364,0,0,0,6.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742424242424242,0,0,0,0,0,0,0,0,0,0,-0.757575757575758,-11.8545454545455,0,0,0,0,0,0,-1.65454545454545,0,0,0,0,22.9090909090909,10.0909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,47.5151515151515,0,0,10.7272727272727,0,0,0,9.27272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3333333333333,0,0,0,0,0,0,0,0,0,0,4.24242424242424,2.48181818181818,0,0,0,0,0,0,10.3818181818182,0,0,0,0,21.6363636363636,8.63636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,22.9444444444444,0,0,0,-2.68055555555556,0,0,0,0,0,0,-4.90277777777778,0,0,0,-19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.43055555555556,0,0,0,-1.65277777777778,3.40277777777778,0,0,0,0,0,0,0,-14.1527777777778,-4.40277777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3194444444444,0,0,0,0,0,0,0,0
