"Place_lo","Place_hi","Payout"
"1","1","1500"
"2","2","800"
"3","3","500"
"4","4","300"
"5","6","250"
"7","8","200"
"9","10","150"
"11","15","125"
"16","20","100"
"21","25","80"
"26","35","60"
"36","45","50"
"46","60","40"
"61","80","30"
"81","110","25"
"111","170","20"
"171","275","15"
"276","450","12"
"451","725","10"
"726","1150","8"
"1151","2000","6"
