Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,770906972,moneyonmymind (1/4),0,224.35,SS Troy Tulowitzki C Manny Piña 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. OF Corey Dickerson P Jimmy Nelson P Jacob deGrom 2B José Ramírez OF Mallex Smith,,Jimmy Nelson,38.46%,39.35
2,770867086,Sly267 (1/2),0,217.9,C Russell Martin 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. OF Corey Dickerson P Jimmy Nelson SS Francisco Lindor P Jacob Faria 2B José Ramírez OF Mallex Smith,,Jacob deGrom,36.30%,31
3,770686755,Awesemo (49/150),0,215.35,1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. 2B Logan Forsythe OF Corey Dickerson C Willson Contreras P Jimmy Nelson P Jacob deGrom OF Mallex Smith SS Corey Seager,,Corey Seager,35.33%,4
4,770790064,crystalkali (23/130),0,212.55,1B Edwin Encarnación C Yadier Molina P J.A. Happ OF Seth Smith OF Dexter Fowler 3B Justin Turner OF Lonnie Chisenhall P Jimmy Nelson SS Francisco Lindor 2B José Ramírez,,Cody Bellinger,31.89%,7
5,770990197,DollarBillW (59/94),0,205.2,P J.A. Happ 1B Logan Morrison 3B Evan Longoria C Tucker Barnhart 2B Scooter Gennett OF Corey Dickerson P Jacob deGrom OF Adam Duvall OF Mallex Smith SS Trea Turner,,Robbie Ray,27.96%,10.8
6,770945557,dahladino (26/61),0,203.55,C Yadier Molina 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. OF Corey Dickerson P Jacob deGrom P Trevor Bauer 2B José Ramírez OF Mallex Smith SS Corey Seager,,Joc Pederson,26.36%,7
7,770959864,shortdog117 (7/12),0,202.9,OF Colby Rasmus 1B Logan Morrison 3B Evan Longoria C Welington Castillo OF Steven Souza Jr. OF Corey Dickerson P Jimmy Nelson P Trevor Bauer SS Francisco Lindor 2B José Ramírez,,Jason Kipnis,24.51%,5
8,770811756,ChipotleAddict (30/150),0,202.55,1B Edwin Encarnación 3B Evan Longoria OF Steven Souza Jr. C Derek Norris OF Corey Dickerson P Jacob deGrom P Trevor Bauer SS Francisco Lindor 2B José Ramírez OF Mallex Smith,,Trevor Bauer,21.44%,27.55
9,770988258,mpalmer (4/6),0,201.55,OF Grégor Blanco P J.A. Happ 1B Logan Morrison 3B Evan Longoria OF Steven Souza Jr. C Chris Herrmann SS Chris Owings OF Corey Dickerson P Jimmy Nelson 2B Brandon Drury,,Francisco Lindor,19.29%,0
10,770832133,janderson84,0,200.9,C Yadier Molina 3B Justin Turner OF Billy Hamilton 1B Paul Goldschmidt OF Corey Dickerson P Jimmy Nelson P Jacob Faria 2B José Ramírez OF Mallex Smith SS Corey Seager,,Yasiel Puig,18.72%,0
