Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Julio Jones,WR,ATL,@ TB,11th,9600,8.1,40.8,24.8,19.02,19.02,100,47,2,28.1,2.9
Antonio Brown,WR,PIT,@ BAL,22nd,8900,7.5,42.2,26.1,19.05,19.05,100,45,2.1,21.5,2.4
Odell Beckham Jr.,WR,NYG,vs PHI,15th,8800,3.7,37.9,22.9,15.13,15.13,100,37,1.7,20.6,2.3
Mike Evans,WR,TB,vs ATL,21st,8500,8.4,37.5,15.1,18.11,18.11,100,53,2.1,41,4.8
Ezekiel Elliott,RB,DAL,@ CLE,23rd,7900,5.2,31.2,,20.83,20.83,100,0,2.6,22.7,2.9
Aaron Rodgers,QB,GB,vs IND,25th,7800,13.9,39.7,20.1,22.52,22.52,100,63,2.9,27.18,3.5
Jordy Nelson,WR,GB,vs IND,25th,7800,5.6,38.9,,16.72,16.72,100,30,2.1,22.4,2.9
Amari Cooper,WR,OAK,vs DEN,29th,7700,1.8,31.5,14.3,11.67,11.67,100,50,1.5,11.6,1.5
Le'Veon Bell,RB,PIT,@ BAL,22nd,7700,6.4,37.6,20,16.76,16.76,100,56,2.2,13,1.7
DeMarco Murray,RB,TEN,@ SD,13th,7600,7,34.9,12.6,16.34,16.34,100,59,2.2,21,2.8
T.Y. Hilton,WR,IND,@ GB,15th,7600,5.8,35.5,13.6,15.67,15.67,100,47,2.1,14.2,1.9
Brandin Cooks,WR,NO,@ SF,12th,7500,6.2,31.4,16.6,14.6,14.6,100,54,1.9,11.6,1.5
Dez Bryant,WR,DAL,@ CLE,23rd,7400,6.3,35.4,10.2,15.98,15.98,100,34,2.2,2.9,0.4
Brandon Marshall,WR,NYJ,@ MIA,5th,7300,2.7,31.8,23.2,12.42,12.42,100,27,1.7,10.5,1.4
Drew Brees,QB,NO,@ SF,12th,7200,11.9,36.5,23.1,20.14,20.14,100,68,2.8,27.72,3.9
Jarvis Landry,WR,MIA,vs NYJ,2nd,7100,5.8,28.3,17.8,13.28,13.28,100,56,1.9,6.3,0.9
Matt Ryan,QB,ATL,@ TB,11th,7100,14.1,33.6,16.9,20.62,20.62,100,74,2.9,31.76,4.5
Cam Newton,QB,CAR,@ LA,15th,7000,10.1,39.5,25.9,19.87,19.87,100,56,2.8,14.6,2.1
Allen Robinson,WR,JAC,@ KC,16th,6900,2.2,31,20.1,11.83,11.83,100,23,1.7,20.6,3
Kelvin Benjamin,WR,CAR,@ LA,15th,6800,5.8,30.7,,14.07,14.07,100,45,2.1,12.6,1.9
Christine Michael,RB,SEA,vs BUF,20th,6700,9.5,20.3,4,13.06,13.06,100,77,1.9,6.1,0.9
Andrew Luck,QB,IND,@ GB,15th,6700,10.3,36.7,21.4,19.11,19.11,100,63,2.9,14.74,2.2
Devonta Freeman,RB,ATL,@ TB,11th,6700,2.8,38.8,22.1,14.76,14.76,100,28,2.2,12.5,1.9
Ben Roethlisberger,QB,PIT,@ BAL,22nd,6600,7.9,38.5,22.3,18.12,18.12,100,56,2.7,19.86,3
Randall Cobb,WR,GB,vs IND,25th,6600,0,16.6,12.9,0,0,100,48,0,9.4,1.4
Philip Rivers,QB,SD,vs TEN,9th,6500,10,35.8,20.2,18.65,18.65,100,56,2.9,18.7,2.9
Matt Forte,RB,NYJ,@ MIA,5th,6500,6.1,32.2,16.8,14.81,14.81,100,49,2.3,16.7,2.6
Devontae Booker,RB,DEN,@ OAK,7th,6400,3.9,23.2,,15.49,15.49,100,0,2.4,4,0.6
Russell Wilson,QB,SEA,vs BUF,20th,6400,9.2,35.3,21.9,17.95,17.95,100,38,2.8,26.28,4.1
Michael Crabtree,WR,OAK,vs DEN,29th,6400,6,28.5,15,13.51,13.51,100,59,2.1,4.7,0.7
Emmanuel Sanders,WR,DEN,@ OAK,7th,6300,2.5,31.6,15.9,12.18,12.18,100,36,1.9,9.7,1.5
Derek Carr,QB,OAK,vs DEN,29th,6300,6.5,30.2,19.1,14.39,14.39,100,64,2.3,7.66,1.2
Melvin Gordon,RB,SD,vs TEN,9th,6300,11,22.1,8,14.71,14.71,100,82,2.3,39.1,6.2
Greg Olsen,TE,CAR,@ LA,15th,6200,6.3,31.2,14.8,14.6,14.6,100,52,2.4,16.2,2.6
LeSean McCoy,RB,BUF,@ SEA,14th,6200,1.3,21.1,15.8,7.91,7.91,100,67,1.3,16,2.6
Doug Baldwin,WR,SEA,vs BUF,20th,6200,2.6,30.5,17.4,11.9,11.9,100,35,1.9,14.9,2.4
Terrelle Pryor,WR,CLE,vs DAL,24th,6100,3.2,19,2.6,12.66,12.66,100,0,2.1,15.7,2.6
Dak Prescott,QB,DAL,@ CLE,23rd,6100,3.5,20.8,,13.89,13.89,100,0,2.3,23.88,3.9
Jameis Winston,QB,TB,vs ATL,21st,6100,15.1,27.4,18.6,19.19,19.19,100,79,3.1,22.84,3.7
Demaryius Thomas,WR,DEN,@ OAK,7th,6000,3.5,32.3,17.6,13.06,13.06,100,37,2.2,10.6,1.8
Jay Ajayi,RB,MIA,vs NYJ,2nd,6000,8.7,19.2,4.7,12.16,12.16,100,79,2,25,4.2
Marcus Mariota,QB,TEN,@ SD,13th,5900,6,39.3,19.7,17.12,17.12,100,41,2.9,31.92,5.4
Davante Adams,WR,GB,vs IND,25th,5900,6.5,26.2,8.2,13.05,13.05,100,60,2.2,14.1,2.4
Stefon Diggs,WR,MIN,vs DET,28th,5900,3.5,27.2,11.9,11.36,11.36,100,52,1.9,22.2,3.8
Jeremy Maclin,WR,KC,vs JAC,26th,5900,2.1,33.6,16.9,12.57,12.57,100,8,2.1,0,
Blake Bortles,QB,JAC,@ KC,16th,5800,6.5,31,22.3,14.65,14.65,100,60,2.5,22.48,3.9
Willie Snead,WR,NO,@ SF,12th,5800,3.5,24.2,12.7,10.38,10.38,100,55,1.8,6.6,1.1
Todd Gurley,RB,LA,vs CAR,19th,5800,4.6,33.7,17.3,14.32,14.32,100,29,2.5,11.4,2
Ty Montgomery,WR,GB,vs IND,25th,5800,7.4,22.4,7,12.35,12.35,100,29,2.1,12.1,2.1
Donte Moncrief,WR,IND,@ GB,15th,5800,3.1,29.2,11.2,11.78,11.78,100,24,2,14.5,2.5
Ryan Fitzpatrick,QB,NYJ,@ MIA,5th,5700,8.5,32.5,19.1,16.49,16.49,100,36,2.9,12.32,2.2
Jordan Matthews,WR,PHI,@ NYG,1st,5700,0.8,29.9,15.2,10.51,10.51,100,31,1.8,14.8,2.6
Eli Manning,QB,NYG,vs PHI,15th,5700,6.6,32.7,20.2,15.33,15.33,100,46,2.7,23.88,4.2
Jimmy Graham,TE,SEA,vs BUF,20th,5700,3.1,29.5,11.2,11.87,11.87,100,28,2.1,33.3,5.8
Matthew Stafford,QB,DET,@ MIN,6th,5600,7.5,31.8,19.7,15.61,15.61,100,61,2.8,15.76,2.8
Marvin Jones,WR,DET,@ MIN,6th,5600,4.8,21.9,10.9,10.52,10.52,100,65,1.9,1.5,0.3
Ryan Tannehill,QB,MIA,vs NYJ,2nd,5600,10.4,29,18.2,16.65,16.65,100,61,3,9.66,1.7
Mike Wallace,WR,BAL,vs PIT,8th,5600,1.9,22.6,6.6,8.77,8.77,100,56,1.6,25.4,4.5
Colin Kaepernick,QB,SF,vs NO,3rd,5600,9.6,33.9,13.6,17.68,17.68,100,53,3.2,27.22,4.9
Travis Benjamin,WR,SD,vs TEN,9th,5600,0.9,26.4,13.1,9.4,9.4,100,38,1.7,1.5,0.3
Michael Thomas,WR,NO,@ SF,12th,5500,2.5,14.9,,9.92,9.92,100,0,1.8,24.3,4.4
Joe Flacco,QB,BAL,vs PIT,8th,5500,9.4,31.9,19.1,16.87,16.87,100,51,3.1,15.84,2.9
Steve Smith Sr.,WR,BAL,vs PIT,8th,5400,0,28.5,20,6.88,6.88,100,19,1.3,10.7,2
Travis Kelce,TE,KC,vs JAC,26th,5300,6.1,24.7,12.2,12.29,12.29,100,53,2.3,10.8,2
Cole Beasley,WR,DAL,@ CLE,23rd,5300,1.5,23.4,8.5,8.75,8.75,100,49,1.7,17.6,3.3
Jonathan Stewart,RB,CAR,@ LA,15th,5200,4.2,23.4,13.1,10.6,10.6,100,53,2,4.2,0.8
Nick Foles,QB,KC,vs JAC,26th,5200,8.2,31,9.8,15.76,15.76,100,55,3,11.18,2.2
Trevor Siemian,QB,DEN,@ OAK,7th,5100,4.1,24.5,-0.1,16.32,16.32,100,0,3.2,17.32,3.4
Quincy Enunwa,WR,NYJ,@ MIA,5th,5100,6,15.3,4.9,9.12,9.12,100,76,1.8,3.5,0.7
Carson Wentz,QB,PHI,@ NYG,1st,5100,3.7,22.1,,14.73,14.73,100,0,2.9,15.16,3
Mike Glennon,QB,TB,vs ATL,21st,5000,0,9.4,,0,0,100,0,0,9,1.8
Case Keenum,QB,LA,vs CAR,19th,5000,8.8,22.9,9.3,13.51,13.51,100,68,2.7,14.84,3
Cody Kessler,QB,CLE,vs DAL,24th,5000,1.9,11.6,,7.71,7.71,100,0,1.5,13.22,2.6
Sam Bradford,QB,MIN,vs DET,28th,5000,9.8,26.3,16.2,15.31,15.31,100,62,3.1,16.42,3.3
Derrick Henry,RB,TEN,@ SD,13th,5000,1.1,6.9,,4.57,4.57,100,0,0.9,,
Tyrell Williams,WR,SD,vs TEN,9th,5000,2.4,14.6,8.5,9.72,9.72,100,0,1.9,18.5,3.7
Tyrod Taylor,QB,BUF,@ SEA,14th,5000,5.8,30.1,19.9,13.91,13.91,100,55,2.8,26.86,5.4
Allen Hurns,WR,JAC,@ KC,16th,4900,0,28.3,16.1,8.94,8.94,100,22,1.8,0,
