Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Antonio Brown,WR,PIT,vs NYJ,32nd,9800,12.6,47.4,26.1,24.17,24.17,100,51,2.5,22.8,2.3
Julio Jones,WR,ATL,@ DEN,1st,9600,7.3,40,24.8,18.17,18.17,100,54,1.9,4.9,0.5
A.J. Green,WR,CIN,@ DAL,22nd,8900,11.2,43.3,17.9,21.89,21.89,100,56,2.5,9,1
Odell Beckham Jr.,WR,NYG,@ GB,30th,8500,7.3,41.5,22.9,18.74,18.74,100,17,2.2,16.6,2
Jordy Nelson,WR,GB,vs NYG,17th,7900,8.2,41.5,,19.28,19.28,100,48,2.4,13.8,1.7
David Johnson,RB,ARI,@ SF,25th,7900,9.5,41,13.7,19.96,19.96,100,49,2.5,36.5,4.6
Alshon Jeffery,WR,CHI,@ IND,6th,7800,7.5,33.3,19,16.07,16.07,100,33,2.1,12.7,1.6
DeAndre Hopkins,WR,HOU,@ MIN,3rd,7700,5.4,36.6,21.8,15.75,15.75,100,24,2,16.6,2.2
Aaron Rodgers,QB,GB,vs NYG,11th,7700,12.1,37.9,20.1,20.74,20.74,100,63,2.7,17.86,2.3
Marvin Jones,WR,DET,vs PHI,4th,7600,9.8,26.9,10.9,15.47,15.47,100,74,2,13.7,1.8
Le'Veon Bell,RB,PIT,vs NYJ,3rd,7500,9.7,40.9,20,20.11,20.11,100,60,2.7,24.4,3.3
Mike Evans,WR,TB,@ CAR,7th,7500,7.4,36.5,15.1,17.09,17.09,100,53,2.3,,
Tom Brady,QB,NE,@ CLE,29th,7500,14.2,41.2,23.4,23.22,23.22,100,0,3.1,32.64,4.4
T.Y. Hilton,WR,IND,vs CHI,11th,7400,7.8,37.5,13.6,17.67,17.67,100,46,2.4,36.1,4.9
Andrew Luck,QB,IND,vs CHI,5th,7300,10.7,37.1,21.4,19.51,19.51,100,60,2.7,25.18,3.4
Kelvin Benjamin,WR,CAR,vs TB,31st,7300,8.5,33.4,,16.82,16.82,100,50,2.3,,
Larry Fitzgerald,WR,ARI,@ SF,18th,7200,5.1,34.5,18.2,14.87,14.87,100,46,2.1,26.1,3.6
Amari Cooper,WR,OAK,vs SD,21st,7200,5.6,35.4,14.3,15.55,15.55,100,30,2.2,30.8,4.3
Ben Roethlisberger,QB,PIT,vs NYJ,31st,7200,10.1,40.7,22.3,20.3,20.3,100,56,2.8,33.2,4.6
DeMarco Murray,RB,TEN,@ MIA,9th,7200,7.6,35.5,12.6,16.86,16.86,100,63,2.3,21.7,3
Brandon Marshall,WR,NYJ,@ PIT,15th,7100,7.1,36.2,23.2,16.78,16.78,100,22,2.4,28.4,4
Matt Ryan,QB,ATL,@ DEN,2nd,7100,8,27.5,16.9,14.46,14.46,100,78,2,14.98,2.1
Jarvis Landry,WR,MIA,vs TEN,14th,7000,9.3,31.8,17.8,16.82,16.82,100,63,2.4,6,0.9
Melvin Gordon,RB,SD,@ OAK,30th,7000,13.5,24.6,8,17.17,17.17,100,82,2.5,14.7,2.1
Philip Rivers,QB,SD,@ OAK,19th,6900,10.4,36.2,20.2,18.96,18.96,100,56,2.7,31.36,4.5
C.J. Anderson,RB,DEN,vs ATL,10th,6900,6.4,37.3,10,16.69,16.69,100,37,2.4,9.2,1.3
Demaryius Thomas,WR,DEN,vs ATL,8th,6900,6,34.8,17.6,15.6,15.6,100,45,2.3,15.9,2.3
Michael Crabtree,WR,OAK,vs SD,21st,6900,8.8,31.3,15,16.33,16.33,100,65,2.4,13.7,2
Jordan Matthews,WR,PHI,@ DET,29th,6800,5.9,35,15.2,15.64,15.64,100,42,2.3,10.5,1.5
Emmanuel Sanders,WR,DEN,vs ATL,8th,6800,5.8,34.9,15.9,15.47,15.47,100,48,2.3,15,2.2
Ezekiel Elliott,RB,DAL,vs CIN,1st,6800,4,24.2,,16.15,16.15,100,0,2.4,35.1,5.2
Derek Carr,QB,OAK,vs SD,20th,6800,12.2,35.9,19.1,20.08,20.08,100,64,3,25.98,3.8
Julian Edelman,WR,NE,@ CLE,23rd,6700,7.4,30.5,19.6,15.08,15.08,100,26,2.3,8.5,1.3
Matthew Stafford,QB,DET,vs PHI,4th,6600,8.8,33.1,19.7,16.92,16.92,100,63,2.6,19.8,3
Jordan Reed,TE,WAS,@ BAL,19th,6600,3.5,33,18,13.35,13.35,100,38,2,13.3,2
LeSean McCoy,RB,BUF,@ LA,18th,6600,9.1,28.9,15.8,15.67,15.67,100,68,2.4,20.8,3.2
