"Player","Pos","Team","Opp","Def.v.Pos","Salary","Floor","Ceiling","X2015.Avg","FC.Proj","My.Proj","Exposure","Consistency","Value","Actual.Score","Actual.Val"
"Julio Jones","WR","ATL","vs GB","32nd",9600,10.3,43,24.8,21.17,21.17,100,52,2.2,5.9,0.6
"A.J. Green","WR","CIN","vs WAS","25th",8800,9.8,41.9,17.9,20.53,20.53,100,52,2.3,24.1,2.7
"Mike Evans","WR","TB","vs OAK","21st",8100,12.4,41.5,15.1,22.09,22.09,100,57,2.7,11,1.4
"T.Y. Hilton","WR","IND","vs KC","20th",7900,8,37.7,13.6,17.93,17.93,100,53,2.3,3,0.4
"Brandon Marshall","WR","NYJ","@ CLE","7th",7800,7.7,36.8,23.2,17.43,17.43,100,29,2.2,10.8,1.4
"David Johnson","RB","ARI","@ CAR","3rd",7700,7.9,39.4,13.7,18.44,18.44,100,60,2.4,17.8,2.3
"Tom Brady","QB","NE","@ BUF","19th",7600,11.7,38.7,23.4,20.71,20.71,100,67,2.7,33.1,4.4
"Amari Cooper","WR","OAK","@ TB","15th",7600,8.3,38,14.3,18.22,18.22,100,42,2.4,38.3,5
"Aaron Rodgers","QB","GB","@ ATL","30th",7500,10.8,36.6,20.1,19.36,19.36,100,60,2.6,33.84,4.5
"Larry Fitzgerald","WR","ARI","@ CAR","22nd",7500,5.8,35.2,18.2,15.62,15.62,100,45,2.1,17.4,2.3
"Allen Robinson","WR","JAC","@ TEN","18th",7500,6.1,34.9,20.1,15.69,15.69,100,22,2.1,13,1.7
"DeAndre Hopkins","WR","HOU","vs DET","24th",7400,5.9,37.1,21.8,16.33,16.33,100,24,2.2,8.4,1.1
"Cam Newton","QB","CAR","vs ARI","5th",7400,8.6,38,25.9,18.35,18.35,100,59,2.5,12.78,1.7
"DeMarco Murray","RB","TEN","vs JAC","10th",7400,8.8,36.7,12.6,18.07,18.07,100,59,2.4,22.8,3.1
"Christine Michael","RB","SEA","@ NO","29th",7300,11.7,22.5,4,15.29,15.29,100,78,2.1,11.2,1.5
"Brandin Cooks","WR","NO","vs SEA","16th",7300,5.5,30.7,16.6,13.92,13.92,100,55,1.9,14.4,2
"Ezekiel Elliott","RB","DAL","vs PHI","1st",7200,4.3,26,NA,17.3,17.3,100,0,2.4,18.8,2.6
"Kelvin Benjamin","WR","CAR","vs ARI","10th",7200,6.4,31.3,NA,14.69,14.69,100,48,2,9.3,1.3
"Jordy Nelson","WR","GB","@ ATL","28th",7200,6.4,39.7,NA,17.46,17.46,100,27,2.4,19.4,2.7
"Russell Wilson","QB","SEA","@ NO","12th",7200,11,37.1,21.9,19.7,19.7,100,40,2.7,10.22,1.4
"Dez Bryant","WR","DAL","vs PHI","4th",7100,6,35.1,10.2,15.68,15.68,100,17,2.2,24.3,3.4
"Matt Ryan","QB","ATL","vs GB","32nd",7000,13.9,33.4,16.9,20.41,20.41,100,74,2.9,24.42,3.5
"Rob Gronkowski","TE","NE","@ BUF","31st",7000,6.5,33.2,18,15.42,15.42,100,39,2.2,24.9,3.6
"Drew Brees","QB","NO","vs SEA","13th",6900,9.8,34.4,23.1,17.99,17.99,100,69,2.6,20.7,3
"Doug Baldwin","WR","SEA","@ NO","8th",6900,7.2,35.1,17.4,16.5,16.5,100,39,2.4,9.1,1.3
"Andrew Luck","QB","IND","vs KC","22nd",6800,9.5,35.9,21.4,18.32,18.32,100,63,2.7,20.4,3
"Spencer Ware","RB","KC","@ IND","24th",6800,9.1,30.1,10.9,16.12,16.12,100,63,2.4,6.7,1
"Michael Crabtree","WR","OAK","@ TB","15th",6700,8.2,30.7,15,15.68,15.68,100,58,2.3,21.8,3.3
"Marvin Jones","WR","DET","@ HOU","30th",6600,8.6,25.8,10.9,14.35,14.35,100,68,2.2,6.3,1
"Greg Olsen","TE","CAR","vs ARI","25th",6500,5.3,30.2,14.8,13.58,13.58,100,59,2.1,2.1,0.3
"Emmanuel Sanders","WR","DEN","vs SD","11th",6500,7.2,36.3,15.9,16.92,16.92,100,39,2.6,10.8,1.7
"Devonta Freeman","RB","ATL","vs GB","12th",6500,3.3,39.3,22.1,15.31,15.31,100,24,2.4,21.8,3.4
"Matthew Stafford","QB","DET","@ HOU","6th",6400,9.6,33.9,19.7,17.71,17.71,100,63,2.8,13.6,2.1
"Matt Forte","RB","NYJ","@ CLE","30th",6400,6.1,32.2,16.8,14.8,14.8,100,46,2.3,23.8,3.7
"Lamar Miller","RB","HOU","vs DET","18th",6300,5.4,31.5,15.1,14.13,14.13,100,44,2.2,14.3,2.3
"Julian Edelman","WR","NE","@ BUF","3rd",6300,7.4,30.5,19.6,15.07,15.07,100,25,2.4,13.7,2.2
"Kirk Cousins","QB","WAS","@ CIN","11th",6300,6.6,35.1,20.5,16.08,16.08,100,50,2.6,28.22,4.5
"Demaryius Thomas","WR","DEN","vs SD","11th",6200,6,34.8,17.6,15.63,15.63,100,39,2.5,12.9,2.1
"Ryan Fitzpatrick","QB","NYJ","@ CLE","26th",6200,8.2,32.2,19.1,16.25,16.25,100,34,2.6,14.42,2.3
"Andy Dalton","QB","CIN","vs WAS","28th",6200,9.2,34.1,20.4,17.53,17.53,100,58,2.8,21.46,3.5
"Blake Bortles","QB","JAC","@ TEN","18th",6100,8.4,33,22.3,16.56,16.56,100,56,2.7,32.68,5.4
"Terrelle Pryor","WR","CLE","vs NYJ","6th",6100,3.3,19.8,2.6,13.18,13.18,100,0,2.2,21.1,3.5
"Philip Rivers","QB","SD","@ DEN","2nd",6100,5.2,31,20.2,13.76,13.76,100,57,2.3,15.68,2.6
"Jimmy Graham","TE","SEA","@ NO","9th",6100,4.6,31,11.2,13.36,13.36,100,33,2.2,6.4,1
"Jeremy Maclin","WR","KC","@ IND","12th",6000,3.3,34.8,16.9,13.76,13.76,100,5,2.3,13.3,2.2
"Will Fuller","WR","HOU","vs DET","24th",6000,3.4,20.5,NA,13.64,13.64,100,0,2.3,3.3,0.6
"Carson Palmer","QB","ARI","@ CAR","23rd",6000,10.7,30.2,21.8,17.16,17.16,100,60,2.9,27.52,4.6
"Marcus Mariota","QB","TEN","vs JAC","8th",5900,6.9,40.2,19.7,18.01,18.01,100,40,3.1,19.9,3.4
"Alshon Jeffery","WR","CHI","vs MIN","1st",5900,4.4,30.2,19,12.96,12.96,100,31,2.2,NA,NA
"Jordan Reed","TE","WAS","@ CIN","17th",5900,0,27,18,7.43,7.43,100,36,1.3,24.9,4.2
"Derek Carr","QB","OAK","@ TB","7th",5900,10.6,34.3,19.1,18.46,18.46,100,60,3.1,39.82,6.7
"Dak Prescott","QB","DAL","vs PHI","1st",5800,4,24,NA,16.03,16.03,100,0,2.8,28.28,4.9
"Alex Smith","QB","KC","@ IND","10th",5800,12.8,27.2,17.6,17.63,17.63,100,70,3,9.98,1.7
"Jacquizz Rodgers","RB","TB","vs OAK","20th",5800,10.9,20.5,1.2,14.05,14.05,100,69,2.4,14.8,2.6
"Willie Snead","WR","NO","vs SEA","16th",5800,5,25.7,12.7,11.89,11.89,100,58,2.1,11.6,2
"Jordan Matthews","WR","PHI","@ DAL","19th",5700,3.6,32.7,15.2,13.33,13.33,100,23,2.3,23.5,4.1
"Melvin Gordon","RB","SD","@ DEN","26th",5700,9.4,20.5,8,13.13,13.13,100,82,2.3,22.5,3.9
