"Player","Pos","Team","Opp","Def.v.Pos","Salary","Floor","Ceiling","X2015.Avg","FC.Proj","My.Proj","Exposure","Consistency","Value","Actual.Score","Actual.Val"
"Le'Veon Bell","RB","PIT","vs BAL","13th",9400,14.4,45.6,20,24.82,24.82,100,62,2.6,31.7,3.4
"David Johnson","RB","ARI","@ SEA","6th",9200,11.5,43,13.7,22.04,22.04,100,62,2.4,34.6,3.8
"LeSean McCoy","RB","BUF","vs MIA","26th",9000,14.1,33.9,15.8,20.72,20.72,100,70,2.3,28.5,3.2
"Odell Beckham","WR","NYG","@ PHI","32nd",8600,9,43.2,22.9,20.39,20.39,100,41,2.4,29,3.4
"Mike Evans","WR","TB","@ NO","28th",8500,11.7,40.8,15.1,21.39,21.39,100,51,2.5,22.7,2.7
"Antonio Brown","WR","PIT","vs BAL","16th",8200,9,43.8,26.1,20.59,20.59,100,45,2.5,25.6,3.1
"Julio Jones","WR","ATL","@ CAR","3rd",8100,10.5,43.2,24.8,21.39,21.39,100,47,2.6,10,1.2
"Ezekiel Elliott","RB","DAL","vs DET","12th",7900,5,30.2,NA,20.16,20.16,100,0,2.6,NA,NA
"T.Y. Hilton","WR","IND","@ OAK","30th",7800,7.1,36.8,13.6,17.04,17.04,100,46,2.2,19.5,2.5
"Tom Brady","QB","NE","vs NYJ","27th",7700,14.1,41.1,23.4,23.13,23.13,100,61,3,20.56,2.7
"Drew Brees","QB","NO","vs TB","2nd",7400,15.5,40.1,23.1,23.68,23.68,100,66,3.2,16.06,2.2
"Matt Ryan","QB","ATL","@ CAR","3rd",7200,16.5,36,16.9,22.96,22.96,100,72,3.2,19.98,2.8
"Devonta Freeman","RB","ATL","@ CAR","2nd",7100,2.9,38.9,22.1,14.87,14.87,100,31,2.1,16.8,2.4
"DeMarco Murray","RB","TEN","@ JAC","23rd",7000,9,36.9,12.6,18.29,18.29,100,57,2.6,8,1.1
"Jordy Nelson","WR","GB","vs MIN","15th",7000,5.5,38.8,NA,16.57,16.57,100,42,2.4,39.4,5.6
"Andrew Luck","QB","IND","@ OAK","25th",7000,12,38.4,21.4,20.83,20.83,100,61,3,26.72,3.8
"Julian Edelman","WR","NE","vs NYJ","20th",6900,9.9,33,19.6,17.63,17.63,100,43,2.6,13.9,2
"Philip Rivers","QB","SD","@ CLE","13th",6900,9.4,35.2,20.2,18.01,18.01,100,54,2.6,22.88,3.3
"Derek Carr","QB","OAK","vs IND","23rd",6800,10.7,34.4,19.1,18.59,18.59,100,59,2.7,21.92,3.2
