Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Antonio Brown,WR,PIT,vs NE,4th,9300,5.9,40.7,26.1,17.49,17.49,100,45,1.9,21.9,2.4
Julio Jones,WR,ATL,vs SD,17th,9200,11.2,44,24.8,22.15,22.15,100,50,2.4,29.4,3.2
Odell Beckham Jr.,WR,NYG,@ LA,21st,8900,8.3,42.5,22.9,19.71,19.71,100,41,2.2,9.9,1.1
A.J. Green,WR,CIN,vs CLE,11th,8600,10.5,42.6,17.9,21.22,21.22,100,47,2.5,33.9,3.9
Le'Veon Bell,RB,PIT,vs NE,13th,8000,8.4,39.6,20,18.83,18.83,100,55,2.4,24.9,3.1
Amari Cooper,WR,OAK,@ JAC,22nd,7900,8.8,38.5,14.3,18.69,18.69,100,48,2.4,6.9,0.9
Tom Brady,QB,NE,@ PIT,29th,7900,12.7,39.7,23.4,21.69,21.69,100,71,2.7,18.18,2.3
Jordy Nelson,WR,GB,vs CHI,8th,7800,6.4,39.7,,17.5,17.5,100,38,2.2,1.9,0.2
Mike Evans,WR,TB,@ SF,30th,7800,9.8,38.9,15.1,19.51,19.51,100,53,2.5,29.6,3.8
T.Y. Hilton,WR,IND,@ TEN,12th,7700,6.4,36.1,13.6,16.34,16.34,100,49,2.1,29.3,3.8
Brandon Marshall,WR,NYJ,vs BAL,26th,7600,6.3,35.4,23.2,16.02,16.02,100,34,2.1,6.9,0.9
LeSean McCoy,RB,BUF,@ MIA,11th,7600,6.6,26.4,15.8,13.2,13.2,100,72,1.7,1.1,0.1
Brandin Cooks,WR,NO,@ KC,25th,7500,7,32.2,16.6,15.38,15.38,100,55,2.1,18.8,2.5
Drew Brees,QB,NO,@ KC,17th,7400,11.1,35.7,23.1,19.31,19.31,100,69,2.6,28.68,3.9
David Johnson,RB,ARI,vs SEA,7th,7400,6.4,37.9,13.7,16.89,16.89,100,60,2.3,28.1,3.8
Allen Robinson,WR,JAC,vs OAK,15th,7300,7.5,36.3,20.1,17.07,17.07,100,32,2.3,2.9,0.4
DeMarco Murray,RB,TEN,vs IND,28th,7200,10.4,38.4,12.6,19.75,19.75,100,59,2.7,24.7,3.4
Rob Gronkowski,TE,NE,@ PIT,18th,7200,7.4,34.1,18,16.31,16.31,100,33,2.3,19.3,2.7
Matt Ryan,QB,ATL,vs SD,19th,7200,16.7,36.2,16.9,23.22,23.22,100,76,3.2,14.72,2
Aaron Rodgers,QB,GB,vs CHI,7th,7100,11.2,37,20.1,19.8,19.8,100,58,2.8,27.74,3.9
Larry Fitzgerald,WR,ARI,vs SEA,3rd,7100,4.6,34,18.2,14.44,14.44,100,46,2,16,2.3
Andrew Luck,QB,IND,@ TEN,14th,7000,10.9,37.3,21.4,19.71,19.71,100,61,2.8,30.82,4.4
Marvin Jones,WR,DET,vs WAS,16th,7000,9.8,26.9,10.9,15.5,15.5,100,70,2.2,13.4,1.9
Alshon Jeffery,WR,CHI,@ GB,32nd,6900,6.6,32.4,19,15.22,15.22,100,36,2.2,6.3,0.9
DeAndre Hopkins,WR,HOU,@ DEN,1st,6900,3.2,34.4,21.8,13.55,13.55,100,29,2,,
Jarvis Landry,WR,MIA,vs BUF,7th,6800,8.7,31.2,17.8,16.16,16.16,100,56,2.4,14.8,2.2
Christine Michael,RB,SEA,@ ARI,15th,6700,9.7,20.5,4,13.33,13.33,100,80,2,8.5,1.3
Russell Wilson,QB,SEA,@ ARI,8th,6700,7.7,33.8,21.9,16.36,16.36,100,44,2.4,9.7,1.4
Jeremy Maclin,WR,KC,vs NO,13th,6700,6.4,37.9,16.9,16.94,16.94,100,9,2.5,8,1.2
Emmanuel Sanders,WR,DEN,vs HOU,6th,6600,5.9,35,15.9,15.55,15.55,100,41,2.4,,
Michael Crabtree,WR,OAK,@ JAC,22nd,6600,6.6,29.1,15,14.08,14.08,100,56,2.1,23.6,3.6
Julian Edelman,WR,NE,@ PIT,29th,6500,7.8,30.9,19.6,15.53,15.53,100,21,2.4,14,2.2
Philip Rivers,QB,SD,@ ATL,27th,6500,8.6,34.4,20.2,17.23,17.23,100,57,2.7,19.64,3
Doug Baldwin,WR,SEA,@ ARI,14th,6400,4.9,32.8,17.4,14.21,14.21,100,41,2.2,12.9,2
Matthew Stafford,QB,DET,vs WAS,16th,6400,10.9,35.2,19.7,18.98,18.98,100,64,3,17.84,2.8
Melvin Gordon,RB,SD,@ ATL,14th,6400,12,23.2,8,15.75,15.75,100,80,2.5,36.1,5.6
Demaryius Thomas,WR,DEN,vs HOU,6th,6300,5.6,34.4,17.6,15.19,15.19,100,38,2.4,,
Todd Gurley,RB,LA,vs NYG,17th,6300,7.1,36.2,17.3,16.84,16.84,100,27,2.7,15.2,2.4
Derek Carr,QB,OAK,@ JAC,15th,6300,8.9,32.6,19.1,16.78,16.78,100,62,2.7,12.4,2
