Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Adam Thielen,WR,MIN,@ JAC,2nd,4700,3.6,18.3,3.9,8.52,8.52,100,58,1.8,17.1,3.6
Sterling Shepard,WR,NYG,vs DAL,25th,4600,3.1,18.6,,12.41,12.41,100,0,2.7,6.9,1.5
Mike Gillislee,RB,BUF,vs PIT,5th,4600,0,17.6,10.5,4.8,4.8,100,23,1,3.4,0.7
Anquan Boldin,WR,DET,vs CHI,1st,4500,3.6,25.2,12.6,10.83,10.83,100,34,2.4,13.9,3.1
Will Fuller,WR,HOU,@ IND,24th,4500,2,12,,8,8,100,0,1.8,4.2,0.9
Tim Hightower,RB,NO,@ TB,16th,4500,0,33.3,14.9,10.53,10.53,100,0,2.3,4.9,1.1
Delanie Walker,TE,TEN,vs DEN,2nd,4400,3.6,25.5,16.5,10.88,10.88,100,48,2.5,5.8,1.3
Corey Coleman,WR,CLE,vs CIN,7th,4400,2.8,16.9,,11.26,11.26,100,0,2.6,5.7,1.3
Darren Sproles,RB,PHI,vs WAS,12th,4400,3.3,23.6,10.1,10.05,10.05,100,39,2.3,12,2.7
Alfred Blue,RB,HOU,@ IND,9th,4400,0,16.4,8.7,3.59,3.59,100,0,0.8,6.5,1.5
Taylor Gabriel,WR,ATL,@ LA,19th,4300,4.3,18.4,4.4,9,9,100,60,2.1,17.2,4
Martellus Bennett,TE,NE,vs BAL,18th,4200,1.7,24.5,10.4,9.34,9.34,100,31,2.2,17,4
Malcolm Mitchell,WR,NE,vs BAL,17th,4200,2.7,15.9,,10.61,10.61,100,0,2.5,14.1,3.4
Pierre Garcon,WR,WAS,@ PHI,32nd,4200,4.6,24.1,11.6,11.12,11.12,100,46,2.6,16.9,4
Rob Kelley,RB,WAS,@ PHI,17th,4200,3.1,18.3,,12.2,12.2,100,0,2.9,16.8,4
Travis Benjamin,WR,SD,@ CAR,10th,4100,0.6,26.1,13.1,9.08,9.08,100,21,2.2,-0.2,
Jeremy Langford,RB,CHI,@ DET,10th,4100,0,24.8,10,4.63,4.63,100,0,1.1,1.5,0.4
Chris Hogan,WR,NE,vs BAL,17th,4100,4.3,21.1,7.2,9.91,9.91,100,36,2.4,27.6,6.7
Cameron Brate,TE,TB,vs NO,30th,4100,5.5,20.5,5.8,10.52,10.52,100,56,2.6,8.7,2.1
Tevin Coleman,RB,ATL,@ LA,20th,4000,6.3,17.7,4.1,10.07,10.07,100,73,2.5,19.5,4.9
Charles Sims,RB,TB,vs NO,13th,4000,3.2,17.3,11.4,7.94,7.94,100,61,2,8,2
Cameron Meredith,WR,CHI,@ DET,6th,4000,6.9,16.5,3.8,10.11,10.11,100,70,2.5,19.2,4.8
Kyle Rudolph,TE,MIN,@ JAC,11th,4000,4,20.5,8.2,9.48,9.48,100,51,2.4,16,4
Ryan Mathews,RB,PHI,vs WAS,12th,4000,0.2,20.4,10,6.95,6.95,100,41,1.7,6,1.5
Benny Cunningham,RB,LA,vs ATL,22nd,4000,0.9,15,4.3,5.58,5.58,100,0,1.4,,
Terrance West,RB,BAL,@ NE,1st,4000,3.2,19.4,3.4,8.63,8.63,100,52,2.2,6.6,1.7
Ted Ginn Jr.,WR,CAR,vs SD,20th,4000,0,24.5,12.5,8.08,8.08,100,20,2,4.6,1.2
Robert Woods,WR,BUF,vs PIT,13th,3900,1.3,22.3,8.7,8.3,8.3,100,38,2.1,3.9,1
Michael Floyd,WR,ARI,@ MIA,22nd,3900,1,30.1,12.5,10.67,10.67,100,0,2.7,3.8,1
Dion Lewis,RB,NE,vs BAL,3rd,3900,1.9,21.7,17.3,8.5,8.5,100,22,2.2,2.9,0.7
Ty Montgomery,WR,GB,vs SEA,5th,3900,2.5,17.5,7,7.48,7.48,100,29,1.9,17.6,4.5
Tavon Austin,WR,LA,vs ATL,11th,3900,2.9,23.9,12.5,9.91,9.91,100,31,2.5,15.9,4.1
Vikings,DST,MIN,@ JAC,21st,3900,4.3,22.3,8.8,10.3,10.3,100,45,2.6,7,1.8
C.J. Fiedorowicz,TE,HOU,@ IND,32nd,3900,6.1,14.5,3,8.93,8.93,100,70,2.3,6.2,1.6
Isaiah Crowell,RB,CLE,vs CIN,11th,3900,5.6,25.7,8.8,12.3,12.3,100,48,3.2,15.8,4.1
Damien Williams,RB,MIA,vs ARI,29th,3900,0.5,12.8,3.3,4.57,4.57,100,39,1.2,8.8,2.3
Ladarius Green,TE,PIT,@ BUF,27th,3900,6.5,22.7,8.3,11.92,11.92,100,47,3.1,4.5,1.2
Antonio Gates,TE,SD,@ CAR,22nd,3800,3.2,28.4,13.5,11.56,11.56,100,21,3,11.1,2.9
Eric Ebron,TE,DET,vs CHI,12th,3800,5.8,20.5,9.3,10.66,10.66,100,56,2.8,7.2,1.9
Eli Rogers,WR,PIT,@ BUF,31st,3800,2,11.7,,7.81,7.81,100,0,2.1,5,1.3
T.J. Yeldon,RB,JAC,vs MIN,26th,3800,3.5,19.1,13.5,8.7,8.7,100,44,2.3,16,4.2
Paul Perkins,RB,NYG,vs DAL,14th,3800,1.6,9.6,,6.38,6.38,100,0,1.7,5.5,1.4
James White,RB,NE,vs BAL,3rd,3800,0.1,24.4,10.5,8.19,8.19,100,21,2.2,11.4,3
James Starks,RB,GB,vs SEA,2nd,3800,0.3,21.6,10.8,7.39,7.39,100,3,1.9,0.3,0.1
John Brown,WR,ARI,@ MIA,22nd,3800,1.9,22.9,14.3,8.86,8.86,100,5,2.3,,
Wendell Smallwood,RB,PHI,vs WAS,12th,3800,1.7,10.1,,6.7,6.7,100,0,1.8,0.3,0.1
Broncos,DST,DEN,@ TEN,4th,3800,2.3,20,10.8,8.2,8.2,100,48,2.2,6,1.6
Kenneth Dixon,RB,BAL,@ NE,1st,3800,2.3,13.5,,9.02,9.02,100,0,2.4,22.1,5.8
Kenny Stills,WR,MIA,vs ARI,29th,3700,1.4,22.7,5.9,8.47,8.47,100,24,2.3,21.7,5.9
Tyler Lockett,WR,SEA,@ GB,9th,3700,0.6,24.3,10.6,8.49,8.49,100,0,2.3,9.6,2.6
Kenneth Farrow,RB,SD,@ CAR,4th,3700,0.5,3,,1.98,1.98,100,0,0.5,13.8,3.7
Marqise Lee,WR,JAC,vs MIN,12th,3700,5.1,18.9,4.9,9.71,9.71,100,57,2.6,19.3,5.2
Chris Thompson,RB,WAS,@ PHI,17th,3700,1.4,19.4,7.1,7.44,7.44,100,30,2,9.8,2.6
Adam Humphries,WR,TB,vs NO,27th,3700,6.2,17.3,5.4,9.91,9.91,100,56,2.7,,
