"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR","Projection_dfn_rd","Ownership.Pctg.Pred"
"QB","Derek Carr (7608821)","Derek Carr",7608821,6300,"Oak@Jax 01:00PM ET","Oak","Derek","Carr","Jax",18.63,18.2,0,0,17.091728043219,17.1102715345751,1,12.4,0,18.25,NA
"WR","Terrelle Pryor Sr. (7608993)","Terrelle Pryor",7608993,6200,"Cle@Cin 01:00PM ET","Cle","Terrelle","Pryor","Cin",12.9,12.5,1,0.281818181818182,11.7733771613867,11.7940423674759,1,3.8,0,12.5,-3.67402930044161
"QB","Blake Bortles (7608822)","Blake Bortles",7608822,6200,"Oak@Jax 01:00PM ET","Jax","Blake","Bortles","Oak",20.91,22.1,0,0,20.1890418997201,20.0818557635334,1,15.1,0,22,NA
"QB","Alex Smith (7608795)","Alex Smith",7608795,6100,"NO@KC 01:00PM ET","KC","Alex","Smith","NO",19.12,20.5,14,0.00529100529100529,18.6362300456224,18.5158839811604,1,17.3,0,20.5,-2.88842491272151
"RB","Doug Martin (7608924)","Doug Martin",7608924,6100,"TB@SF 04:05PM ET","TB","Doug","Martin","SF",0,0,8,0.0240384615384615,0,0,0,0,0,0,NA
"WR","Travis Benjamin (7609062)","Travis Benjamin",7609062,6100,"SD@Atl 04:05PM ET","SD","Travis","Benjamin","Atl",12.39,12,1,0.227053140096618,11.3044227483076,11.32471587563,0,9.4,0,12,-4.67310871418196
"QB","Marcus Mariota (7608803)","Marcus Mariota",7608803,6000,"Ind@Ten 01:00PM ET","Ten","Marcus","Mariota","Ind",18.67,19.4,0,0,17.826365755003,17.7561084186515,1,17.7,0,19.5,NA
"WR","Stefon Diggs (7608988)","Stefon Diggs",7608988,6000,"Min@Phi 01:00PM ET","Min","Stefon","Diggs","Phi",15.66,15.501,2,0.213414634146341,14.4880699710422,14.4882411758941,1,3.8,0,15.5,-4.13546155613184
"QB","Andy Dalton (7608809)","Andy Dalton",7608809,6000,"Cle@Cin 01:00PM ET","Cin","Andy","Dalton","Cle",19.07,20.7,0,0,18.7399633045872,18.6005243237823,1,23.3,0,20.75,NA
"TE","Jordan Reed (7609125)","Jordan Reed",7609125,6000,"Was@Det 01:00PM ET","Was","Jordan","Reed","Det",0,0,2,0.198275862068966,0,0,1,0,0,0,NA
"WR","Willie Snead (7608959)","Willie Snead",7608959,5900,"NO@KC 01:00PM ET","NO","Willie","Snead","KC",12,15.9,4,0.113122171945701,13.5203369523194,13.2126348349393,1,17.7,0,16,-3.40172573808909
"QB","Kirk Cousins (7608817)","Kirk Cousins",7608817,5900,"Was@Det 01:00PM ET","Was","Kirk","Cousins","Det",19.96,19.6,0,0,18.3724494013595,18.3846107318089,1,25.9,0,19.5,NA
"QB","Jameis Winston (7608841)","Jameis Winston",7608841,5900,"TB@SF 04:05PM ET","TB","Jameis","Winston","SF",19.48,17.7,0,0,17.0717262621195,17.1929243561085,1,21.7,0,17.75,NA
"RB","Devonta Freeman (7608932)","Devonta Freeman",7608932,5900,"SD@Atl 04:05PM ET","Atl","Devonta","Freeman","SD",15.25,16.2,5,0.104265402843602,14.7735600035109,14.6891035966561,1,15,0,16.25,-0.645136841757653
"RB","Spencer Ware (7608863)","Spencer Ware",7608863,5800,"NO@KC 01:00PM ET","KC","Spencer","Ware","NO",16.96,17.7,4,0.100529100529101,16.2398434440396,16.1701391577881,1,21.1,0,17.75,0.827403178400035
