"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
6198,"Darren Sproles","RB","PHI","NYG",16,27,48,26,7,33,33,14.3,45.6
13949,"Coty Sensabaugh","CB","NYG","PHI",16,11,20,0,0,0,0,0,36.4
9196,"Malcolm Jenkins","S","PHI","NYG",16,89,100,0,0,0,0,0,23
17972,"Paul Perkins","RB","NYG","PHI",16,34,38,44,6,47,50,8.7,22.6
11256,"Ryan Mathews","RB","PHI","NYG",16,28,50,64,4,68,68,7.2,22.1
17920,"Carson Wentz","QB","PHI","NYG",16,50,89,8,0,56,56,11.78,21.6
16781,"Nelson Agholor","WR","PHI","NYG",16,54,96,2,9,6,11,13.2,20.7
16403,"Kerry Wynn","DE","NYG","PHI",16,5,9,0,0,0,0,0,20
16794,"Landon Collins","SS","NYG","PHI",16,56,100,0,0,0,0,0,19.6
15960,"Beau Allen","DT","PHI","NYG",16,29,33,0,0,0,0,0,19
16389,"Odell Beckham Jr","WR","NYG","PHI",16,88,99,0,23,13,23,29,17
13909,"Trevin Wade","CB","NYG","PHI",16,25,45,0,0,0,0,0,16
12246,"Victor Cruz","WR","NYG","PHI",16,53,60,0,25,15,25,16.4,15.8
17961,"Sterling Shepard","WR","NYG","PHI",16,88,99,1,13,9,14,19.3,14
4932,"Eli Manning","QB","NYG","PHI",16,89,100,0,0,71,71,18.24,13.8
11315,"Brandon Graham","DE","PHI","NYG",16,63,71,0,0,0,0,0,12.7
2556,"Dominique Rodgers-Cromartie","CB","NYG","PHI",16,55,98,0,0,0,0,0,12.7
8649,"Rashad Jennings","RB","NYG","PHI",16,41,46,22,12,32,34,9.1,12.4
13756,"Nigel Bradham","OLB","PHI","NYG",16,89,100,0,0,0,0,0,11.8
13722,"Vinny Curry","DE","PHI","NYG",16,34,38,0,0,0,0,0,11.8
16397,"Devon Kennard","OLB","NYG","PHI",16,35,63,0,0,0,0,0,11.4
13731,"Mychal Kendricks","OLB","PHI","NYG",16,14,16,0,0,0,0,0,10.7
9902,"Chase Daniel","QB","PHI","NYG",16,6,11,0,0,17,17,0.64,10.7
10953,"Nolan Carroll","CB","PHI","NYG",16,66,74,0,0,0,0,0,10.6
14271,"Keenan Robinson","OLB","NYG","PHI",16,29,52,0,0,0,0,0,10.3
5035,"Leodis McKelvin","CB","PHI","NYG",16,83,93,0,0,0,0,0,10.2
13852,"Bobby Rainey","RB","NYG","PHI",16,14,16,0,14,7,14,2.3,9.3
5511,"Brent Celek","TE","PHI","NYG",16,30,54,0,10,10,10,5.7,9
8565,"Connor Barwin","DE","PHI","NYG",16,65,73,0,0,0,0,0,8.5
18149,"Jalen Mills","CB","PHI","NYG",16,66,74,0,0,0,0,0,8.3
18268,"Romeo Okwara","DE","NYG","PHI",16,50,89,0,0,0,0,0,8
14646,"Olivier Vernon","DE","NYG","PHI",16,56,100,0,0,0,0,0,7.1
14856,"Zach Ertz","TE","PHI","NYG",16,48,86,0,4,4,4,5.3,6.9
12742,"Kelvin Sheppard","ILB","NYG","PHI",16,44,79,0,0,0,0,0,6.8
16845,"Jordan Hicks","ILB","PHI","NYG",16,83,93,0,0,0,0,0,6.6
9810,"Jonathan Casillas","OLB","NYG","PHI",16,34,61,0,0,0,0,0,5.9
13816,"Damon Harrison","DT","NYG","PHI",16,40,71,0,0,0,0,0,5
13721,"Fletcher Cox","DT","PHI","NYG",16,66,74,0,0,0,0,0,4.5
15981,"Jaylen Watkins","CB","PHI","NYG",16,37,42,0,0,0,0,0,4.1
17754,"Will Tye","TE","NYG","PHI",16,60,67,0,13,8,13,7.3,3.8
17950,"Eli Apple","CB","NYG","PHI",16,55,98,0,0,0,0,0,3.6
15974,"Jordan Matthews","WR","PHI","NYG",16,39,70,0,15,5,15,3.2,3.1
16801,"Dorial Green-Beckham","WR","PHI","NYG",16,27,48,0,7,4,7,1.7,2.6
18576,"Andrew Adams","FS","NYG","PHI",16,40,71,0,0,0,0,0,2.5
18597,"Destiny Vaeao","DT","PHI","NYG",16,22,25,0,0,0,0,0,2.3
14419,"Rodney McLeod","S","PHI","NYG",16,89,100,0,0,0,0,0,2.2
15090,"Johnathan Hankins","DT","NYG","PHI",16,45,80,0,0,0,0,0,2.2
18101,"Jerell Adams","TE","NYG","PHI",16,40,45,0,3,3,3,1.9,2.2
14859,"Bennie Logan","DT","PHI","NYG",16,49,55,0,0,0,0,0,2
15965,"Trey Burton","TE","PHI","NYG",16,16,29,0,6,6,6,1.3,1.9
384,"Stephen Tulloch","ILB","PHI","NYG",16,6,7,0,0,0,0,0,0
1650,"Leon Hall","CB","NYG","PHI",16,14,25,0,0,0,0,0,0
2194,"Zak DeOssie","LS","NYG","PHI",16,8,29,0,0,0,0,0,0
15978,"Marcus Smith","DE","PHI","NYG",16,26,29,0,0,0,0,0,0
16391,"Jay Bromley","DT","NYG","PHI",16,16,29,0,0,0,0,0,0
17527,"Rick Lovato","LS","PHI","NYG",16,9,38,0,0,0,0,0,0
18285,"Roger Lewis","WR","NYG","PHI",16,22,25,0,5,0,5,0,0
