"Paul Goldschmidt_ARI","Corey Seager_LAD","JD Martinez_DET","Miguel Cabrera_DET","Ian Kinsler_DET","Justin Upton_DET","Starling Marte_PIT","Jake Lamb_ARI","AJ Pollock_ARI","Cody Bellinger_LAD","Nicholas Castellanos_DET","Andrew McCutchen_PIT","Justin Turner_LAD","Victor Martinez_DET","Chris Owings_ARI","Yasmany Tomas_ARI","Yasmani Grandal_LAD","Gregory Polanco_PIT","Yasiel Puig_LAD","Logan Forsythe_LAD","Joc Pederson_LAD","David Peralta_ARI","Adrian Gonzalez_LAD","Brandon Drury_ARI","Chase Utley_LAD","Franklin Gutierrez_LAD","Josh Harrison_PIT","Josh Bell_PIT","Alex Avila_DET","Andrew Toles_LAD","Jeremy Hazelbaker_ARI","Alen Hanson_PIT","Chris Taylor_LAD","Chris Herrmann_ARI","Trayce Thompson_LAD","Austin Barnes_LAD","JaCoby Jones_DET","Socrates Brito_ARI","James McCann_DET","Rob Segedin_LAD","Gregor Blanco_ARI","Dixon Machado_DET","John Hicks_DET","Mikie Mahtook_DET","Tyler Collins_DET","Andre Ethier_LAD","Francisco Cervelli_PIT","David Freese_PIT","Jordy Mercer_PIT","Adam Frazier_PIT","Jose Iglesias_DET","John Jaso_PIT","Scott Van Slyke_LAD","Danny Ortiz_PIT","Kike Hernandez_LAD","Kevin Newman_PIT","Jim Adduci_DET","Andrew Romine_DET","Jose Osuna_PIT","Chris Iannetta_ARI","Chris Bostick_PIT","Daniel Descalso_ARI","Elias Diaz_PIT","Phil Gosselin_PIT","Max Moroff_PIT","Nick Ahmed_ARI","Gift Ngoepe_PIT","Jeff Mathis_ARI","Chris Stewart_PIT","Brett Eibner_LAD","John Bormann_PIT"
0,23,0,0,0,0,0,0,0,10,0,0,21,0,0,0,24,0,23,8,12,0,19,0,12,2,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,0,0,0,0,24,0,0,0,0,0,25,0,0,0,0,0,0,0,0,21,22,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,24,7,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0
0,27,0,0,0,0,0,0,0,11,0,0,26,0,0,0,23,0,29,11,14,0,21,0,11,4,0,0,0,17,0,0,9,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,11,11,6,0,9,0,0,3,0,0,0,4,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,3,0,0,13,0,0,0,12,0,14,6,14,0,10,0,6,0,0,0,0,11,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,24,20,0,0,0,0,0,20,18,0,0,0,0,0,25,0,20,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,7,0,13,0,0,0
0,21,0,0,0,0,0,0,0,7,0,0,19,0,0,0,19,0,21,9,10,0,22,0,11,3,0,0,0,15,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,24,23,0,0,0,0,0,22,22,0,0,0,0,0,20,0,27,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,12,0,14,0,0,0
0,12,0,0,0,0,0,0,0,6,0,0,10,0,0,0,12,0,11,0,6,0,11,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,4,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,0,0,0,26,0,0,0,0,0,21,0,0,0,0,0,0,0,0,26,22,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,24,8,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,9,0,0,0,0,25,0,0,0,0,0,22,0,0,0,0,0,0,0,0,22,26,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,24,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,6,12,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,3,0,0,0,2,0,12,0,0,0,0,0,9,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,9,0,0,16,0,0,0,18,0,17,4,11,0,15,0,12,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,7,0,0,7,0,0,0,6,0,9,0,3,0,4,0,0,0,0,0,0,4,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,10,8,0,0,0,0,0,8,4,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,3,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,6,3,2,0,3,0,0,2,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,7,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,6,0,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10,12,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,16,0,0,4,2,7,8,0,0,0,0,0,12,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,2,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,3,2,7,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,15,16,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,8,0,0,0,2,0,17,0,0,0,0,0,14,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,0,0,0,21,0,0,0,0,0,17,0,0,0,0,0,0,0,0,19,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,19,10,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,14,9,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,10,0,0,0,0,27,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,28,10,0,9,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,14,15,17,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,12,0,0,2,3,4,14,0,0,0,0,0,19,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,9,2,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0
0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
