"Place_lo","Place_hi","Payout"
"1","1","360"
"2","2","200"
"3","3","100"
"4","4","75"
"5","5","60"
"6","6","50"
"7","7","45"
"8","8","40"
"9","9","35"
"10",NA,"30"
"11","15","25"
"16","20","20"
"21","30","18"
"31","40","16"
"41","50","14"
"51","75","12"
"76","125","10"
