"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"1B","Kendrys Morales",3800,"Tor@StL 01:45PM ET",6.45,"Tor"
"2B","Starlin Castro",3800,"NYY@Bos 07:10PM ET",9.056,"NYY"
"SS","Didi Gregorius",3800,"NYY@Bos 07:10PM ET",0,"NYY"
"3B","Jose Reyes",3800,"Atl@NYM 01:10PM ET",2.842,"NYM"
"OF","Matt Kemp",3800,"Atl@NYM 01:10PM ET",10.25,"Atl"
"OF","Odubel Herrera",3800,"Mia@Phi 01:05PM ET",7.222,"Phi"
"OF","David Peralta",3800,"SD@Ari 09:40PM ET",9.556,"Ari"
"OF","Manuel Margot",3800,"SD@Ari 09:40PM ET",7.409,"SD"
"C","Dustin Garneau",3800,"Was@Col 03:10PM ET",3.667,"Col"
"3B/SS","Stephen Drew",3800,"Was@Col 03:10PM ET",3.75,"Was"
"SS","Corey Seager",3800,"LAD@SF 03:45PM ET",8.955,"LAD"
"OF","Randal Grichuk",3700,"Tor@StL 01:45PM ET",6.05,"StL"
"1B","Greg Bird",3700,"NYY@Bos 07:10PM ET",3.714,"NYY"
"OF","Andrew Benintendi",3700,"NYY@Bos 07:10PM ET",9.056,"Bos"
"OF","Khris Davis",3700,"Oak@LAA 10:07PM ET",9.684,"Oak"
"OF","Kole Calhoun",3700,"Oak@LAA 10:07PM ET",5.227,"LAA"
"OF","Curtis Granderson",3700,"Atl@NYM 01:10PM ET",4.333,"NYM"
"1B","Tommy Joseph",3700,"Mia@Phi 01:05PM ET",5.188,"Phi"
"1B/C","Buster Posey",3700,"LAD@SF 03:45PM ET",6.786,"SF"
"OF","Hunter Pence",3700,"LAD@SF 03:45PM ET",6.571,"SF"
"3B/OF","Marwin Gonzalez",3600,"Hou@Cle 06:10PM ET",4.706,"Hou"
"OF","Cameron Maybin",3600,"Oak@LAA 10:07PM ET",6.294,"LAA"
"3B","Maikel Franco",3600,"Mia@Phi 01:05PM ET",6.5,"Phi"
"OF","Marcell Ozuna",3600,"Mia@Phi 01:05PM ET",10.222,"Mia"
"2B","Brandon Drury",3600,"SD@Ari 09:40PM ET",6.263,"Ari"
"OF","Alex Dickerson",3600,"SD@Ari 09:40PM ET",0,"SD"
"OF","Hunter Renfroe",3600,"SD@Ari 09:40PM ET",6,"SD"
"C","Tom Murphy",3600,"Was@Col 03:10PM ET",0,"Col"
"SS","Wilmer Difo",3600,"Was@Col 03:10PM ET",4,"Was"
"OF","Tyler Naquin",3500,"Hou@Cle 06:10PM ET",3.667,"Cle"
"C","Russell Martin",3500,"Tor@StL 01:45PM ET",5.875,"Tor"
"2B/3B","Jedd Gyorko",3500,"Tor@StL 01:45PM ET",8.6,"StL"
"OF","Steve Pearce",3500,"Tor@StL 01:45PM ET",2.538,"Tor"
"3B","Pablo Sandoval",3500,"NYY@Bos 07:10PM ET",6.235,"Bos"
"C","Stephen Vogt",3500,"Oak@LAA 10:07PM ET",4.714,"Oak"
"1B","C.J. Cron",3500,"Oak@LAA 10:07PM ET",3.438,"LAA"
"OF","Rajai Davis",3500,"Oak@LAA 10:07PM ET",6.6,"Oak"
"1B/OF","Jay Bruce",3500,"Atl@NYM 01:10PM ET",9.722,"NYM"
"3B","David Wright",3500,"Atl@NYM 01:10PM ET",0,"NYM"
"SS","Asdrubal Cabrera",3500,"Atl@NYM 01:10PM ET",7.105,"NYM"
"OF","Ender Inciarte",3500,"Atl@NYM 01:10PM ET",7.222,"Atl"
"C","J.T. Realmuto",3500,"Mia@Phi 01:05PM ET",8,"Mia"
"2B","Cesar Hernandez",3500,"Mia@Phi 01:05PM ET",11.278,"Phi"
"OF","Michael Saunders",3500,"Mia@Phi 01:05PM ET",4.889,"Phi"
"2B/3B","Cory Spangenberg",3500,"SD@Ari 09:40PM ET",3,"SD"
"OF","Chris Heisey",3500,"Was@Col 03:10PM ET",3.7,"Was"
"1B","Brandon Belt",3500,"LAD@SF 03:45PM ET",8.4,"SF"
"3B","Eduardo Nunez",3500,"LAD@SF 03:45PM ET",6.5,"SF"
"3B","Nicholas Castellanos",3400,"Sea@Det 01:10PM ET",9,"Det"
"C","Yadier Molina",3400,"Tor@StL 01:45PM ET",5.471,"StL"
"OF","Kevin Pillar",3400,"Tor@StL 01:45PM ET",7.8,"Tor"
"1B","Jefry Marte",3400,"Oak@LAA 10:07PM ET",3.833,"LAA"
"1B/3B","Luis Valbuena",3400,"Oak@LAA 10:07PM ET",0,"LAA"
"3B","Trevor Plouffe",3400,"Oak@LAA 10:07PM ET",6.05,"Oak"
"1B","Lucas Duda",3400,"Atl@NYM 01:10PM ET",7.692,"NYM"
"2B","Neil Walker",3400,"Atl@NYM 01:10PM ET",6.111,"NYM"
"2B/3B","Martin Prado",3400,"Mia@Phi 01:05PM ET",7.4,"Mia"
"OF","Aaron Altherr",3400,"Mia@Phi 01:05PM ET",8.667,"Phi"
"OF","Jeremy Hazelbaker",3400,"SD@Ari 09:40PM ET",2.706,"Ari"
"SS","Pat Valaika",3400,"Was@Col 03:10PM ET",4.667,"Col"
"OF","Denard Span",3400,"LAD@SF 03:45PM ET",4,"SF"
"1B","Victor Martinez",3300,"Sea@Det 01:10PM ET",4.833,"Det"
"OF","Mitch Haniger",3300,"Sea@Det 01:10PM ET",11.429,"Sea"
"OF","Lonnie Chisenhall",3300,"Hou@Cle 06:10PM ET",8.9,"Cle"
"OF","Abraham Almonte",3300,"Hou@Cle 06:10PM ET",5.063,"Cle"
"SS","Pete Kozma",3300,"NYY@Bos 07:10PM ET",0.818,"NYY"
"OF","Aaron Hicks",3300,"NYY@Bos 07:10PM ET",9.846,"NYY"
"1B/3B","Ryon Healy",3300,"Oak@LAA 10:07PM ET",6.6,"Oak"
"SS","Marcus Semien",3300,"Oak@LAA 10:07PM ET",6.909,"Oak"
"OF","Nick Markakis",3300,"Atl@NYM 01:10PM ET",6.778,"Atl"
"OF","Michael Conforto",3300,"Atl@NYM 01:10PM ET",7.188,"NYM"
"SS","Freddy Galvis",3300,"Mia@Phi 01:05PM ET",6.278,"Phi"
"OF","Howie Kendrick",3300,"Mia@Phi 01:05PM ET",8.5,"Phi"
"C/OF","Chris Herrmann",3300,"SD@Ari 09:40PM ET",2.647,"Ari"
"OF","Travis Jankowski",3300,"SD@Ari 09:40PM ET",3.765,"SD"
"C","Tony Wolters",3300,"Was@Col 03:10PM ET",6.538,"Col"
"2B","Joe Panik",3300,"LAD@SF 03:45PM ET",7.15,"SF"
"OF","Brandon Guyer",3200,"Hou@Cle 06:10PM ET",3,"Cle"
"OF","Jake Marisnick",3200,"Hou@Cle 06:10PM ET",3.176,"Hou"
"OF","Bradley Zimmer",3200,"Hou@Cle 06:10PM ET",0,"Cle"
"3B","Jhonny Peralta",3200,"Tor@StL 01:45PM ET",1.875,"StL"
"2B/OF","Brock Holt",3200,"NYY@Bos 07:10PM ET",3.333,"Bos"
"3B","Yunel Escobar",3200,"Oak@LAA 10:07PM ET",5.955,"LAA"
"OF","Ben Revere",3200,"Oak@LAA 10:07PM ET",2.769,"LAA"
"2B","Brandon Phillips",3200,"Atl@NYM 01:10PM ET",9.278,"Atl"
"1B","Justin Bour",3200,"Mia@Phi 01:05PM ET",5.944,"Mia"
"1B","Rhys Hoskins",3200,"Mia@Phi 01:05PM ET",0,"Phi"
"OF","Socrates Brito",3200,"SD@Ari 09:40PM ET",0,"Ari"
"C","Jose Lobaton",3200,"Was@Col 03:10PM ET",5.25,"Was"
"1B","Adrian Gonzalez",3200,"LAD@SF 03:45PM ET",5,"LAD"
"2B/3B","Logan Forsythe",3200,"LAD@SF 03:45PM ET",5.4,"LAD"
