Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,2016 Avg,FC Proj,My Proj,Exposure,Consistency,Value
Julio Jones,WR,ATL,vs SD,13th,17200,12.4,41.5,23.1,20.1,22.12,22.12,100,52,1.3
Antonio Brown,WR,PIT,vs NE,11th,17100,5.8,37.6,24.3,20,16.38,16.38,100,47,1
A.J. Green,WR,CIN,vs CLE,32nd,16600,10.8,39.8,17.1,19.1,20.45,20.45,100,49,1.2
Odell Beckham Jr.,WR,NYG,@ LA,30th,16300,8.9,39.5,21.3,18.2,19.06,19.06,100,44,1.2
David Johnson,RB,ARI,vs SEA,3rd,16000,6.3,36.3,13.5,24.9,16.27,16.27,100,60,1
Jordy Nelson,WR,GB,vs CHI,20th,15700,7.4,36.8,,17,17.18,17.18,100,42,1.1
Le'Veon Bell,RB,PIT,vs NE,5th,15700,8.5,37,18.5,22,18,18,100,57,1.1
Tom Brady,QB,NE,@ PIT,21st,15500,12.5,36.5,22,28.4,20.54,20.54,100,72,1.3
Aaron Rodgers,QB,GB,vs CHI,8th,15300,10.6,33.7,19.3,19.9,18.27,18.27,100,61,1.2
Amari Cooper,WR,OAK,@ JAC,23rd,14800,9.7,35.8,13.3,17.4,18.38,18.38,100,50,1.2
DeMarco Murray,RB,TEN,vs IND,31st,14800,11.2,36.1,12.3,21.3,19.5,19.5,100,61,1.3
Drew Brees,QB,NO,@ KC,11th,14700,11.1,33.6,21,24.1,18.62,18.62,100,69,1.3
Matt Ryan,QB,ATL,vs SD,19th,14600,14.5,31.9,15.6,24.5,20.28,20.28,100,76,1.4
Mike Evans,WR,TB,@ SF,24th,14600,10.2,36,14.1,20.2,18.81,18.81,100,57,1.3
T.Y. Hilton,WR,IND,@ TEN,9th,14400,7.3,33.7,13.2,18.6,16.07,16.07,100,53,1.1
Russell Wilson,QB,SEA,@ ARI,6th,14100,7.3,31,21.5,14.8,15.22,15.22,100,47,1.1
Brandin Cooks,WR,NO,@ KC,18th,14100,6.7,30.1,15.9,17.5,14.5,14.5,100,55,1
Rob Gronkowski,TE,NE,@ PIT,32nd,14100,8.5,32.5,17,11.8,16.46,16.46,100,32,1.2
Brandon Marshall,WR,NYJ,vs BAL,26th,14000,7.1,32.9,21.2,13.7,15.72,15.72,100,37,1.1
Andrew Luck,QB,IND,@ TEN,9th,13900,11,34.1,20.4,21,18.73,18.73,100,63,1.3
Jarvis Landry,WR,MIA,vs BUF,15th,13700,8.7,30.3,17.3,16.1,15.86,15.86,100,55,1.2
Julian Edelman,WR,NE,@ PIT,12th,13500,7.5,29.8,19.2,9.7,14.95,14.95,100,24,1.1
LeSean McCoy,RB,BUF,@ MIA,24th,13400,6.8,24.8,14.9,21.9,12.85,12.85,100,73,1
Allen Robinson,WR,JAC,vs OAK,25th,13200,7.3,33.7,19,14.1,16.14,16.14,100,38,1.2
Derek Carr,QB,OAK,@ JAC,12th,13100,8.9,30.2,17.9,19.6,16.01,16.01,100,64,1.2
Marvin Jones,WR,DET,vs WAS,7th,13100,9.7,26.8,10.9,17.7,15.4,15.4,100,68,1.2
Larry Fitzgerald,WR,ARI,vs SEA,3rd,13100,5.3,31.7,17.5,18.3,14.06,14.06,100,52,1.1
Philip Rivers,QB,SD,@ ATL,27th,13100,9,31.8,18.6,18.2,16.57,16.57,100,58,1.3
Matthew Stafford,QB,DET,vs WAS,7th,13000,10.6,32.8,19,21.2,17.98,17.98,100,65,1.4
Todd Gurley,RB,LA,vs NYG,19th,12900,7.6,33.7,16,13.2,16.32,16.32,100,34,1.3
Alshon Jeffery,WR,CHI,@ GB,28th,12700,6.5,29.6,17.6,13,14.19,14.19,100,41,1.1
Doug Baldwin,WR,SEA,@ ARI,22nd,12700,4.7,30.5,16.8,15.1,13.33,13.33,100,43,1
Stefon Diggs,WR,MIN,@ PHI,4th,12700,7.1,29,11.5,17,14.44,14.44,100,57,1.1
Carson Palmer,QB,ARI,vs SEA,4th,12500,7.2,24,20,15.1,12.77,12.77,100,63,1
Eli Manning,QB,NYG,@ LA,24th,12400,7.7,30.8,18.8,15.5,15.43,15.43,100,50,1.2
Jeremy Maclin,WR,KC,vs NO,19th,12300,6.8,35.3,16.2,11.6,16.31,16.31,100,18,1.3
Andy Dalton,QB,CIN,vs CLE,32nd,12200,11.1,33.3,19.3,17.9,18.52,18.52,100,59,1.5
Jordan Matthews,WR,PHI,vs MIN,2nd,12100,3.8,29.9,14.4,13.7,12.48,12.48,100,36,1
Randall Cobb,WR,GB,vs CHI,20th,11900,6.2,29,12.7,12.9,13.77,13.77,100,41,1.2
Jameis Winston,QB,TB,@ SF,22nd,11900,13.1,24.5,18.1,18,16.88,16.88,100,79,1.4
Christine Michael,RB,SEA,@ ARI,10th,11800,9.8,19.4,3.6,17.4,12.95,12.95,100,82,1.1
Blake Bortles,QB,JAC,vs OAK,20th,11800,9.7,31.3,20.9,17.8,16.92,16.92,100,60,1.4
Marcus Mariota,QB,TEN,vs IND,18th,11600,5.8,37,18.4,18.4,16.24,16.24,100,43,1.4
Joe Flacco,QB,BAL,@ NYJ,30th,11600,8.1,28.2,17.4,15.2,14.83,14.83,100,56,1.3
Alex Smith,QB,KC,vs NO,14th,11600,12.8,27.2,17.4,14.7,17.63,17.63,100,67,1.5
Melvin Gordon,RB,SD,@ ATL,14th,11400,11.4,22.5,7.7,17.3,15.1,15.1,100,79,1.3
Travis Benjamin,WR,SD,@ ATL,8th,11400,5,28.7,12.4,13,12.9,12.9,100,39,1.1
Kirk Cousins,QB,WAS,@ DET,31st,11400,6.8,32.4,19,16.8,15.35,15.35,100,49,1.3
Devonta Freeman,RB,ATL,vs SD,22nd,11400,4.3,38.5,21.1,15.5,15.71,15.71,100,26,1.4
DeSean Jackson,WR,WAS,@ DET,29th,11300,4.2,28.5,11.6,10.2,12.31,12.31,100,21,1.1
Tyrod Taylor,QB,BUF,@ MIA,15th,11300,9,33,19.8,16.8,17,17,100,52,1.5
Michael Crabtree,WR,OAK,@ JAC,23rd,11200,6.9,27.6,14.5,16.6,13.76,13.76,100,58,1.2
Mark Ingram,RB,NO,@ KC,21st,11200,9,24.9,17,14.5,14.29,14.29,100,63,1.3
Jamaal Charles,RB,KC,vs NO,32nd,11000,1.9,27.4,20.2,6.7,10.44,10.44,100,0,0.9
Spencer Ware,RB,KC,vs NO,32nd,10900,8.8,27.1,10.3,16.7,14.91,14.91,100,63,1.4
Sam Bradford,QB,MIN,@ PHI,3rd,10900,7.2,20.7,14.9,15.9,11.67,11.67,100,72,1.1
Jordan Howard,RB,CHI,@ GB,2nd,10800,3.8,23,,14.4,15.33,15.33,100,0,1.4
Jordan Reed,TE,WAS,@ DET,31st,10700,3.2,30.8,17.4,15.3,12.39,12.39,100,40,1.2
Ryan Tannehill,QB,MIA,vs BUF,13th,10700,7.7,25.1,16.9,14.3,13.53,13.53,100,59,1.3
Steve Smith Sr.,WR,BAL,@ NYJ,31st,10700,2.2,31.3,18.7,12.8,11.89,11.89,100,24,1.1
Brian Hoyer,QB,CHI,@ GB,28th,10600,7.7,27.5,15.8,15.4,14.27,14.27,100,57,1.3
Allen Hurns,WR,JAC,vs OAK,25th,10600,2.1,27.9,15,11.2,10.7,10.7,100,23,1
Terrelle Pryor,WR,CLE,@ CIN,10th,10500,3.4,20.7,2.6,17,13.78,13.78,100,0,1.3
Willie Snead,WR,NO,@ KC,18th,10400,5.2,24.1,12.2,15.2,11.49,11.49,100,59,1.1
Carson Wentz,QB,PHI,vs MIN,5th,10400,3.3,19.9,,15.6,13.28,13.28,100,0,1.3
Matt Forte,RB,NYJ,vs BAL,1st,10300,3.9,27.9,16.5,12.9,11.87,11.87,100,38,1.2
Sterling Shepard,WR,NYG,@ LA,30th,10200,2.8,16.5,,11.4,11.02,11.02,100,0,1.1
Colin Kaepernick,QB,SF,vs TB,17th,10200,4.8,26.4,12.8,18.1,12.02,12.02,100,60,1.2
Tyrell Williams,WR,SD,@ ATL,8th,10200,2.8,16.8,8.5,12.4,11.18,11.18,100,0,1.1
Ryan Fitzpatrick,QB,NYJ,vs BAL,16th,10100,0,19.9,18.8,12.3,4.73,4.73,100,38,0.5
LeGarrette Blount,RB,NE,@ PIT,17th,9900,3.2,29,10.2,14.2,11.85,11.85,100,39,1.2
Terrance West,RB,BAL,@ NYJ,4th,9800,4.3,20.5,3.1,12.6,9.66,9.66,100,57,1
Isaiah Crowell,RB,CLE,@ CIN,7th,9800,5.2,24.1,8.6,13.1,11.52,11.52,100,52,1.2
Jay Ajayi,RB,MIA,vs BUF,20th,9600,7.3,17.8,4.7,13.2,10.81,10.81,100,73,1.1
