"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Pierre Garcon",11,"0",5000,27,0.03,-0.16,-0.08,0,0,0,0,0,7.3,7.1,8.6,0.9,8.8,15,12.7,13,7.2,18.2,16.2,0,5,9,13.4,14.8,16.9,76,111,3,0.19104991394148,1,1,4,0
"Jamison Crowder",5,"0",5000,27,0.03,-0.16,-0.08,0,0.1,0.5,0,-1,4,6.4,5.7,1.1,8.7,4.1,13.6,10,6.2,21,11.5,0,5,9,1.3,5.4,5.7,64,96,7,0.165232358003442,2,3,1,0
"Jarvis Landry",2,"0",5000,19.5,0,-0.18,-0.11,0.3,0.3,0.5,0,3.4,5.3,7.9,7.5,0.5,8.9,15,14.9,15,7.7,22,13.2,0,2,7,5.9,22.8,16.3,89,121,3,0.276255707762557,1,1,4,0
"Kenny Britt",1,"0",5000,16.3,-0.07,-0.1,0.14,0,0,0,0,0,8,7.4,7.4,0.7,9,8.9,13.5,13,5.9,21.2,12.3,0,9,28,2.5,9,15.2,69,114,5,0.223091976516634,1,1,1,0
"Steve Smith",15,"0",4900,21.5,-0.04,0.07,-0.18,0,0,0,0,0,6.7,7.5,7.7,0.9,7.9,14.9,13.9,12,6.6,21.2,13.9,0,13,2,22.9,12,9.7,69,100,5,0.160513643659711,2,3,1,0
"Sterling Shepard",0,"0",4900,19.5,0.09,0.07,0.02,0.3,0.1,0,0,12,6.7,6.7,4.2,0.7,6.5,13.9,12,7,6,18.1,7.1,0,25,13,19.3,15.6,6.9,65,101,8,0.172649572649573,2,2,2,0
"Cole Beasley",0,"0",4700,18.8,0.01,-0.03,0.13,0,0.1,0,0,7,5.7,6.3,3.6,0.5,8.3,7.8,12.1,6,7,17.1,6.8,0,14,31,6.5,8.8,8.1,73,100,5,0.214132762312634,1,1,2,0
"Malcolm Mitchell",0,"0",4700,27,-0.01,0.3,0.03,0,0,0,0,0,3.7,4,6.4,1,8.4,7.5,8,10,0.4,15.6,12.1,0,24,25,5.9,2.4,14.1,33,53,4,0.0970695970695971,5,5,3,0
"Jordan Matthews",2,"1",4700,25.3,0.07,-0.26,0.04,0,0,0,0,0,9,8.3,8.9,0.9,6.9,9.3,12.5,15,5.9,19.1,15.5,0,11,12,3.2,8.7,15.9,73,119,3,0.214028776978417,1,1,1,0
"Jeremy Maclin",0,"0",4700,24.5,0.03,-0.1,-0.09,0,0.1,0,0,-1,5,6.5,6.5,0.6,6.8,6.9,9.1,11,3.7,14.5,12.8,0,16,8,3.9,14.2,2.6,40,69,2,0.132947976878613,3,3,3,0
"J.J. Nelson",15,"0",4600,23.8,-0.05,-0.04,0.13,0.3,0.3,0.8,0.1,20.8,6.7,4.8,6.6,0.5,8,19.8,10.1,12,0.8,19.4,13.4,0,15,26,25.2,14.8,19.4,31,64,6,0.117001828153565,5,4,1,0
"Marqise Lee",4,"1",4600,20.8,0.07,0.07,-0.02,0,0.4,0,0,5.8,6,6.4,8,0.5,8,14.3,11.4,13,5.8,16.9,12.3,0,28,11,17.5,6,19.3,60,101,3,0.166666666666667,2,2,3,0
