"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Sammy Watkins",1,"0",5000,24.3,-0.02,0.23,0.02,0,0,0,0,0,6.3,5.5,7.5,0.7,7.4,8.1,7.9,12,3.1,12.8,14.4,31.4,23,22,2,15.4,6.8,16,32,1,0.078239608801956,5,5,4,1
"Terrelle Pryor",3,"0",4900,20.8,0.05,-0.11,-0.05,0,0.6,0,0.1,2.6,7.7,8.9,8.7,0.8,7,9.8,14.2,15,4.6,23.9,13.5,6.6,22,10,5.9,1.3,0,70,126,4,0.254032258064516,1,1,1,0
"Pierre Garcon",12,"0",4900,26,-0.08,0.07,0.11,0,0,0,0,0,8.7,7.3,7.7,0.9,8.3,15.5,12.7,12,6.9,18.4,14.9,13.4,12,29,14.8,16.9,14.8,65,95,3,0.18664047151277,1,1,4,0
"Cole Beasley",1,"0",4900,26.5,0.01,-0.08,-0.01,0,0.1,0,0,7,5.3,6.4,5.6,0.6,8.5,7.1,12.5,9,7.5,17.5,10.1,6.5,17,13,8.8,8.1,4.3,69,94,5,0.211711711711712,1,1,2,0
"Rishard Matthews",7,"0",4900,24,-0.14,0.03,-0.1,0,0,0,0,0,6.7,6.1,5.7,0.6,9.3,11.8,12.9,9,6.4,19.3,11,12.1,10,6,16.5,3.6,0,55,88,8,0.197752808988764,2,1,1,0
"Travis Benjamin",1,"0",4800,25.3,0,0.44,-0.01,0.3,0.2,0,0,-1.5,3.3,5.5,4.3,0.5,8.5,5.9,10.1,7,1,19.1,8,10.5,31,24,13.6,-0.2,4.4,44,73,4,0.150515463917526,3,3,4,0
"Brandon LaFell",0,"0",4800,19,-0.16,-0.05,-0.13,0,0.1,0,0,-2,7.3,6.1,7.2,1.1,7.7,13.9,10.5,12,3.1,17.9,12.4,28,4,4,16.1,5.2,20.5,51,91,5,0.182730923694779,2,2,1,1
"Mike Wallace",6,"0",4800,20.5,0.02,-0.18,-0.11,0,0.4,0.2,0,6.2,6.7,7.6,7.4,0.6,9.1,10,14,12,7.9,20,12.6,6.1,9,3,8,10.2,11.9,65,108,4,0.186851211072664,2,1,1,0
"Robby Anderson",2,"0",4800,14,0.03,-0.19,-0.07,0.7,0.3,0,0,14,9.7,5.7,7.5,0.3,8,17.1,9,13,3.5,14.5,11.7,0,7,8,18,17.1,16.1,40,66,3,0.132796780684105,4,4,3,0
"Cameron Meredith",12,"0",4700,23,0.08,0.07,-0.02,0,0.1,0,0.1,6,8.3,6.6,6.2,0.9,8.8,17.1,12.3,10,2.6,22,12.3,31.5,28,11,22.4,19.2,9.7,56,87,3,0.169921875,1,1,2,1
