"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
38,"0",9800,30,0.15,-0.31,0.06,0,0,0.2,0,0,11.3,11.3,11.1,0.5,8.2,19.8,23.7,18,11.9,35.6,24.3,22,22,22.4,29,7.9,28,46,4,0.319444444444444,1,1,1,1
1,"0",9600,20.5,-0.27,0.11,-0.38,0,0,0,0,0,9,8.8,11.8,0.8,13.9,26.1,23.7,18,3.4,44,23.9,3,1,51,2.6,24.6,22,35,3,0.251798561151079,1,1,1,0
16,"0",8900,24.3,0.02,-0.08,-0.11,0,0,0,0,0,10.3,11,9,1.3,10.6,19.3,24.2,15,8.1,40.3,20.5,14,8,36.3,15.7,5.8,32,45,2,0.304054054054054,1,1,1,0
32,"0",7900,28,0.02,-0.18,0.02,0,0,0,0,0,9,9,8.6,2.7,7.6,21.5,21.5,14,13.1,30,19,14,15,0,31.1,18.3,17,28,4,0.271844660194175,1,1,1,0
4,"0",7800,21.8,0.08,0.04,-0.07,0,0,0,0,0,6.3,6.3,9.2,0.8,12.7,11.4,12.9,16,8.7,17.1,16.4,23,6,7.6,12,14.6,17,26,0,0.183098591549296,4,2,3,0
2,"0",7700,16.5,-0.05,-0.19,-0.3,0,0,0,0,0,8.3,8.3,10.3,0.5,6.9,12.8,13.7,16,2.7,24.6,18.2,4,2,1.4,9.6,27.3,17,31,2,0.21830985915493,2,2,1,0
8,"0",7600,21.3,-0.14,-0.3,-0.32,0,0,0,0,0,8.7,9,8.6,0.8,13.4,25.6,22.3,15,8.6,36,17.8,1,5,12.4,41.5,22.8,23,40,2,0.25,1,1,2,0
10,"0",7500,20.3,0.03,-0.12,-0.06,0,0,0,0,0,13.7,12,11.4,1,7.5,20.7,20.8,18,12,29.5,19.2,21,12,10.9,32.2,19,27,50,3,0.284090909090909,1,1,1,1
28,"0",7400,25.8,-0.17,0.21,-0.05,0,0,0.2,0,0,10.7,11,9,1.8,7.6,19.9,18.4,14,7.1,29.7,19.3,12,14,17.2,34.4,8.1,25,47,2,0.274853801169591,1,1,1,1
6,"0",7300,25.8,0.02,-0.07,0.22,0,0,0,0,0,5.7,7.3,7.4,1,8.2,15.2,16.7,13,2.9,30.5,14.4,27,32,12.9,0,32.8,16,29,4,0.180124223602484,3,2,1,0
33,"0",7200,27,0.16,-0.2,-0.04,0,0,0.2,0,0,8,8.8,8.3,0.5,9.1,10.7,14.2,13,7.1,21.3,16.5,25,12,9.8,10.2,12.1,21,41,0,0.254658385093168,2,1,5,1
0,"0",7200,23,-0.02,0.38,0.03,0.3,0.3,0,0,1,10,10,7.9,1.8,7.1,14.8,18.1,12,10.5,25.8,16.6,22,18,11.3,13,20.1,26,40,4,0.239520958083832,1,1,1,1
34,"0",7100,20,0.21,-0.23,0.02,0,0,0,0,0,10.3,9.8,10.1,2,6.4,14.6,12.5,16,4.9,20,20.8,17,7,18.9,5.7,19.1,17,38,1,0.248366013071895,2,1,2,1
26,"0",7000,23.5,-0.06,0.08,0.05,0.7,0.5,1.2,0,8,11.7,11.3,8.1,0.5,8.4,22.8,20.3,16,11.7,28.9,17.3,9,10,13.1,29.6,25.7,33,46,1,0.345864661654135,1,1,2,0
28,"0",6900,27,0.16,-0.2,-0.04,0,0,0,0,0,9.3,9.3,8.6,0.8,8.3,22.7,21.4,14,12.6,30.3,16.2,25,12,33.8,21.2,13.1,26,37,4,0.229813664596273,1,2,1,0
17,"0",6900,24,0.22,0,0.08,0,0,0,0,0,7,6.8,9.8,1,12.3,20.5,17.6,15,10.8,24.3,17.8,32,26,21.4,24,16,21,34,2,0.263565891472868,2,2,2,0
29,"0",6800,24.8,0.07,0.12,0.13,0,0,0,0,0,8.7,8.7,8.3,1.3,7.8,16.8,16.8,13,7.5,26.1,17.4,30,27,0,9.9,13.1,15,26,2,0.270833333333333,1,1,1,0
35,"0",6800,24,0.22,0,0.08,0,0,0.3,0,0,11.3,10.5,10.5,2,7,21.8,18.8,17,5.6,32,17.6,32,26,22.8,35.7,6.9,25,41,3,0.317829457364341,1,1,1,0
29,"0",6700,28.8,0.02,0.16,0.03,1.3,1.8,0.3,0.3,4.4,7,7,7.1,0.8,7,8.8,10.4,12,4.6,16.2,16.3,27,20,2.7,9.2,14.6,21,31,0,0.248,1,1,4,0
16,"0",6500,23.5,0.26,0.32,0.35,0.3,0.3,0,0,-1,6.7,7,7.9,1,9.9,17.1,15.4,13,4,26.8,13.7,31,31,7.8,11.2,32.4,21,30,2,0.204081632653061,1,1,1,1
