Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
1,16597,Mike Evans,WR,TB,ATL,9,50,63,0,34,22,34,41,54
2,16776,Melvin Gordon,RB,SD,TEN,9,65,81,49,6,55,55,39.10,49.4
3,16763,Marcus Mariota,QB,TEN,SD,9,65,100,5,0,71,71,31.92,39.9
4,732,Matt Ryan,QB,ATL,TB,9,71,97,3,0,51,51,31.76,39.1
5,2593,Aaron Rodgers,QB,GB,IND,9,69,100,9,0,71,71,27.18,37.9
6,13443,Colin Kaepernick,QB,SF,NO,9,60,100,8,0,73,73,27.22,37
7,18055,Dak Prescott,QB,DAL,CLE,9,68,93,6,0,46,46,23.88,35.1
8,12985,DuJuan Harris,RB,SF,NO,9,53,88,19,11,28,30,24.20,34.3
9,4932,Eli Manning,QB,NYG,PHI,9,64,100,3,0,59,59,23.88,34.2
10,13291,Julio Jones,WR,ATL,TB,9,53,73,0,21,15,21,28.10,32.3
11,16762,Jameis Winston,QB,TB,ATL,9,68,85,3,0,57,57,22.84,32.1
12,4895,Thomas Davis,OLB,CAR,LA,9,68,100,0,0,0,0,0,31.6
13,13788,Rishard Matthews,WR,TEN,SD,9,58,89,0,17,10,17,24.30,31.6
14,12831,Tyrod Taylor,QB,BUF,SEA,9,85,99,9,0,54,54,26.86,30.4
15,4939,Brandon Flowers,CB,SD,TEN,9,64,100,0,0,0,0,0,29.7
16,7242,Drew Brees,QB,NO,SF,9,87,100,2,0,47,47,27.72,28.4
17,16245,Blake Bortles,QB,JAX,KC,9,77,100,8,0,61,61,22.48,27.9
18,722,Jason Witten,TE,DAL,CLE,9,70,96,0,14,11,14,30.40,27.7
19,17009,Trevor Siemian,QB,DEN,OAK,9,56,100,0,0,66,66,17.32,27.4
20,3807,Ben Roethlisberger,QB,PIT,BAL,9,69,100,4,0,70,70,19.86,27.3
21,17960,Michael Thomas,WR,NO,SF,9,72,83,0,11,7,11,24.30,26.8
22,16389,Odell Beckham Jr,WR,NYG,PHI,9,62,97,0,16,7,16,20.60,26.8
23,16890,Jake Ryan,ILB,GB,IND,9,55,81,0,0,0,0,0,26.4
24,11611,Golden Tate,WR,DET,MIN,9,53,80,2,23,23,25,25,26.4
25,15197,Kenny Vaccaro,SS,NO,SF,9,60,100,0,0,0,0,0,25
26,16618,Aaron Donald,DT,LA,CAR,9,52,81,0,0,0,0,0,25
27,16323,Khalil Mack,DE,OAK,DEN,9,50,89,0,0,0,0,0,25
28,4556,Jordy Nelson,WR,GB,IND,9,63,91,0,21,11,21,22.40,24.4
29,14871,Robert Woods,WR,BUF,SEA,9,67,78,0,19,15,19,29.20,24.2
30,8244,Philip Rivers,QB,SD,TEN,9,80,100,4,0,45,45,18.70,23.4
31,11700,Dwight Lowery,FS,SD,TEN,9,63,98,0,0,0,0,0,23
32,13320,Cam Newton,QB,CAR,LA,9,64,100,11,0,61,61,14.60,22.8
33,16794,Landon Collins,SS,NYG,PHI,9,75,100,0,0,0,0,0,22.7
