"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
24,766909530,"Bunz_B",0,118.75,"2B Chase Utley C Manny Piña OF Ezequiel Carrera 1B Justin Smoak OF Chris Owings 3B Jake Lamb P Zack Godley P Alex Wood OF Chris Taylor SS Corey Seager",NA,"Hernán Pérez","15.95%",16
25,766644682,"LosDiablosTejanos (20/20)",0,118.7,"OF José Bautista 2B Robinson Canó OF Jarrod Dyson C Devin Mesoraco 3B Josh Donaldson OF Daniel Descalso 1B Justin Smoak P Marcus Stroman P Alex Wood SS Corey Seager",NA,"Kyle Seager","14.11%",10
26,766933266,"ryanrp05",0,118.15,"C Yasmani Grandal OF Chris Owings 3B Kyle Seager 1B Paul Goldschmidt P Marcus Stroman P Zack Godley 2B Brandon Drury OF Scott Schebler SS Corey Seager OF Cody Bellinger",NA,"Brandon Drury","13.80%",16
26,766961901,"largemarge",0,118.15,"C Chris Iannetta OF David Peralta 3B Josh Donaldson 1B Justin Smoak P Marcus Stroman P Zack Godley 2B Brandon Drury OF Kevin Pillar SS Corey Seager OF Cody Bellinger",NA,"Chase Utley","13.43%",17
28,766947156,"letsgoeagles518",0,117.75,"2B Chase Utley 3B Josh Donaldson OF Daniel Descalso C Yasmani Grandal 1B Justin Smoak OF Chris Owings P Zack Godley P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Ben Gamel","13.02%",3
28,766964103,"gunnerg (3/3)",0,117.75,"OF Nelson Cruz C Chris Iannetta OF David Peralta 3B Kyle Seager P Zack Godley 2B Brandon Drury P Alex Wood SS Corey Seager OF Yasiel Puig 1B Cody Bellinger",NA,"Zack Cozart","11.83%",4
30,766943305,"MarlaHooch",0,117.7,"2B Chase Utley OF José Bautista C Devin Mesoraco 3B Josh Donaldson P Marcus Stroman OF Kevin Pillar P Alex Wood OF Chris Taylor SS Corey Seager 1B Cody Bellinger",NA,"Yasiel Puig","11.19%",12
31,766938582,"forcewithme (10/20)",0,117.15,"2B Chase Utley OF José Bautista C Russell Martin 3B Josh Donaldson P Marcus Stroman P Zack Godley OF Chris Taylor SS Corey Seager OF Yasiel Puig 1B Cody Bellinger",NA,"Russell Martin","10.98%",2
32,766943129,"drake_rob",0,116.75,"C Devin Mesoraco 3B Josh Donaldson 2B Eric Sogard 1B Justin Smoak OF Chris Owings P Zack Godley OF Kevin Pillar P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Justin Smoak","10.68%",17
32,766953510,"nolefan31 (3/11)",0,116.75,"2B Chase Utley C Chris Iannetta OF Daniel Descalso OF Ezequiel Carrera 1B Paul Goldschmidt 3B Jake Lamb P Zack Godley P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Troy Tulowitzki","10.03%",0
34,766783649,"rick1341 (6/10)",0,116.7,"OF José Bautista OF David Peralta C Devin Mesoraco 2B Eric Sogard 1B Paul Goldschmidt P Marcus Stroman 3B Hernán Pérez P Alex Wood SS Corey Seager OF Yasiel Puig",NA,"Júnior Guerra","9.49%",8.1
34,766944519,"ryanhaile",0,116.7,"1B Adrián González 2B Chase Utley OF David Peralta C Devin Mesoraco OF Daniel Descalso P Marcus Stroman 3B Jake Lamb P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Joey Votto","9.42%",6
34,766948054,"chris024 (4/20)",0,116.7,"1B Adrián González 2B Chase Utley C Chris Iannetta OF Rey Fuentes SS Chris Owings P Marcus Stroman 3B Hernán Pérez P Alex Wood OF Chris Taylor OF Cody Bellinger",NA,"Adrián González","9.01%",2
34,766948063,"chris024 (13/20)",0,116.7,"2B Chase Utley C Russell Martin 3B Josh Donaldson OF Daniel Descalso OF Ezequiel Carrera 1B Justin Smoak P Marcus Stroman P Alex Wood OF Chris Taylor SS Corey Seager",NA,"Logan Forsythe","8.67%",3
38,766503948,"blink182roo",0,115.75,"OF Nelson Cruz C Yasmani Grandal 1B Justin Smoak 3B Kyle Seager P Zack Godley 2B Brandon Drury P Alex Wood OF Chris Taylor SS Corey Seager OF Yasiel Puig",NA,"Guillermo Heredia","8.36%",3
39,766865023,"KBunnk1968",0,115.7,"OF Daniel Descalso C Yasmani Grandal 1B Justin Smoak SS Chris Owings P Marcus Stroman 3B Hernán Pérez 2B Brandon Drury OF Kevin Pillar P Alex Wood OF Yasiel Puig",NA,"Scott Schebler","8.26%",0
39,766931969,"twinginator (2/10)",0,115.7,"2B Chase Utley OF José Bautista 1B Kendrys Morales OF David Peralta 3B Josh Donaldson C Yasmani Grandal P Marcus Stroman P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Asher Wojciechowski","6.80%",1.65
39,766937591,"DougGlatt",0,115.7,"2B Chase Utley OF José Bautista 1B Kendrys Morales 3B Josh Donaldson C Yasmani Grandal P Marcus Stroman OF Kevin Pillar P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Jarrod Dyson","6.49%",10
39,766959489,"jon16stephan",0,115.7,"OF José Bautista C Chris Iannetta 1B Kendrys Morales OF Eric Thames P Marcus Stroman 3B Hernán Pérez P Alex Wood 2B Chris Taylor SS Corey Seager OF Yasiel Puig",NA,"Scooter Gennett","6.46%",7
43,766939250,"Fallen1891",0,115.2,"2B Chase Utley C Chris Iannetta OF Jarrod Dyson OF Chris Owings 3B Kyle Seager 1B Paul Goldschmidt P Alex Wood SS Corey Seager OF Cody Bellinger P Ariel Miranda",NA,"Kendrys Morales","6.22%",16
44,766948053,"chris024 (3/20)",0,115.15,"1B Chase Utley C Chris Iannetta OF Daniel Descalso OF Chris Owings P Marcus Stroman 3B Jake Lamb P Zack Godley 2B Chris Taylor SS Corey Seager OF Cody Bellinger",NA,"Taylor Motter","4.90%",0
45,766950896,"db1964 (1/2)",0,114.75,"2B Chase Utley OF José Bautista OF Daniel Descalso C Yasmani Grandal 1B Justin Smoak 3B Jake Lamb P Zack Godley P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Jesús Aguilar","4.79%",4
46,766941034,"huffrg3 (2/2)",0,114.7,"2B Chase Utley OF José Bautista 3B Josh Donaldson C Yasmani Grandal 1B Justin Smoak P Marcus Stroman OF Kevin Pillar P Alex Wood SS Corey Seager OF Yasiel Puig",NA,"Eugenio Suárez","4.76%",8
46,766947750,"kckoch20 (4/20)",0,114.7,"1B Adrián González OF José Bautista C Yasmani Grandal OF Eric Thames P Marcus Stroman 3B Hernán Pérez 2B Brandon Drury P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Brett Phillips","4.56%",0
46,766949286,"GoMaizeGoBlue (20/20)",0,114.7,"1B Adrián González OF José Bautista C Yasmani Grandal OF Eric Thames P Marcus Stroman 3B Hernán Pérez 2B Brandon Drury P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Devin Mesoraco","4.52%",18
49,766638785,"LosDiablosTejanos (13/20)",0,113.75,"C Chris Iannetta 2B Logan Forsythe OF Chris Owings 3B Kyle Seager 1B Paul Goldschmidt P Zack Godley P Alex Wood SS Corey Seager OF Yasiel Puig OF Cody Bellinger",NA,"Orlando Arcia","4.45%",3
50,766899572,"Clumpy1974 (4/4)",0,113.7,"OF José Bautista C Manny Piña 3B Josh Donaldson 1B Justin Smoak P Marcus Stroman 2B Brandon Drury OF Kevin Pillar P Alex Wood SS Corey Seager OF Yasiel Puig",NA,"Carlos Ruiz","4.01%",3
50,766949981,"debsmax",0,113.7,"C Chris Iannetta 3B Logan Forsythe SS Chris Owings 1B Paul Goldschmidt P Marcus Stroman OF Hernán Pérez 2B Brandon Drury P Alex Wood OF Patrick Kivlehan OF Cody Bellinger",NA,"Rey Fuentes","3.37%",10
50,766959752,"SmBoatDrinks (5/7)",0,113.7,"2B Chase Utley OF José Bautista 1B Kendrys Morales 3B Josh Donaldson C Yasmani Grandal P Marcus Stroman P Alex Wood OF Chris Taylor SS Corey Seager OF Yasiel Puig",NA,"José Peraza","3.20%",5
53,766922255,"Omenator (6/6)",0,113.65,"OF David Peralta C Devin Mesoraco OF Chris Owings 1B Paul Goldschmidt 3B Jake Lamb P Zack Godley 2B Brandon Drury SS Corey Seager OF Cody Bellinger P Ariel Miranda",NA,"Darwin Barney","2.48%",2
53,766952126,"JCER (1/2)",0,113.65,"OF José Bautista P Júnior Guerra C Devin Mesoraco 3B Josh Donaldson 1B Justin Smoak 2B Scooter Gennett P Marcus Stroman OF Scott Schebler SS Corey Seager OF Yasiel Puig",NA,"Ezequiel Carrera","2.45%",16
