P,P,C,1B,2B,3B,SS,OF,OF,OF
Robbie Ray,Jerad Eickhoff,Buster Posey,Brandon Belt,Joe Panik,Mike Moustakas,Brandon Crawford,Shin-Soo Choo,Christian Yelich,Chris Marrero
Tyler Skaggs,Lance Lynn,Buster Posey,Freddie Freeman,Joe Panik,Eduardo Nunez,Brandon Crawford,Mike Trout,Yasiel Puig,Chris Marrero
Carlos Carrasco,Matt Moore,Buster Posey,Brandon Belt,Joe Panik,Eduardo Nunez,Andrelton Simmons,Denard Span,Jose Bautista,Joc Pederson
Carlos Carrasco,Robbie Ray,Chris Herrmann,Eric Thames,Daniel Descalso,Jake Lamb,Brandon Crawford,Denard Span,AJ Pollock,David Peralta
Robbie Ray,Lance Lynn,Buster Posey,Brandon Belt,Joe Panik,Nolan Arenado,Brandon Crawford,Mike Trout,Gorkys Hernandez,Marcell Ozuna
Carlos Carrasco,Tyler Skaggs,Chris Herrmann,Brandon Belt,Joe Panik,Travis Shaw,Brandon Crawford,Denard Span,David Peralta,Chris Marrero
Carlos Carrasco,Lance Lynn,Buster Posey,Hanley Ramirez,Joe Panik,Eduardo Nunez,Xander Bogaerts,Denard Span,Kevin Pillar,Chris Marrero
Carlos Carrasco,Jaime Garcia,Jonathan Lucroy,Brandon Belt,Austin Barnes,Eduardo Nunez,Brandon Crawford,Mike Trout,Gorkys Hernandez,Chris Marrero
Robbie Ray,Tyler Skaggs,Buster Posey,Brandon Belt,Joe Panik,Eduardo Nunez,Chris Owings,Denard Span,AJ Pollock,Marcell Ozuna
Carlos Carrasco,Matt Moore,Buster Posey,Brandon Belt,Joe Panik,Justin Turner,Francisco Lindor,Mike Trout,Gorkys Hernandez,Chris Marrero
Carlos Carrasco,Robbie Ray,Buster Posey,Hanley Ramirez,Daniel Descalso,Travis Shaw,Brandon Crawford,Denard Span,Gorkys Hernandez,Chris Marrero
