"Place_lo","Place_hi","Payout"
"1","1","1000"
"2","2","500"
"3","3","300"
"4","4","250"
"5","5","200"
"6","6","150"
"7","8","100"
"9","10","75"
"11","15","60"
"16","20","50"
"21","30","40"
"31","50","30"
"51","75","25"
"76","100","20"
"101","125","15"
"126","200","12"
"201","330","10"
"331","580","8"
