"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"DST","Falcons ",5500,"ATL@MIA 07:00PM ET",7.167,"ATL","MIA",0,7.167,0
"DST","Dolphins ",5500,"ATL@MIA 07:00PM ET",7.294,"MIA","ATL",0,7.294,0
"DST","Jaguars ",5500,"JAX@NE 07:30PM ET",4.5,"JAX","NE",0,4.5,0
"DST","Patriots ",5500,"JAX@NE 07:30PM ET",8.333,"NE","JAX",0,8.333,0
"DST","Bears ",5500,"DEN@CHI 08:00PM ET",5.313,"CHI","DEN",0,5.313,0
"DST","Broncos ",5500,"DEN@CHI 08:00PM ET",9.688,"DEN","CHI",0,9.688,0
"DST","Ravens ",5500,"WAS@BAL 07:30PM ET",7.875,"BAL","WAS",0,7.875,0
"DST","Redskins ",5500,"WAS@BAL 07:30PM ET",5.938,"WAS","BAL",0,5.938,0
"DST","Eagles ",5500,"PHI@GB 08:00PM ET",8.938,"PHI","GB",0,8.938,0
"DST","Packers ",5500,"PHI@GB 08:00PM ET",5.737,"GB","PHI",0,5.737,0
"DST","Bills ",5500,"MIN@BUF 07:00PM ET",6.5,"BUF","MIN",0,6.5,0
"DST","Vikings ",5500,"MIN@BUF 07:00PM ET",9.875,"MIN","BUF",0,9.875,0
"DST","Browns ",5500,"NO@CLE 08:00PM ET",3.125,"CLE","NO",0,3.125,0
"DST","Saints ",5500,"NO@CLE 08:00PM ET",3.438,"NO","CLE",0,3.438,0
